Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
31-Jul-2024,222.08,+3.28,+1.50%,221.56,220.64,223.81,"19,353,167","4,301,296,664.00","29,539,807,655.00"
30-Jul-2024,218.80,+0.56,+0.26%,218.99,216.12,220.33,"15,184,473","3,319,081,120.00","25,238,510,991.00"
29-Jul-2024,218.24,+0.28,+0.13%,217.22,215.77,219.29,"11,921,528","2,600,493,358.00","21,919,429,871.00"
26-Jul-2024,217.96,+0.47,+0.22%,218.66,216.01,219.48,"13,569,809","2,956,793,000.00","19,318,936,513.00"
25-Jul-2024,217.49,-1.05,-0.48%,218.97,214.63,220.85,"18,590,944","4,052,449,459.00","16,362,143,513.00"
24-Jul-2024,218.54,-6.47,-2.88%,224.10,217.13,224.80,"22,265,362","4,876,790,504.00","20,414,592,972.00"
23-Jul-2024,225.01,+1.05,+0.47%,224.34,222.68,226.93,"11,855,807","2,667,003,648.00","25,291,383,476.00"
22-Jul-2024,223.96,-0.35,-0.16%,227.00,223.09,227.78,"16,820,506","3,780,260,913.00","22,624,379,828.00"
19-Jul-2024,224.31,+0.13,+0.06%,225.00,223.29,226.80,"18,979,715","4,264,390,580.00","26,404,640,741.00"
18-Jul-2024,224.18,-4.70,-2.05%,230.11,222.46,230.43,"19,780,319","4,452,004,238.00","22,140,250,161.00"
17-Jul-2024,228.88,-5.94,-2.53%,229.48,226.64,231.43,"19,367,716","4,433,289,251.00","26,592,254,399.00"
16-Jul-2024,234.82,+0.42,+0.18%,235.00,232.33,236.27,"12,531,689","2,938,302,149.00","31,025,543,650.00"
15-Jul-2024,234.40,+3.86,+1.67%,236.61,233.09,237.23,"17,471,374","4,103,994,770.00","28,087,241,501.00"
12-Jul-2024,230.54,+2.97,+1.31%,229.07,228.69,232.64,"16,858,289","3,891,092,062.00","23,983,246,731.00"
11-Jul-2024,227.57,-5.41,-2.32%,231.39,225.79,232.39,"23,613,623","5,391,427,791.00","20,092,154,669.00"
10-Jul-2024,232.98,+4.30,+1.88%,229.27,229.25,233.08,"19,532,329","4,530,961,942.00","25,483,582,460.00"
09-Jul-2024,228.68,+0.86,+0.38%,228.00,226.38,229.39,"14,927,354","3,408,270,446.00","20,952,620,518.00"
08-Jul-2024,227.82,+1.48,+0.65%,227.10,223.26,227.84,"17,972,786","4,075,071,211.00","17,544,350,072.00"
05-Jul-2024,226.34,+4.79,+2.16%,221.65,221.65,226.45,"20,182,043","4,544,730,032.00","13,469,278,861.00"
03-Jul-2024,221.55,+1.28,+0.58%,220.00,219.03,221.55,"12,645,249","2,793,403,363.00","8,924,548,829.00"
02-Jul-2024,220.27,+3.52,+1.62%,216.00,215.10,220.37,"17,849,502","3,916,460,668.00","6,131,145,466.00"
01-Jul-2024,216.75,+6.13,+2.91%,212.00,211.92,217.51,"17,420,438","3,756,665,339.00","2,214,684,798.00"
28-Jun-2024,210.62,-3.48,-1.63%,215.97,210.30,216.06,"37,348,746","7,913,456,523.00","-1,541,980,541.00"
27-Jun-2024,214.10,+0.85,+0.40%,214.71,212.35,215.73,"19,570,383","4,187,800,735.00","6,371,475,982.00"
26-Jun-2024,213.25,+4.18,+2.00%,211.57,210.65,214.86,"24,091,147","5,134,758,335.00","2,183,675,247.00"
25-Jun-2024,209.07,+0.93,+0.45%,209.08,208.61,211.38,"24,496,974","5,131,927,316.00","-2,951,083,088.00"
24-Jun-2024,208.14,+0.65,+0.31%,207.70,206.59,212.69,"26,962,557","5,637,294,211.00","-8,083,010,404.00"
21-Jun-2024,207.49,-2.19,-1.04%,210.31,207.11,211.89,"138,571,140","28,837,993,312.00","-13,720,304,615.00"
20-Jun-2024,209.68,-4.61,-2.15%,214.02,208.85,214.24,"31,045,671","6,534,297,275.00","15,117,688,697.00"
18-Jun-2024,214.29,-2.38,-1.10%,217.55,213.00,218.63,"26,560,581","5,703,556,644.00","21,651,985,972.00"
17-Jun-2024,216.67,+4.18,+1.97%,213.26,212.74,218.94,"31,933,682","6,908,976,171.00","27,355,542,616.00"
14-Jun-2024,212.49,-1.75,-0.82%,213.88,211.31,215.16,"20,596,518","4,381,335,440.00","20,446,566,445.00"
13-Jun-2024,214.24,+1.17,+0.55%,214.81,211.61,216.74,"30,425,324","6,514,707,458.00","24,827,901,885.00"
12-Jun-2024,213.07,+5.92,+2.86%,207.40,206.91,220.20,"47,962,921","10,287,487,297.00","18,313,194,427.00"
11-Jun-2024,207.15,+14.03,+7.26%,193.67,193.64,207.16,"40,867,930","8,312,722,614.00","8,025,707,130.00"
10-Jun-2024,193.12,-3.77,-1.91%,196.89,192.15,197.03,"25,091,980","4,874,805,112.00","-287,015,484.00"
07-Jun-2024,196.89,+2.41,+1.24%,194.70,194.14,196.93,"17,666,748","3,463,554,409.00","4,587,789,628.00"
06-Jun-2024,194.48,-1.39,-0.71%,195.59,194.18,196.49,"16,714,642","3,262,339,469.00","1,124,235,219.00"
05-Jun-2024,195.87,+1.52,+0.78%,195.50,194.88,196.89,"19,907,615","3,898,850,961.00","4,386,574,688.00"
04-Jun-2024,194.35,+0.32,+0.16%,194.79,193.04,195.32,"18,298,407","3,555,883,020.00","487,723,727.00"
03-Jun-2024,194.03,+1.78,+0.93%,193.00,192.54,194.99,"18,602,023","3,605,065,171.00","-3,068,159,293.00"
