Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,154.97,+0.22,+0.14%,154.54,154.42,155.21,"1,364,185","211,364,625.00","13,628,152,829.53"
28-Dec-2023,154.75,-0.13,-0.08%,155.35,154.64,155.62,"1,008,982","156,249,280.00","13,416,788,204.53"
27-Dec-2023,154.88,+0.26,+0.17%,154.05,153.86,154.96,"1,899,129","293,989,616.00","13,573,037,484.53"
26-Dec-2023,154.62,-0.32,-0.21%,154.25,154.25,155.26,"655,680","101,373,593.00","13,279,047,868.53"
22-Dec-2023,154.94,+2.35,+1.54%,153.32,153.32,155.42,"946,465","146,540,526.00","13,380,421,461.53"
21-Dec-2023,152.59,+0.90,+0.59%,152.00,151.29,152.83,"1,655,564","252,458,408.00","13,233,880,935.53"
20-Dec-2023,151.69,-1.91,-1.24%,153.99,151.54,154.19,"1,801,914","274,001,903.00","12,981,422,527.53"
19-Dec-2023,153.60,+0.18,+0.12%,154.05,152.50,154.47,"1,991,541","306,067,407.00","13,255,424,430.53"
18-Dec-2023,153.42,-0.62,-0.40%,152.74,151.80,154.34,"1,746,163","268,005,053.00","12,949,357,023.53"
15-Dec-2023,154.04,-0.84,-0.54%,153.93,153.11,155.85,"5,886,550","906,717,727.00","13,217,362,076.53"
14-Dec-2023,154.88,+0.58,+0.38%,154.30,152.77,155.16,"2,170,981","335,769,852.00","14,124,079,803.53"
13-Dec-2023,154.30,+1.06,+0.69%,153.02,152.90,154.77,"3,589,538","553,577,790.00","13,788,309,951.53"
12-Dec-2023,153.24,+2.00,+1.32%,151.73,150.18,153.58,"1,647,102","252,056,872.00","13,234,732,161.53"
11-Dec-2023,151.24,+1.96,+1.31%,150.68,150.67,152.71,"2,231,558","337,548,096.00","12,982,675,289.53"
08-Dec-2023,149.28,+1.31,+0.89%,148.17,148.11,150.05,"1,967,122","293,720,360.00","12,645,127,193.53"
07-Dec-2023,147.97,+1.59,+1.09%,147.90,145.25,148.37,"2,473,612","365,403,315.00","12,351,406,833.53"
06-Dec-2023,146.38,+1.81,+1.25%,144.79,144.75,147.07,"1,627,739","237,977,645.00","11,986,003,518.53"
05-Dec-2023,144.57,+0.42,+0.29%,144.11,142.66,145.08,"1,431,426","206,717,557.00","11,748,025,873.53"
04-Dec-2023,144.15,+0.74,+0.52%,143.41,143.30,145.46,"1,771,988","255,574,641.00","11,541,308,316.53"
01-Dec-2023,143.41,+1.02,+0.72%,142.52,142.34,144.08,"1,629,850","233,512,907.00","11,285,733,675.53"
30-Nov-2023,142.39,+3.89,+2.81%,138.39,138.25,142.70,"3,523,347","500,705,605.00","11,052,220,768.53"
29-Nov-2023,138.50,+0.42,+0.30%,138.18,137.70,139.09,"1,264,171","175,057,159.00","10,551,515,163.53"
28-Nov-2023,138.08,-1.01,-0.73%,139.07,137.92,139.63,"1,375,351","190,223,872.00","10,376,458,004.53"
27-Nov-2023,139.09,+0.42,+0.30%,138.70,137.80,139.36,"1,758,717","244,362,713.00","10,566,681,876.53"
24-Nov-2023,138.67,+0.20,+0.14%,140.00,138.46,140.00,"586,625","81,484,190.00","10,322,319,163.53"
22-Nov-2023,138.47,-0.26,-0.19%,139.20,138.34,139.77,"976,118","135,282,858.00","10,240,834,973.53"
21-Nov-2023,138.73,+0.42,+0.30%,139.04,137.87,139.35,"1,312,282","181,985,113.00","10,376,117,831.53"
20-Nov-2023,138.31,+0.01,+0.01%,137.14,137.14,138.68,"1,278,652","176,672,868.00","10,194,132,718.53"
17-Nov-2023,138.30,+0.02,+0.01%,138.50,137.39,138.87,"1,617,127","223,600,280.00","10,017,459,850.53"
16-Nov-2023,138.28,+0.68,+0.49%,138.28,137.05,138.82,"1,663,828","229,932,601.00","9,793,859,570.52"
15-Nov-2023,137.60,-0.46,-0.33%,137.91,136.30,138.14,"1,960,768","269,761,895.00","9,563,926,969.52"
14-Nov-2023,138.06,-0.58,-0.42%,138.73,137.96,140.10,"1,408,036","194,749,053.00","9,833,688,864.52"
13-Nov-2023,138.64,+0.05,+0.04%,138.59,137.50,139.15,"1,626,319","225,393,335.00","10,028,437,917.53"
10-Nov-2023,138.59,+0.55,+0.40%,138.93,136.43,139.31,"1,532,461","212,025,022.00","9,803,044,582.52"
09-Nov-2023,138.04,-3.99,-2.81%,141.00,135.89,141.03,"2,578,023","355,413,405.00","9,591,019,560.52"
08-Nov-2023,142.03,-0.13,-0.09%,143.44,141.92,143.80,"1,501,536","213,504,881.00","9,946,432,965.52"
07-Nov-2023,142.16,+0.96,+0.68%,141.52,140.60,142.17,"1,391,103","197,331,306.00","10,159,937,846.53"
06-Nov-2023,141.20,-0.22,-0.16%,141.89,140.98,142.37,"1,370,713","193,714,286.00","9,962,606,540.52"
03-Nov-2023,141.42,-1.84,-1.28%,143.61,140.90,143.61,"1,713,858","242,992,172.00","10,156,320,826.53"
02-Nov-2023,143.26,+0.79,+0.55%,140.79,140.71,143.77,"1,354,757","193,771,317.00","10,399,312,998.53"
01-Nov-2023,142.47,+1.29,+0.91%,141.86,141.78,143.71,"1,348,560","192,167,041.00","10,205,541,681.53"
31-Oct-2023,141.18,-0.71,-0.50%,142.22,139.68,142.22,"3,751,424","529,163,080.00","10,013,374,640.53"
30-Oct-2023,141.89,+2.96,+2.13%,141.90,141.82,145.71,"2,221,604","316,754,451.00","10,542,537,720.53"
27-Oct-2023,138.93,-6.27,-4.32%,138.76,136.05,143.00,"2,611,129","361,917,493.00","10,225,783,269.53"
26-Oct-2023,145.20,-0.06,-0.04%,144.63,144.24,145.94,"1,408,951","204,565,044.00","10,587,700,762.53"
25-Oct-2023,145.26,-1.05,-0.72%,146.25,144.84,146.90,"1,830,319","266,217,060.00","10,792,265,806.53"
24-Oct-2023,146.31,+1.58,+1.09%,145.39,145.10,146.97,"1,082,774","158,318,684.00","11,058,482,866.53"
23-Oct-2023,144.73,-1.50,-1.03%,146.42,144.21,146.42,"1,197,469","173,501,625.00","10,900,164,182.53"
20-Oct-2023,146.23,+0.71,+0.49%,145.28,145.28,147.50,"1,990,715","290,844,185.00","11,073,665,807.53"
19-Oct-2023,145.52,-3.76,-2.52%,148.39,143.33,148.39,"1,583,417","230,358,207.00","10,782,821,622.53"
18-Oct-2023,149.28,+0.10,+0.07%,149.01,148.37,149.60,"1,433,454","213,919,326.00","11,013,179,829.53"
17-Oct-2023,149.18,+1.95,+1.32%,147.50,147.49,149.64,"1,317,353","196,163,270.00","10,799,260,503.53"
16-Oct-2023,147.23,-0.73,-0.49%,148.22,146.93,149.39,"1,256,262","185,203,765.00","10,603,097,233.53"
13-Oct-2023,147.96,-0.34,-0.23%,149.04,147.36,149.65,"1,287,386","190,625,621.00","10,788,300,998.53"
12-Oct-2023,148.30,-1.04,-0.70%,148.13,147.03,148.60,"1,595,698","236,463,168.00","10,978,926,619.53"
11-Oct-2023,149.34,+0.45,+0.30%,149.35,148.85,150.36,"1,013,104","151,303,487.00","11,215,389,787.53"
10-Oct-2023,148.89,-0.22,-0.15%,149.54,148.10,149.54,"1,236,161","184,049,907.00","11,064,086,300.53"
09-Oct-2023,149.11,+0.87,+0.59%,148.06,147.17,149.70,"852,886","126,948,946.00","11,248,136,207.53"
06-Oct-2023,148.24,+0.79,+0.54%,146.49,146.25,149.31,"1,200,568","177,879,023.00","11,121,187,261.53"
05-Oct-2023,147.45,-0.24,-0.16%,147.93,147.09,149.53,"1,151,785","170,001,795.00","10,943,308,238.53"
04-Oct-2023,147.69,+0.26,+0.18%,146.33,146.33,148.08,"1,064,376","157,031,809.00","11,113,310,033.53"
03-Oct-2023,147.43,-0.82,-0.55%,147.85,145.41,147.91,"1,343,533","197,755,639.00","10,956,278,224.53"
02-Oct-2023,148.25,-0.81,-0.54%,148.13,146.75,148.83,"1,230,994","182,363,016.00","11,154,033,863.53"
29-Sep-2023,149.06,-3.19,-2.10%,152.53,148.83,152.53,"2,126,622","317,538,041.00","11,336,396,879.53"
28-Sep-2023,152.25,-0.88,-0.57%,153.64,151.39,153.70,"1,089,764","165,937,287.00","11,653,934,920.53"
27-Sep-2023,153.13,-0.78,-0.51%,153.84,151.62,153.97,"1,220,425","186,862,763.00","11,819,872,207.53"
26-Sep-2023,153.91,-0.74,-0.48%,154.40,153.38,154.56,"1,068,970","164,568,093.00","12,006,734,970.53"
25-Sep-2023,154.65,+1.91,+1.25%,152.70,151.73,154.74,"1,164,165","179,657,421.00","12,171,303,063.53"
22-Sep-2023,152.74,-0.69,-0.45%,153.16,152.52,153.81,"1,159,518","177,257,107.00","11,991,645,642.53"
21-Sep-2023,153.43,-0.18,-0.12%,153.68,152.69,154.85,"1,225,767","188,120,224.00","12,168,902,749.53"
20-Sep-2023,153.61,+0.12,+0.08%,154.06,153.41,154.87,"1,033,397","158,909,224.00","12,357,022,973.53"
19-Sep-2023,153.49,-0.45,-0.29%,153.89,152.60,154.64,"1,173,395","180,115,217.00","12,198,113,749.53"
18-Sep-2023,153.94,+1.82,+1.20%,153.20,152.10,153.97,"948,017","145,755,970.00","12,378,228,966.53"
15-Sep-2023,152.12,-1.52,-0.99%,152.78,151.93,154.69,"4,825,820","735,140,321.00","12,232,472,996.53"
14-Sep-2023,153.64,+2.48,+1.64%,152.24,151.85,154.60,"1,747,445","268,422,464.00","12,967,613,317.53"
13-Sep-2023,151.16,+1.89,+1.27%,149.42,149.05,152.39,"1,432,420","216,463,852.00","12,699,190,853.53"
12-Sep-2023,149.27,+0.23,+0.15%,149.50,147.65,149.59,"784,028","116,968,559.00","12,482,727,001.53"
11-Sep-2023,149.04,+0.02,+0.01%,148.88,148.43,149.38,"843,844","125,723,775.00","12,365,758,442.53"
08-Sep-2023,149.02,+0.11,+0.07%,149.06,148.22,149.74,"1,412,493","210,389,588.00","12,240,034,667.53"
07-Sep-2023,148.91,+3.30,+2.27%,146.35,146.35,148.99,"1,531,296","227,594,195.00","12,029,645,079.53"
06-Sep-2023,145.61,-0.49,-0.34%,146.10,143.75,146.12,"1,525,857","221,787,484.00","11,802,050,884.53"
05-Sep-2023,146.10,-2.10,-1.42%,148.50,145.86,148.95,"1,512,524","221,355,906.00","12,023,838,368.53"
01-Sep-2023,148.20,+1.24,+0.84%,148.07,147.86,148.89,"1,157,539","171,558,133.00","12,245,194,274.53"
31-Aug-2023,146.96,-1.36,-0.92%,148.39,146.87,148.70,"1,562,008","229,825,894.00","12,073,636,141.53"
30-Aug-2023,148.32,+0.73,+0.49%,148.80,146.93,148.80,"1,006,035","149,146,016.00","12,303,462,035.53"
29-Aug-2023,147.59,+0.16,+0.11%,147.99,146.51,148.89,"960,986","141,794,726.00","12,154,316,019.53"
28-Aug-2023,147.43,+0.74,+0.50%,147.09,146.78,148.00,"858,526","126,517,236.00","12,012,521,293.53"
25-Aug-2023,146.69,+0.06,+0.04%,146.83,146.20,147.66,"1,027,774","150,833,805.00","11,886,004,057.53"
24-Aug-2023,146.63,-0.45,-0.31%,147.05,146.35,147.80,"1,354,981","198,779,716.00","11,735,170,252.53"
23-Aug-2023,147.08,-1.16,-0.78%,148.67,145.95,148.95,"1,546,871","227,584,696.00","11,933,949,968.53"
22-Aug-2023,148.24,-1.92,-1.28%,150.00,147.99,150.00,"1,019,758","151,492,017.00","12,161,534,664.53"
21-Aug-2023,150.16,+0.02,+0.01%,149.71,148.88,150.27,"1,003,517","150,523,474.00","12,313,026,681.53"
18-Aug-2023,150.14,+0.12,+0.08%,149.88,149.25,150.84,"1,506,789","226,137,038.00","12,162,503,207.53"
17-Aug-2023,150.02,-1.53,-1.01%,151.16,149.92,151.87,"1,265,742","190,353,492.00","11,936,366,169.53"
16-Aug-2023,151.55,-0.57,-0.37%,152.59,151.39,153.57,"898,912","136,583,842.00","12,126,719,661.53"
15-Aug-2023,152.12,-0.15,-0.10%,151.57,150.81,152.90,"936,561","142,334,898.00","12,263,303,503.53"
14-Aug-2023,152.27,+0.09,+0.06%,153.02,151.59,153.13,"844,910","128,699,239.00","12,405,638,401.53"
11-Aug-2023,152.18,+0.74,+0.49%,151.87,151.75,153.40,"891,721","135,770,450.00","12,276,939,162.53"
10-Aug-2023,151.44,+0.67,+0.44%,150.67,150.66,152.81,"1,012,934","153,452,586.00","12,141,168,712.53"
09-Aug-2023,150.77,+1.15,+0.77%,150.49,150.27,152.05,"1,121,887","169,280,384.00","11,987,716,126.53"
08-Aug-2023,149.62,-0.71,-0.47%,151.00,148.94,151.75,"1,299,736","194,614,598.00","11,818,435,742.53"
