Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,215.88,-1.28,-0.59%,215.98,215.07,216.79,"582,112","125,704,777.00","2,249,095,371.99"
28-Dec-2023,217.16,+0.44,+0.20%,216.71,215.65,218.22,"383,299","83,182,919.00","2,374,800,148.99"
27-Dec-2023,216.72,+0.48,+0.22%,214.01,214.01,217.03,"876,751","189,840,187.00","2,291,617,229.99"
26-Dec-2023,216.24,+1.05,+0.49%,215.28,214.64,216.93,"308,590","66,673,777.00","2,101,777,042.99"
22-Dec-2023,215.19,+0.91,+0.42%,214.96,213.66,216.71,"262,976","56,579,961.00","2,035,103,265.99"
21-Dec-2023,214.28,+3.17,+1.50%,212.99,211.56,214.34,"480,184","102,707,299.00","1,978,523,304.99"
20-Dec-2023,211.11,+0.11,+0.05%,211.51,209.27,214.50,"860,824","182,056,228.00","1,875,816,005.99"
19-Dec-2023,211.00,+0.31,+0.15%,211.45,210.67,213.20,"592,045","125,029,643.00","1,693,759,777.99"
18-Dec-2023,210.69,-1.46,-0.69%,212.04,209.91,213.90,"404,406","85,330,303.00","1,568,730,134.99"
15-Dec-2023,212.15,-0.02,-0.01%,210.53,208.53,212.75,"1,948,634","412,110,765.00","1,654,060,437.99"
14-Dec-2023,212.17,+1.13,+0.54%,215.46,211.26,218.18,"868,616","185,191,003.00","2,066,171,202.99"
13-Dec-2023,211.04,+5.99,+2.92%,204.98,203.74,212.23,"761,922","160,219,608.00","1,880,980,199.99"
12-Dec-2023,205.05,-0.55,-0.27%,205.48,203.80,205.75,"513,495","105,255,787.00","1,720,760,591.99"
11-Dec-2023,205.60,-0.85,-0.41%,205.90,204.40,207.93,"614,245","126,443,062.00","1,826,016,378.99"
08-Dec-2023,206.45,-4.27,-2.03%,209.80,204.14,210.29,"677,105","139,788,660.00","1,952,459,440.99"
07-Dec-2023,210.72,-0.04,-0.02%,211.60,210.25,212.00,"510,265","107,648,422.00","2,092,248,100.99"
06-Dec-2023,210.76,+0.35,+0.17%,211.79,210.64,213.31,"543,861","114,912,100.00","2,199,896,522.99"
05-Dec-2023,210.41,+1.68,+0.80%,208.92,207.77,211.06,"610,286","128,243,271.00","2,084,984,422.99"
04-Dec-2023,208.73,-1.74,-0.83%,209.21,207.73,209.65,"755,227","157,654,945.00","1,956,741,151.99"
01-Dec-2023,210.47,+1.69,+0.81%,208.40,206.43,210.74,"679,436","142,664,487.00","2,114,396,096.99"
30-Nov-2023,208.78,+2.60,+1.26%,205.54,204.52,208.96,"1,246,549","259,668,715.00","1,971,731,609.99"
29-Nov-2023,206.18,+2.96,+1.46%,205.00,204.49,208.82,"717,213","148,087,714.00","1,712,062,894.99"
28-Nov-2023,203.22,+2.01,+1.00%,200.78,200.59,203.52,"709,852","144,052,739.00","1,563,975,180.99"
27-Nov-2023,201.21,+1.89,+0.95%,200.48,199.02,202.80,"669,266","134,785,272.00","1,419,922,441.99"
24-Nov-2023,199.32,+0.53,+0.27%,197.98,196.40,199.33,"187,733","37,341,137.00","1,285,137,169.99"
22-Nov-2023,198.79,+1.25,+0.63%,200.18,197.84,200.26,"405,840","80,706,918.00","1,247,796,032.99"
21-Nov-2023,197.54,-2.10,-1.05%,199.56,196.82,199.56,"544,812","107,696,644.00","1,167,089,114.99"
20-Nov-2023,199.64,+1.90,+0.96%,197.45,195.56,199.80,"568,598","113,249,456.00","1,274,785,758.99"
17-Nov-2023,197.74,-1.37,-0.69%,200.12,197.10,200.42,"760,028","150,639,536.00","1,161,536,302.99"
16-Nov-2023,199.11,+3.23,+1.65%,196.80,195.15,199.82,"751,795","149,504,936.00","1,312,175,838.99"
15-Nov-2023,195.88,+1.68,+0.87%,193.11,193.11,198.73,"856,541","168,038,113.00","1,162,670,902.99"
14-Nov-2023,194.20,+10.58,+5.76%,192.96,191.29,195.68,"721,331","139,807,552.00","994,632,789.99"
13-Nov-2023,183.62,-0.17,-0.09%,182.24,181.26,185.28,"362,431","66,599,762.00","854,825,237.99"
10-Nov-2023,183.79,+1.95,+1.07%,183.54,179.39,184.51,"499,375","91,586,025.00","921,424,999.99"
09-Nov-2023,181.84,-2.58,-1.40%,184.60,180.96,184.60,"578,277","105,349,985.00","829,838,974.99"
08-Nov-2023,184.42,-1.03,-0.56%,185.69,183.25,185.69,"437,477","80,653,339.00","935,188,959.99"
07-Nov-2023,185.45,-1.25,-0.67%,187.52,185.18,187.63,"511,961","95,198,178.00","1,015,842,298.99"
06-Nov-2023,186.70,-3.87,-2.03%,189.94,185.31,190.57,"616,471","115,146,032.00","1,111,040,476.99"
03-Nov-2023,190.57,+6.42,+3.49%,186.07,186.07,193.13,"995,596","190,007,039.00","1,226,186,508.99"
02-Nov-2023,184.15,+5.77,+3.23%,181.32,181.31,186.51,"1,037,494","191,074,418.00","1,036,179,469.99"
01-Nov-2023,178.38,+0.19,+0.11%,178.48,177.29,179.18,"659,547","117,606,683.00","845,105,051.99"
31-Oct-2023,178.19,+5.55,+3.21%,174.07,174.07,178.63,"1,011,012","179,656,830.00","727,498,368.99"
30-Oct-2023,172.64,+0.65,+0.38%,171.92,169.71,173.84,"671,629","115,715,192.00","547,841,538.99"
27-Oct-2023,171.99,-3.07,-1.75%,175.50,170.28,175.68,"982,763","169,140,657.00","432,126,346.99"
26-Oct-2023,175.06,+13.13,+8.11%,163.00,162.94,177.20,"1,162,149","202,167,925.00","601,267,003.99"
25-Oct-2023,161.93,-1.30,-0.80%,162.22,160.52,163.30,"646,437","104,663,416.00","399,099,078.99"
24-Oct-2023,163.23,+3.94,+2.47%,159.91,159.91,163.67,"503,511","81,939,147.00","503,762,494.99"
23-Oct-2023,159.29,-0.80,-0.50%,158.51,157.31,161.24,"665,779","106,181,477.00","421,823,347.99"
20-Oct-2023,160.09,+0.66,+0.41%,160.77,159.80,161.96,"779,487","125,102,686.00","528,004,824.99"
19-Oct-2023,159.43,-3.35,-2.06%,159.37,159.18,162.41,"894,088","142,906,763.00","402,902,138.99"
18-Oct-2023,162.78,-4.13,-2.47%,167.01,162.70,167.53,"448,056","73,445,238.00","545,808,901.99"
17-Oct-2023,166.91,-2.27,-1.34%,167.32,165.77,169.81,"585,937","97,866,552.00","619,254,139.99"
16-Oct-2023,169.18,+2.22,+1.33%,166.39,164.64,170.32,"642,856","108,584,449.00","717,120,691.99"
13-Oct-2023,166.96,+2.72,+1.66%,166.17,165.47,168.51,"616,888","103,004,844.00","608,536,242.99"
12-Oct-2023,164.24,-1.38,-0.83%,165.87,162.72,166.34,"509,832","83,808,171.00","505,531,398.99"
11-Oct-2023,165.62,+7.06,+4.45%,159.69,158.85,165.80,"744,162","122,174,713.00","589,339,569.99"
10-Oct-2023,158.56,-3.46,-2.14%,159.89,158.29,160.61,"801,630","127,565,429.00","467,164,856.99"
09-Oct-2023,162.02,+2.45,+1.54%,158.76,158.76,162.72,"526,313","84,988,899.00","594,730,285.99"
06-Oct-2023,159.57,+0.86,+0.54%,156.80,154.77,160.46,"527,821","83,836,119.00","509,741,386.99"
05-Oct-2023,158.71,+1.03,+0.65%,156.97,155.74,159.29,"522,326","82,677,855.00","425,905,267.99"
