Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,151.94,-1.44,-0.94%,153.08,151.03,153.88,"10,810,634","1,644,906,099.00","129,287,636,013.34"
28-Dec-2023,153.38,+0.04,+0.03%,153.65,152.95,154.07,"6,691,808","1,027,007,797.00","130,932,542,112.34"
27-Dec-2023,153.34,-0.07,-0.05%,153.48,153.12,154.78,"8,102,515","1,243,825,549.00","129,905,534,315.34"
26-Dec-2023,153.41,-0.01,-0.01%,153.48,153.04,153.97,"5,951,193","912,958,388.00","131,149,359,864.34"
22-Dec-2023,153.42,-0.42,-0.27%,153.83,152.71,154.35,"7,561,043","1,160,637,619.00","132,062,318,252.34"
21-Dec-2023,153.84,+1.72,+1.13%,153.20,152.11,153.97,"8,201,506","1,258,234,139.00","133,222,955,871.34"
20-Dec-2023,152.12,-1.67,-1.09%,153.00,151.56,155.62,"13,365,647","2,043,584,896.00","131,964,721,732.34"
19-Dec-2023,153.79,-0.28,-0.18%,154.43,152.69,155.11,"11,083,774","1,704,834,893.00","134,008,306,628.34"
18-Dec-2023,154.07,+4.10,+2.73%,150.56,150.05,154.85,"13,399,413","2,056,222,248.00","135,713,141,521.34"
15-Dec-2023,149.97,+2.55,+1.73%,147.88,147.88,150.55,"55,269,271","8,263,076,083.00","133,656,919,273.34"
14-Dec-2023,147.42,-1.42,-0.95%,150.00,145.53,150.54,"16,782,335","2,482,047,520.00","125,393,843,190.34"
13-Dec-2023,148.84,+1.36,+0.92%,148.09,146.84,149.46,"13,287,580","1,973,114,643.00","127,875,890,710.34"
12-Dec-2023,147.48,+1.59,+1.09%,145.50,145.32,147.50,"10,809,152","1,589,180,823.00","125,902,776,067.34"
11-Dec-2023,145.89,-1.53,-1.04%,145.44,143.65,146.19,"13,791,211","2,006,569,867.00","124,313,595,244.34"
08-Dec-2023,147.42,+0.54,+0.37%,145.40,145.40,147.84,"11,785,239","1,733,696,048.00","126,320,165,111.34"
07-Dec-2023,146.88,+2.36,+1.63%,146.09,145.36,147.91,"11,634,310","1,707,891,525.00","124,586,469,063.34"
06-Dec-2023,144.52,-2.36,-1.61%,147.76,144.29,147.81,"9,947,426","1,444,283,587.00","122,878,577,538.34"
05-Dec-2023,146.88,+2.04,+1.41%,143.52,143.13,148.56,"10,669,107","1,563,677,435.00","124,322,861,125.34"
04-Dec-2023,144.84,-2.19,-1.49%,145.23,142.81,145.35,"12,978,128","1,877,132,705.00","122,759,183,690.34"
01-Dec-2023,147.03,+0.94,+0.64%,146.00,145.57,147.25,"9,761,701","1,432,755,411.00","124,636,316,395.34"
30-Nov-2023,146.09,-0.23,-0.16%,144.78,144.34,146.93,"23,626,080","3,447,086,814.00","123,203,560,984.34"
29-Nov-2023,146.32,-0.71,-0.48%,147.84,145.98,148.53,"8,468,526","1,242,572,269.00","126,650,647,798.34"
28-Nov-2023,147.03,-0.70,-0.47%,146.97,145.53,147.60,"10,216,684","1,501,037,676.00","127,893,220,067.34"
27-Nov-2023,147.73,+0.99,+0.67%,147.50,146.89,149.26,"12,963,152","1,918,739,724.00","129,394,257,743.34"
24-Nov-2023,146.74,+0.03,+0.02%,146.67,145.33,147.20,"4,742,281","694,826,409.00","127,475,518,019.34"
22-Nov-2023,146.71,+2.81,+1.95%,144.68,144.68,147.74,"10,985,910","1,611,251,332.00","126,780,691,610.34"
21-Nov-2023,143.90,-2.23,-1.53%,143.76,141.51,143.98,"14,602,202","2,092,851,957.00","125,169,440,278.34"
20-Nov-2023,146.13,+0.95,+0.65%,145.08,144.73,146.63,"9,072,330","1,324,248,888.00","127,262,292,235.34"
17-Nov-2023,145.18,+2.35,+1.65%,142.83,142.57,145.21,"11,574,635","1,671,493,875.00","125,938,043,347.34"
16-Nov-2023,142.83,-0.37,-0.26%,140.96,139.53,143.31,"10,437,716","1,483,547,495.00","124,266,549,472.34"
15-Nov-2023,143.20,-2.60,-1.78%,147.06,142.59,147.27,"14,188,605","2,041,379,017.00","125,750,096,967.34"
14-Nov-2023,145.80,+3.21,+2.25%,145.00,144.70,147.25,"14,628,394","2,134,961,155.00","127,791,475,984.34"
13-Nov-2023,142.59,-0.97,-0.68%,142.00,140.67,143.22,"8,084,551","1,151,305,410.00","125,656,514,829.34"
10-Nov-2023,143.56,+2.96,+2.11%,140.37,139.91,143.65,"13,511,592","1,928,910,378.00","126,807,820,239.34"
09-Nov-2023,140.60,-1.48,-1.04%,142.06,139.84,142.65,"8,920,200","1,258,206,678.00","124,878,909,861.34"
08-Nov-2023,142.08,-0.63,-0.44%,142.95,141.22,143.12,"9,445,337","1,342,364,553.00","126,137,116,539.34"
07-Nov-2023,142.71,+2.97,+2.13%,140.50,140.50,143.37,"12,173,721","1,734,314,549.00","127,479,481,092.34"
06-Nov-2023,139.74,+1.14,+0.82%,138.71,138.36,140.73,"10,499,747","1,466,480,391.00","125,745,166,543.34"
03-Nov-2023,138.60,+0.53,+0.38%,139.00,137.46,139.49,"10,885,156","1,508,858,352.00","124,278,686,152.34"
02-Nov-2023,138.07,+1.07,+0.78%,138.80,136.48,138.80,"13,066,671","1,801,575,966.00","122,769,827,800.34"
01-Nov-2023,137.00,+3.91,+2.94%,133.98,133.86,137.34,"14,291,275","1,946,052,516.00","120,968,251,834.34"
31-Oct-2023,133.09,+0.38,+0.29%,132.84,131.72,133.57,"13,500,674","1,794,248,547.00","119,022,199,318.34"
30-Oct-2023,132.71,+4.97,+3.89%,129.78,128.83,132.99,"15,057,882","1,985,918,596.00","117,227,950,771.34"
27-Oct-2023,127.74,+8.17,+6.83%,126.25,125.53,130.02,"25,082,074","3,207,925,978.00","115,242,032,175.34"
26-Oct-2023,119.57,-1.82,-1.50%,120.56,118.35,121.62,"23,423,803","2,825,028,947.00","112,034,106,197.34"
25-Oct-2023,121.39,-7.17,-5.58%,126.10,120.79,126.30,"15,363,670","1,881,995,675.00","114,859,135,144.34"
24-Oct-2023,128.56,+2.00,+1.58%,127.75,126.34,128.80,"10,096,417","1,293,706,451.00","116,741,130,819.34"
23-Oct-2023,126.56,+1.39,+1.11%,124.64,123.98,127.88,"10,553,310","1,331,903,607.00","115,447,424,368.34"
20-Oct-2023,125.17,-3.23,-2.52%,128.01,124.97,128.17,"15,129,647","1,907,094,261.00","114,115,520,761.34"
19-Oct-2023,128.40,+0.27,+0.21%,130.53,127.48,132.24,"13,230,141","1,713,551,343.00","116,022,615,022.34"
18-Oct-2023,128.13,-3.34,-2.54%,129.81,127.52,130.65,"9,406,349","1,210,606,503.00","114,309,063,679.34"
17-Oct-2023,131.47,-1.08,-0.81%,130.38,128.71,132.58,"10,598,307","1,389,339,022.00","115,519,670,182.34"
16-Oct-2023,132.55,+2.76,+2.13%,130.64,130.43,133.07,"9,690,959","1,281,454,531.00","116,909,009,204.34"
13-Oct-2023,129.79,-2.54,-1.92%,132.91,128.96,133.29,"9,927,952","1,293,997,494.00","115,627,554,673.34"
12-Oct-2023,132.33,+0.50,+0.38%,132.12,131.25,134.48,"10,662,759","1,414,748,452.00","116,921,552,167.34"
11-Oct-2023,131.83,+2.35,+1.81%,129.65,129.63,132.05,"9,581,043","1,256,247,845.00","115,506,803,715.34"
10-Oct-2023,129.48,+1.22,+0.95%,128.88,128.07,130.73,"8,965,587","1,161,369,219.00","114,250,555,870.34"
09-Oct-2023,128.26,+0.30,+0.23%,126.20,124.76,128.78,"7,632,929","972,003,466.00","113,089,186,651.34"
06-Oct-2023,127.96,+2.00,+1.59%,124.13,124.13,128.45,"9,557,903","1,213,997,891.00","112,117,183,185.34"
05-Oct-2023,125.96,-1.04,-0.82%,126.64,124.34,126.73,"9,131,673","1,148,675,602.00","110,903,185,294.34"
04-Oct-2023,127.00,+2.28,+1.83%,126.06,125.70,127.36,"10,690,167","1,354,778,633.00","112,051,860,896.34"
03-Oct-2023,124.72,-4.74,-3.66%,128.05,124.26,128.51,"11,225,560","1,407,072,367.00","110,697,082,263.34"
