Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,273.80,-0.43,-0.16%,272.64,272.07,274.77,"247,563","67,775,762.00","6,673,314,680.83"
28-Dec-2023,274.23,-1.46,-0.53%,275.63,274.10,275.67,"193,600","53,120,733.00","6,741,090,442.83"
27-Dec-2023,275.69,+0.82,+0.30%,274.21,273.74,275.72,"200,649","55,251,458.00","6,794,211,175.83"
26-Dec-2023,274.87,+2.03,+0.74%,273.45,273.45,275.82,"111,102","30,538,127.00","6,738,959,717.83"
22-Dec-2023,272.84,+1.10,+0.40%,272.75,272.23,274.27,"245,608","67,024,045.00","6,708,421,590.83"
21-Dec-2023,271.74,+3.59,+1.34%,270.22,268.56,271.83,"195,508","53,024,093.00","6,641,397,545.83"
20-Dec-2023,268.15,-4.37,-1.60%,271.60,268.03,273.34,"289,407","77,964,776.00","6,588,373,452.83"
19-Dec-2023,272.52,+1.32,+0.49%,273.23,270.78,273.23,"409,517","111,581,770.00","6,666,338,228.83"
18-Dec-2023,271.20,+0.34,+0.13%,273.58,271.12,274.27,"277,265","75,321,363.00","6,554,756,458.83"
15-Dec-2023,270.86,+0.05,+0.02%,270.28,269.69,272.57,"1,143,835","309,627,459.00","6,479,435,095.83"
14-Dec-2023,270.81,+1.49,+0.55%,270.40,270.40,273.37,"293,650","79,635,443.00","6,169,807,636.83"
13-Dec-2023,269.32,+1.98,+0.74%,266.70,263.77,270.41,"355,848","95,536,548.00","6,090,172,193.83"
12-Dec-2023,267.34,+2.78,+1.05%,265.39,263.13,267.40,"389,049","103,825,448.00","5,994,635,645.83"
11-Dec-2023,264.56,+1.29,+0.49%,262.90,262.47,265.08,"245,998","65,005,909.00","5,890,810,197.83"
08-Dec-2023,263.27,+1.26,+0.48%,262.78,262.78,264.71,"228,598","60,203,049.00","5,825,804,288.83"
07-Dec-2023,262.01,+0.73,+0.28%,262.14,261.03,264.00,"370,357","97,011,421.00","5,765,601,239.83"
06-Dec-2023,261.28,-0.74,-0.28%,262.39,260.30,264.00,"408,914","106,971,766.00","5,668,589,818.83"
05-Dec-2023,262.02,-8.13,-3.01%,269.26,261.08,269.45,"604,907","158,824,200.00","5,775,561,584.83"
04-Dec-2023,270.15,-2.49,-0.91%,270.94,268.90,271.95,"571,166","154,310,043.00","5,934,385,784.83"
01-Dec-2023,272.64,+2.09,+0.77%,270.60,270.14,275.07,"474,534","129,405,758.00","6,088,695,827.83"
30-Nov-2023,270.55,+4.07,+1.53%,266.48,266.10,271.12,"1,123,754","303,834,510.00","5,959,290,069.83"
29-Nov-2023,266.48,-1.92,-0.72%,269.74,265.98,270.26,"383,054","102,239,492.00","5,655,455,559.83"
28-Nov-2023,268.40,-3.27,-1.20%,271.00,267.96,271.62,"344,472","92,597,920.00","5,757,695,051.83"
27-Nov-2023,271.67,-2.83,-1.03%,273.70,269.40,273.70,"366,844","99,577,363.00","5,850,292,971.83"
24-Nov-2023,274.50,+0.23,+0.08%,275.08,274.50,276.46,"111,526","30,650,159.00","5,949,870,334.83"
22-Nov-2023,274.27,-2.07,-0.75%,277.41,273.82,277.41,"317,030","87,092,081.00","5,919,220,175.83"
21-Nov-2023,276.34,+4.19,+1.54%,273.50,273.50,277.43,"280,806","77,511,198.00","6,006,312,256.83"
20-Nov-2023,272.15,+2.16,+0.80%,269.99,269.50,273.64,"331,372","90,186,376.00","5,928,801,058.83"
17-Nov-2023,269.99,-3.61,-1.32%,273.49,269.49,273.71,"345,374","93,536,844.00","5,838,614,682.83"
16-Nov-2023,273.60,-0.02,-0.01%,273.49,271.31,274.38,"392,016","107,189,301.00","5,932,151,526.83"
15-Nov-2023,273.62,+5.21,+1.94%,268.37,267.96,274.27,"270,155","73,757,169.00","6,039,340,827.83"
14-Nov-2023,268.41,+3.38,+1.28%,267.00,266.48,271.50,"402,247","108,116,631.00","5,965,583,658.83"
13-Nov-2023,265.03,-0.43,-0.16%,263.77,262.95,265.30,"199,601","52,808,629.00","5,857,467,027.83"
10-Nov-2023,265.46,+1.47,+0.56%,263.71,263.56,267.25,"350,726","93,116,562.00","5,910,275,656.83"
09-Nov-2023,263.99,+4.06,+1.56%,262.53,259.04,264.30,"519,845","136,998,766.00","5,817,159,094.83"
08-Nov-2023,259.93,+5.47,+2.15%,256.77,251.80,260.38,"621,233","159,784,270.00","5,680,160,328.83"
07-Nov-2023,254.46,-36.84,-12.65%,271.74,254.26,271.79,"871,886","224,354,851.00","5,520,376,058.83"
06-Nov-2023,291.30,-1.90,-0.65%,293.20,289.62,294.13,"310,727","90,524,760.00","5,744,730,909.83"
03-Nov-2023,293.20,+3.58,+1.24%,292.25,291.75,295.96,"259,251","76,102,355.00","5,835,255,669.83"
02-Nov-2023,289.62,+6.21,+2.19%,284.45,283.43,289.82,"278,037","80,253,219.00","5,759,153,314.83"
01-Nov-2023,283.41,+0.97,+0.34%,283.04,279.57,284.31,"379,495","107,428,235.00","5,678,900,095.83"
31-Oct-2023,282.44,+1.74,+0.62%,280.87,278.79,283.83,"347,075","98,021,339.00","5,571,471,860.83"
30-Oct-2023,280.70,+4.55,+1.65%,278.00,277.08,280.90,"224,935","63,015,958.00","5,473,450,521.83"
27-Oct-2023,276.15,-1.51,-0.54%,276.95,275.24,279.38,"215,691","59,614,526.00","5,410,434,563.83"
26-Oct-2023,277.66,+3.18,+1.16%,276.10,275.67,279.66,"247,683","68,816,436.00","5,470,049,089.83"
25-Oct-2023,274.48,-2.76,-1.00%,276.96,274.37,277.74,"197,368","54,309,675.00","5,401,232,653.83"
24-Oct-2023,277.24,+2.57,+0.94%,275.90,274.71,278.36,"204,900","56,767,242.00","5,455,542,328.83"
23-Oct-2023,274.67,-3.90,-1.40%,276.80,274.27,278.80,"188,219","51,842,167.00","5,398,775,086.83"
20-Oct-2023,278.57,-2.04,-0.73%,279.46,278.00,280.77,"251,292","70,093,341.00","5,450,617,253.83"
19-Oct-2023,280.61,-2.77,-0.98%,282.17,280.18,284.54,"154,813","43,531,439.00","5,520,710,594.83"
18-Oct-2023,283.38,-7.52,-2.59%,289.81,283.05,289.81,"154,253","43,856,844.00","5,564,242,033.83"
17-Oct-2023,290.90,+3.78,+1.32%,287.30,287.30,292.56,"224,216","65,134,753.00","5,608,098,877.83"
16-Oct-2023,287.12,+1.66,+0.58%,287.63,286.97,290.10,"215,516","61,951,416.00","5,542,964,124.83"
13-Oct-2023,285.46,-0.33,-0.12%,288.20,284.96,290.70,"187,727","53,668,645.00","5,481,012,708.83"
12-Oct-2023,285.79,-5.10,-1.75%,292.51,282.67,292.52,"339,822","97,234,844.00","5,534,681,353.83"
11-Oct-2023,290.89,+2.98,+1.04%,288.85,288.14,291.13,"201,776","58,571,107.00","5,631,916,197.83"
10-Oct-2023,287.91,+3.64,+1.28%,286.67,286.37,290.43,"258,053","74,350,665.00","5,573,345,090.83"
09-Oct-2023,284.27,+3.21,+1.14%,281.08,280.08,284.50,"213,392","60,502,077.00","5,498,994,425.83"
06-Oct-2023,281.06,+1.20,+0.43%,279.39,276.36,282.11,"351,828","98,706,843.00","5,438,492,348.83"
05-Oct-2023,279.86,-5.02,-1.76%,284.48,276.94,285.44,"284,679","79,655,553.00","5,339,785,505.83"
04-Oct-2023,284.88,+3.09,+1.10%,284.87,282.00,286.32,"349,292","99,448,206.00","5,419,441,058.83"
03-Oct-2023,281.79,+2.71,+0.97%,277.32,277.32,283.43,"331,827","93,397,620.00","5,319,992,852.83"
02-Oct-2023,279.08,-4.32,-1.52%,281.33,275.81,281.86,"385,491","107,487,867.00","5,226,595,232.83"
29-Sep-2023,283.40,-3.47,-1.21%,287.75,282.63,287.75,"264,842","75,225,252.00","5,334,083,099.83"
28-Sep-2023,286.87,+1.61,+0.56%,285.89,285.85,289.97,"327,336","93,943,125.00","5,409,308,351.83"
27-Sep-2023,285.26,-1.44,-0.50%,286.88,284.00,287.90,"216,419","61,810,392.00","5,315,365,226.83"
26-Sep-2023,286.70,-2.91,-1.00%,287.30,285.82,289.11,"287,110","82,376,113.00","5,377,175,618.83"
25-Sep-2023,289.61,+2.97,+1.04%,285.36,285.36,290.31,"227,622","65,836,104.00","5,459,551,731.83"
22-Sep-2023,286.64,-0.43,-0.15%,286.98,285.97,289.35,"197,001","56,501,089.00","5,393,715,627.83"
21-Sep-2023,287.07,-7.75,-2.63%,293.16,286.89,293.16,"255,251","73,526,901.00","5,450,216,716.83"
20-Sep-2023,294.82,-4.41,-1.47%,299.73,294.29,301.03,"187,943","55,629,694.00","5,523,743,617.83"
19-Sep-2023,299.23,-0.30,-0.10%,299.30,295.64,300.03,"189,531","56,651,146.00","5,579,373,311.83"
18-Sep-2023,299.53,-2.58,-0.85%,301.63,299.34,301.81,"218,761","65,583,182.00","5,636,024,457.83"
15-Sep-2023,302.11,-3.99,-1.30%,306.40,301.21,307.54,"857,363","261,116,956.00","5,701,607,639.83"
14-Sep-2023,306.10,+2.97,+0.98%,305.00,303.55,306.66,"167,846","51,349,077.00","5,962,724,595.83"
13-Sep-2023,303.13,+0.99,+0.33%,302.24,301.09,304.89,"166,837","50,577,591.00","5,911,375,518.83"
