Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
31-Jul-2024,253.04,+0.56,+0.22%,253.11,252.73,256.07,"576,230","146,057,294.00","7,028,217,863.00"
30-Jul-2024,252.48,+4.59,+1.85%,249.46,249.46,253.64,"672,820","169,678,181.00","6,882,160,569.00"
29-Jul-2024,247.89,+2.00,+0.81%,246.63,244.48,247.96,"543,750","134,450,229.00","6,712,482,388.00"
26-Jul-2024,245.89,+5.71,+2.38%,241.93,241.88,246.35,"614,588","150,779,067.00","6,578,032,159.00"
25-Jul-2024,240.18,-0.81,-0.34%,240.00,239.47,244.96,"1,237,271","297,604,022.00","6,427,253,092.00"
24-Jul-2024,240.99,-5.91,-2.39%,245.00,240.68,245.36,"943,857","228,303,682.00","6,724,857,114.00"
23-Jul-2024,246.90,+2.15,+0.88%,246.96,245.04,248.98,"714,647","176,653,702.00","6,953,160,796.00"
22-Jul-2024,244.75,+2.37,+0.98%,243.01,239.91,245.60,"721,361","176,154,902.00","6,776,507,094.00"
19-Jul-2024,242.38,-6.82,-2.74%,240.04,237.98,243.27,"1,515,738","365,467,147.00","6,600,352,192.00"
18-Jul-2024,249.20,-0.76,-0.30%,250.80,247.79,253.62,"917,888","229,453,740.00","6,965,819,339.00"
17-Jul-2024,249.96,+0.33,+0.13%,248.81,247.38,250.52,"633,063","158,091,388.00","7,195,273,079.00"
16-Jul-2024,249.63,+5.63,+2.31%,244.14,244.00,249.76,"889,048","220,974,525.00","7,037,181,691.00"
15-Jul-2024,244.00,+5.37,+2.25%,240.45,240.45,244.66,"898,832","218,916,912.00","6,816,207,166.00"
12-Jul-2024,238.63,-0.12,-0.05%,238.97,237.41,240.25,"819,152","195,641,580.00","6,597,290,254.00"
11-Jul-2024,238.75,-0.18,-0.08%,238.87,237.20,239.86,"570,183","136,124,074.00","6,792,931,834.00"
10-Jul-2024,238.93,+1.18,+0.50%,236.57,235.74,239.35,"725,936","173,015,660.00","6,929,055,908.00"
09-Jul-2024,237.75,+3.24,+1.38%,234.97,234.18,239.17,"646,783","153,454,916.00","6,756,040,248.00"
08-Jul-2024,234.51,-1.12,-0.48%,236.23,233.83,239.33,"748,476","175,814,748.00","6,602,585,332.00"
05-Jul-2024,235.63,-0.08,-0.03%,235.71,233.75,236.46,"834,026","196,439,320.00","6,778,400,080.00"
03-Jul-2024,235.71,-0.26,-0.11%,236.24,235.21,237.44,"407,299","96,049,022.00","6,974,839,400.00"
02-Jul-2024,235.97,+2.16,+0.92%,233.55,233.19,236.16,"567,964","133,690,782.00","7,070,888,422.00"
01-Jul-2024,233.81,+2.26,+0.98%,232.33,231.59,234.76,"863,476","201,752,379.00","6,937,197,640.00"
28-Jun-2024,231.55,+3.15,+1.38%,229.25,228.74,233.55,"1,203,879","278,680,736.00","6,735,445,261.00"
27-Jun-2024,228.40,-2.28,-0.99%,229.79,227.50,230.23,"628,895","143,706,215.00","6,456,764,525.00"
26-Jun-2024,230.68,+0.09,+0.04%,230.04,229.19,232.42,"1,117,775","257,896,788.00","6,600,470,740.00"
25-Jun-2024,230.59,-0.88,-0.38%,230.86,228.60,231.24,"1,179,954","271,975,835.00","6,342,573,952.00"
24-Jun-2024,231.47,+1.09,+0.47%,231.68,230.40,233.90,"560,260","129,851,565.00","6,614,549,787.00"
21-Jun-2024,230.38,+0.17,+0.07%,231.11,228.00,231.11,"2,783,132","641,823,004.00","6,484,698,222.00"
20-Jun-2024,230.21,+0.90,+0.39%,228.56,226.46,231.64,"804,525","184,939,680.00","5,842,875,218.00"
18-Jun-2024,229.31,+1.04,+0.46%,227.58,226.85,229.31,"645,549","147,786,673.00","5,657,935,538.00"
17-Jun-2024,228.27,+3.45,+1.53%,224.20,224.17,228.41,"801,012","182,399,973.00","5,510,148,865.00"
14-Jun-2024,224.82,+2.63,+1.18%,221.38,221.38,225.60,"651,144","146,143,525.00","5,327,748,892.00"
13-Jun-2024,222.19,-1.85,-0.83%,223.41,220.80,223.75,"776,552","172,551,109.00","5,181,605,367.00"
12-Jun-2024,224.04,-0.49,-0.22%,226.63,222.88,228.33,"857,093","192,554,603.00","5,354,156,476.00"
11-Jun-2024,224.53,-7.91,-3.40%,231.64,224.21,231.64,"768,226","173,180,282.00","5,546,711,079.00"
10-Jun-2024,232.44,-0.23,-0.10%,231.95,230.68,233.91,"862,868","200,631,408.00","5,719,891,361.00"
