Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
31-Jul-2024,40.31,-0.97,-2.35%,41.23,40.23,41.38,"15,730,701","638,375,749.00","40,429,216.00"
30-Jul-2024,41.28,+0.19,+0.46%,41.05,40.81,41.88,"13,996,714","577,358,735.00","678,804,965.00"
29-Jul-2024,41.09,-0.58,-1.39%,41.78,40.99,41.86,"11,658,929","480,159,996.00","101,446,230.00"
26-Jul-2024,41.67,-0.01,-0.02%,41.58,41.41,41.96,"13,624,328","567,959,873.00","581,606,226.00"
25-Jul-2024,41.68,-0.51,-1.21%,42.11,41.66,42.29,"12,366,512","518,347,718.00","1,149,566,099.00"
24-Jul-2024,42.19,-0.22,-0.52%,42.28,42.08,42.75,"11,131,561","471,258,951.00","1,667,913,817.00"
23-Jul-2024,42.41,+0.11,+0.26%,42.19,42.15,42.78,"9,588,756","407,486,193.00","2,139,172,768.00"
22-Jul-2024,42.30,-0.60,-1.40%,42.64,41.96,42.87,"10,489,012","444,683,454.00","1,731,686,575.00"
19-Jul-2024,42.90,-0.11,-0.26%,42.92,42.69,43.56,"14,238,427","612,352,759.00","2,176,370,029.00"
18-Jul-2024,43.01,-0.97,-2.21%,43.66,42.93,44.23,"12,337,561","534,717,181.00","2,788,722,788.00"
17-Jul-2024,43.98,-0.15,-0.34%,43.76,43.74,44.44,"15,941,990","702,077,788.00","3,323,439,969.00"
16-Jul-2024,44.13,+2.24,+5.35%,42.33,42.22,44.40,"13,822,626","605,611,014.00","4,025,517,757.00"
15-Jul-2024,41.89,+0.30,+0.72%,41.88,41.70,42.23,"7,728,413","324,036,001.00","3,419,906,743.00"
12-Jul-2024,41.59,-0.22,-0.53%,41.49,41.09,41.91,"7,517,222","312,697,580.00","3,095,870,742.00"
11-Jul-2024,41.81,+0.07,+0.17%,41.76,41.40,41.90,"7,949,784","332,139,696.00","3,408,568,322.00"
10-Jul-2024,41.74,+0.32,+0.77%,41.18,41.17,41.76,"7,173,762","298,647,968.00","3,076,428,626.00"
09-Jul-2024,41.42,+0.80,+1.97%,40.68,40.67,41.83,"7,804,516","322,873,945.00","2,777,780,658.00"
08-Jul-2024,40.62,+0.21,+0.52%,40.65,40.43,41.04,"6,367,104","258,765,901.00","2,454,906,713.00"
05-Jul-2024,40.41,-0.49,-1.20%,40.93,40.30,40.95,"5,578,025","225,687,245.00","2,196,140,812.00"
03-Jul-2024,40.90,-0.03,-0.07%,41.00,40.75,41.19,"4,526,629","185,291,564.00","2,421,828,057.00"
02-Jul-2024,40.93,+0.92,+2.30%,40.00,39.96,40.96,"10,776,600","438,768,121.00","2,607,119,621.00"
01-Jul-2024,40.01,+0.24,+0.60%,39.91,39.68,40.34,"6,678,616","267,085,748.00","2,168,351,500.00"
28-Jun-2024,39.77,+0.52,+1.32%,39.57,39.32,40.06,"21,461,245","853,139,957.00","1,901,265,752.00"
27-Jun-2024,39.25,+0.25,+0.64%,38.70,38.34,39.35,"8,033,885","313,876,523.00","1,048,125,795.00"
26-Jun-2024,39.00,-0.38,-0.96%,39.19,38.48,39.35,"8,453,011","329,301,165.00","734,249,272.00"
25-Jun-2024,39.38,-0.64,-1.60%,39.78,39.36,40.07,"9,263,353","365,668,673.00","1,063,550,437.00"
24-Jun-2024,40.02,+0.53,+1.34%,39.77,39.67,40.33,"8,672,791","347,268,518.00","1,429,219,110.00"
21-Jun-2024,39.49,-0.50,-1.25%,39.85,39.37,39.90,"39,151,658","1,548,146,936.00","1,081,950,592.00"
20-Jun-2024,39.99,0.00,0.00%,39.83,39.80,40.31,"8,628,992","345,244,610.00","2,630,097,528.00"
18-Jun-2024,39.99,+0.48,+1.21%,39.50,39.46,40.01,"10,422,324","416,178,687.00","2,284,852,918.00"
17-Jun-2024,39.51,+0.27,+0.69%,39.09,38.99,39.53,"6,482,186","255,354,177.00","1,868,674,231.00"
14-Jun-2024,39.24,-0.02,-0.05%,39.10,38.91,39.48,"8,288,968","325,059,106.00","1,613,320,054.00"
13-Jun-2024,39.26,-0.15,-0.38%,39.29,38.93,39.35,"9,214,230","361,255,633.00","1,938,379,160.00"
12-Jun-2024,39.41,+0.55,+1.42%,39.78,39.11,39.87,"7,896,423","312,059,470.00","2,299,634,793.00"
11-Jun-2024,38.86,-0.81,-2.04%,39.33,38.46,39.34,"13,515,183","524,893,203.00","1,987,575,323.00"
10-Jun-2024,39.67,-0.11,-0.28%,39.58,39.22,39.84,"14,307,356","567,337,528.00","2,512,468,526.00"
07-Jun-2024,39.78,+0.08,+0.20%,39.28,39.28,39.96,"6,383,069","253,709,287.00","3,079,806,054.00"
06-Jun-2024,39.70,-0.26,-0.65%,39.91,39.43,40.00,"13,408,956","532,373,764.00","2,826,096,767.00"
05-Jun-2024,39.96,+0.28,+0.71%,39.74,39.52,39.99,"12,057,266","480,977,489.00","3,358,470,531.00"
04-Jun-2024,39.68,-0.20,-0.50%,39.52,39.42,40.13,"9,781,203","388,069,365.00","2,877,493,042.00"
03-Jun-2024,39.88,-0.11,-0.28%,40.00,39.37,40.19,"8,281,489","306,829,096.00","3,265,562,407.00"
31-May-2024,39.99,+1.36,+3.52%,38.70,38.67,40.08,"17,758,006","706,558,956.00","3,572,391,503.00"
30-May-2024,38.63,-0.09,-0.23%,38.73,37.59,39.12,"10,348,410","398,875,389.00","2,865,832,547.00"
29-May-2024,38.72,-0.60,-1.53%,38.86,38.56,38.90,"7,061,802","273,449,981.00","3,264,707,936.00"
28-May-2024,39.32,-0.38,-0.96%,39.69,39.12,39.74,"6,813,720","268,330,464.00","3,538,157,917.00"
24-May-2024,39.70,+0.53,+1.35%,39.29,39.29,39.78,"7,183,551","284,657,971.00","3,806,488,381.00"
23-May-2024,39.17,-0.59,-1.48%,39.77,38.95,39.84,"9,416,033","369,870,204.00","3,521,830,410.00"
22-May-2024,39.76,+0.11,+0.28%,39.37,39.34,39.81,"9,230,495","366,364,347.00","3,891,700,614.00"
21-May-2024,39.65,+0.83,+2.14%,38.82,38.82,39.75,"8,733,349","344,884,084.00","3,525,336,267.00"
20-May-2024,38.82,-0.47,-1.20%,39.30,38.80,39.47,"6,498,537","253,537,324.00","3,180,452,183.00"
17-May-2024,39.29,+0.07,+0.18%,39.45,39.16,39.49,"6,815,808","267,859,265.00","3,433,989,507.00"
16-May-2024,39.22,+0.31,+0.80%,38.92,38.71,39.36,"9,045,844","354,409,637.00","3,166,130,242.00"
15-May-2024,38.91,+0.42,+1.09%,38.80,38.78,39.24,"10,147,968","394,932,899.00","2,811,720,605.00"
14-May-2024,38.49,+0.28,+0.73%,38.40,38.38,38.79,"8,606,981","331,664,345.00","2,416,787,706.00"
13-May-2024,38.21,-0.24,-0.62%,38.64,38.18,38.77,"6,933,678","265,688,904.00","2,085,123,361.00"
10-May-2024,38.45,+0.17,+0.44%,38.50,38.33,38.77,"6,459,948","248,680,472.00","2,350,812,265.00"
09-May-2024,38.28,+0.57,+1.51%,37.53,37.48,38.42,"6,488,782","247,634,873.00","2,102,131,793.00"
08-May-2024,37.71,-0.13,-0.34%,37.67,37.52,37.82,"10,236,317","385,840,603.00","1,854,496,920.00"
07-May-2024,37.84,+0.15,+0.40%,37.75,37.75,38.14,"7,716,152","292,225,144.00","2,240,337,523.00"
06-May-2024,37.69,+0.44,+1.18%,37.66,37.36,37.79,"5,872,870","221,099,003.00","1,948,112,379.00"
03-May-2024,37.25,+0.37,+1.00%,37.25,37.09,37.52,"6,954,106","259,055,413.00","1,727,013,376.00"
02-May-2024,36.88,-0.07,-0.19%,37.37,36.66,37.49,"8,849,819","326,593,572.00","1,467,957,963.00"
01-May-2024,36.95,-0.06,-0.16%,37.21,36.77,37.51,"7,681,026","284,476,940.00","1,794,551,535.00"
30-Apr-2024,37.01,-0.54,-1.44%,37.38,36.99,37.67,"7,983,694","296,372,200.00","2,079,028,475.00"
29-Apr-2024,37.55,-0.28,-0.74%,37.84,37.45,38.06,"7,024,416","264,427,834.00","2,375,400,675.00"
26-Apr-2024,37.83,-0.08,-0.21%,37.97,37.79,38.31,"6,874,073","260,698,942.00","2,639,828,509.00"
25-Apr-2024,37.91,-0.41,-1.07%,38.00,37.38,38.25,"12,069,688","456,697,846.00","2,900,527,451.00"
24-Apr-2024,38.32,-0.05,-0.13%,38.14,38.07,38.50,"7,667,475","293,779,303.00","3,357,225,297.00"
23-Apr-2024,38.37,+0.64,+1.70%,37.94,37.84,38.42,"9,442,545","361,470,697.00","3,651,004,600.00"
22-Apr-2024,37.73,+0.76,+2.06%,37.00,36.88,37.91,"11,012,867","413,901,562.00","3,289,533,903.00"
19-Apr-2024,36.97,+1.20,+3.35%,36.10,36.06,37.12,"13,001,933","478,668,363.00","2,875,632,341.00"
18-Apr-2024,35.77,+0.54,+1.53%,35.53,35.19,35.99,"12,046,913","430,816,573.00","2,396,963,978.00"
17-Apr-2024,35.23,+0.55,+1.59%,34.89,34.76,35.74,"15,320,581","540,667,369.00","1,966,147,405.00"
16-Apr-2024,34.68,-1.27,-3.53%,35.90,34.15,35.99,"17,965,348","623,916,998.00","1,425,480,036.00"
15-Apr-2024,35.95,+0.16,+0.45%,36.33,35.76,36.76,"8,684,151","313,166,335.00","2,049,397,034.00"
12-Apr-2024,35.79,-0.56,-1.54%,35.85,35.53,36.09,"10,645,448","380,892,121.00","1,736,230,699.00"
11-Apr-2024,36.35,-0.30,-0.82%,36.63,36.06,36.68,"9,489,573","345,110,955.00","2,117,122,820.00"
10-Apr-2024,36.65,-1.08,-2.86%,37.18,36.56,37.23,"7,968,925","292,865,148.00","2,462,233,775.00"
09-Apr-2024,37.73,+0.23,+0.61%,37.52,37.21,37.76,"5,410,828","203,473,198.00","2,755,098,923.00"
08-Apr-2024,37.50,+0.39,+1.05%,37.25,37.19,37.58,"6,741,169","252,587,549.00","2,551,625,725.00"
05-Apr-2024,37.11,+0.19,+0.51%,36.81,36.74,37.34,"6,052,645","224,471,236.00","2,299,038,176.00"
04-Apr-2024,36.92,-0.52,-1.39%,37.76,36.88,37.96,"7,329,872","272,626,370.00","2,074,566,940.00"
03-Apr-2024,37.44,+0.14,+0.38%,37.41,37.28,38.01,"7,292,141","273,405,994.00","2,347,193,310.00"
02-Apr-2024,37.30,-0.22,-0.59%,37.22,37.22,37.57,"6,649,386","248,132,279.00","2,073,787,316.00"
01-Apr-2024,37.52,-0.40,-1.05%,37.96,37.45,38.35,"7,848,302","295,023,826.00","2,321,919,595.00"
28-Mar-2024,37.92,+0.11,+0.29%,37.75,37.42,38.00,"11,735,127","444,442,591.00","2,616,943,421.00"
27-Mar-2024,37.81,+0.72,+1.94%,37.25,37.25,37.85,"8,926,446","336,397,668.00","2,172,500,830.00"
26-Mar-2024,37.09,+0.23,+0.62%,37.00,36.80,37.24,"7,380,816","273,626,314.00","1,836,103,162.00"
25-Mar-2024,36.86,-0.19,-0.51%,37.10,36.85,37.27,"6,587,093","243,212,227.00","1,562,476,848.00"
22-Mar-2024,37.05,-0.46,-1.23%,37.50,37.00,37.60,"6,327,823","234,889,990.00","1,805,689,075.00"
21-Mar-2024,37.51,+0.76,+2.07%,36.91,36.88,37.60,"10,040,318","375,734,935.00","2,040,579,065.00"
20-Mar-2024,36.75,+0.72,+2.00%,35.84,35.74,36.88,"10,036,260","366,020,522.00","1,664,844,130.00"
19-Mar-2024,36.03,+0.02,+0.06%,35.90,35.90,36.38,"19,578,773","705,813,587.00","1,298,823,608.00"
18-Mar-2024,36.01,+0.60,+1.69%,35.66,35.39,36.09,"24,194,883","870,181,280.00","593,010,021.00"
15-Mar-2024,35.41,-0.28,-0.78%,35.24,35.24,36.01,"34,216,951","1,212,512,010.00","-277,171,259.00"
14-Mar-2024,35.69,-0.39,-1.08%,35.92,35.49,36.22,"10,102,876","360,716,333.00","935,340,751.00"
13-Mar-2024,36.08,+0.12,+0.33%,35.99,35.99,36.44,"11,330,310","409,309,381.00","1,296,057,084.00"
12-Mar-2024,35.96,+0.07,+0.20%,35.93,35.78,36.15,"6,941,168","249,742,015.00","886,747,703.00"
11-Mar-2024,35.89,+0.29,+0.81%,35.44,35.28,35.93,"7,936,401","284,083,830.00","637,005,688.00"
08-Mar-2024,35.60,-0.03,-0.08%,35.89,35.50,36.13,"9,376,376","334,892,440.00","352,921,858.00"
07-Mar-2024,35.63,+0.21,+0.59%,35.56,35.26,35.90,"8,621,838","307,148,428.00","687,814,298.00"
06-Mar-2024,35.42,+0.03,+0.08%,35.60,35.08,35.79,"10,273,540","364,310,058.00","380,665,870.00"
05-Mar-2024,35.39,+0.24,+0.68%,34.93,34.93,35.72,"12,335,968","436,623,732.00","16,355,812.00"
04-Mar-2024,35.15,+0.80,+2.33%,34.33,34.28,35.42,"10,554,592","370,066,611.00","-420,267,920.00"
01-Mar-2024,34.35,-0.17,-0.49%,34.52,34.04,34.65,"8,331,395","286,494,059.00","-790,334,531.00"
29-Feb-2024,34.52,+0.21,+0.61%,34.37,34.16,34.64,"13,240,524","456,650,118.00","-503,840,472.00"
28-Feb-2024,34.31,+0.03,+0.09%,34.22,34.13,34.60,"10,297,919","353,486,547.00","-960,490,590.00"
27-Feb-2024,34.28,+0.67,+1.99%,33.83,33.72,34.42,"8,782,215","300,307,038.00","-1,313,977,137.00"
26-Feb-2024,33.61,-0.31,-0.91%,33.80,33.54,34.22,"9,387,748","316,439,184.00","-1,614,284,175.00"
23-Feb-2024,33.92,+0.31,+0.92%,33.71,33.50,34.05,"6,864,242","232,755,991.00","-1,297,844,991.00"
22-Feb-2024,33.61,-0.09,-0.27%,33.50,33.45,34.06,"9,517,130","320,359,821.00","-1,530,600,982.00"
21-Feb-2024,33.70,-0.26,-0.77%,33.32,33.18,33.74,"9,545,268","320,326,688.00","-1,210,241,161.00"
20-Feb-2024,33.96,-0.13,-0.38%,33.86,33.78,34.09,"7,321,434","248,610,501.00","-889,914,473.00"
16-Feb-2024,34.09,+0.02,+0.06%,33.95,32.50,34.15,"9,371,611","318,817,519.00","-641,303,972.00"
15-Feb-2024,34.07,+0.94,+2.84%,33.32,33.32,34.24,"8,907,401","302,684,267.00","-960,121,491.00"
14-Feb-2024,33.13,+0.38,+1.16%,33.00,32.87,33.18,"7,484,309","247,661,965.00","-1,262,805,758.00"
13-Feb-2024,32.75,-0.87,-2.59%,33.14,32.36,33.30,"9,051,624","296,508,007.00","-1,510,467,723.00"
12-Feb-2024,33.62,+0.55,+1.66%,33.02,32.99,33.97,"6,829,837","229,493,401.00","-1,213,959,716.00"
09-Feb-2024,33.07,-0.05,-0.15%,33.09,32.84,33.25,"7,107,345","234,913,044.00","-1,443,453,117.00"
08-Feb-2024,33.12,-0.06,-0.18%,33.03,32.81,33.27,"8,441,802","279,304,938.00","-1,208,540,073.00"
07-Feb-2024,33.18,+0.14,+0.42%,33.10,32.63,33.26,"6,280,010","207,888,955.00","-929,235,135.00"
06-Feb-2024,33.04,+0.05,+0.15%,32.92,32.89,33.36,"5,066,391","167,318,026.00","-1,137,124,090.00"
05-Feb-2024,32.99,-0.48,-1.43%,33.11,32.87,33.29,"10,020,401","330,802,459.00","-1,304,442,116.00"
02-Feb-2024,33.47,-0.08,-0.24%,33.37,33.18,33.70,"7,791,826","260,690,939.00","-973,639,657.00"
01-Feb-2024,33.55,-0.46,-1.35%,34.00,32.94,34.24,"10,325,586","345,892,745.00","-712,948,718.00"
31-Jan-2024,34.01,-0.78,-2.24%,34.57,34.00,35.10,"12,094,729","414,780,639.00","-367,055,973.00"
30-Jan-2024,34.79,+1.18,+3.51%,33.90,33.85,34.89,"11,467,635","397,343,574.00","47,724,666.00"
29-Jan-2024,33.61,+0.18,+0.54%,33.40,33.24,33.65,"9,045,623","303,448,882.00","-349,618,908.00"
26-Jan-2024,33.43,+0.04,+0.12%,33.33,33.33,33.67,"7,244,593","242,250,272.00","-653,067,790.00"
25-Jan-2024,33.39,+0.41,+1.24%,33.21,32.84,33.45,"13,486,952","449,184,376.00","-895,318,062.00"
24-Jan-2024,32.98,+0.21,+0.64%,33.03,32.91,33.34,"6,977,153","230,535,494.00","-1,344,502,438.00"
23-Jan-2024,32.77,+0.22,+0.68%,32.54,32.40,32.82,"6,540,879","213,831,505.00","-1,575,037,932.00"
22-Jan-2024,32.55,+0.33,+1.02%,32.36,32.32,32.99,"9,583,141","312,210,696.00","-1,788,869,437.00"
19-Jan-2024,32.22,+0.49,+1.54%,31.83,31.58,32.23,"10,738,800","344,359,778.00","-2,101,080,133.00"
18-Jan-2024,31.73,-0.07,-0.22%,31.75,31.40,31.77,"7,227,155","228,873,670.00","-2,445,439,911.00"
17-Jan-2024,31.80,-0.32,-1.00%,31.72,31.27,31.99,"10,704,824","339,892,289.00","-2,216,566,241.00"
16-Jan-2024,32.12,-0.68,-2.07%,32.41,31.83,32.49,"12,600,232","404,599,821.00","-1,876,673,952.00"
12-Jan-2024,32.80,-0.35,-1.06%,32.43,31.97,33.19,"15,294,167","499,967,450.00","-1,472,074,131.00"
11-Jan-2024,33.15,-0.45,-1.34%,33.39,32.78,33.50,"11,793,492","390,359,938.00","-972,106,681.00"
