Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,295.67,-1.21,-0.41%,296.85,293.20,298.18,"630,821","186,445,807.00","1,454,055,004.28"
28-Dec-2023,296.88,-1.24,-0.42%,296.75,296.07,299.15,"678,715","201,632,297.00","1,640,500,811.28"
27-Dec-2023,298.12,+2.49,+0.84%,295.63,295.00,299.13,"568,697","169,438,947.00","1,842,133,108.28"
26-Dec-2023,295.63,+5.27,+1.81%,291.59,291.59,297.07,"440,793","130,221,245.00","1,672,694,161.28"
22-Dec-2023,290.36,+0.29,+0.10%,290.31,289.00,292.77,"429,934","124,942,538.00","1,542,472,916.28"
21-Dec-2023,290.07,+0.36,+0.12%,289.90,286.65,290.21,"848,554","245,368,796.00","1,417,530,378.28"
20-Dec-2023,289.71,-3.25,-1.11%,291.93,289.52,298.27,"928,674","271,448,068.00","1,172,161,582.28"
19-Dec-2023,292.96,+7.25,+2.54%,287.12,286.16,293.03,"920,083","268,471,686.00","1,443,609,650.28"
18-Dec-2023,285.71,-0.03,-0.01%,287.01,284.59,288.80,"758,696","216,887,280.00","1,175,137,964.28"
15-Dec-2023,285.74,+0.57,+0.20%,280.10,280.10,286.77,"2,796,456","792,584,601.00","1,392,025,244.28"
14-Dec-2023,285.17,+17.20,+6.42%,272.54,272.47,285.46,"1,492,046","421,692,036.00","599,440,643.28"
13-Dec-2023,267.97,+6.54,+2.50%,261.40,259.36,268.23,"1,057,299","281,780,247.00","177,748,607.28"
12-Dec-2023,261.43,+0.51,+0.20%,259.99,259.18,262.46,"500,056","130,539,581.00","-104,031,639.72"
11-Dec-2023,260.92,+1.42,+0.55%,259.84,259.50,262.15,"1,079,048","281,575,313.00","-234,571,220.72"
08-Dec-2023,259.50,+2.09,+0.81%,257.38,257.38,261.64,"819,845","212,840,984.00","-516,146,533.72"
07-Dec-2023,257.41,+1.44,+0.56%,257.21,255.88,259.07,"497,290","128,011,548.00","-728,987,517.72"
06-Dec-2023,255.97,+0.78,+0.31%,256.80,255.64,261.00,"1,141,512","293,285,001.00","-856,999,065.72"
05-Dec-2023,255.19,+0.44,+0.17%,253.78,253.78,257.12,"822,600","209,988,287.00","-1,150,284,066.72"
04-Dec-2023,254.75,-2.01,-0.78%,253.57,252.48,255.28,"960,033","244,313,520.00","-1,360,272,353.72"
01-Dec-2023,256.76,+6.04,+2.41%,251.91,251.18,257.37,"945,856","241,914,980.00","-1,115,958,833.72"
30-Nov-2023,250.72,+1.27,+0.51%,251.04,248.07,251.50,"1,127,284","282,507,307.00","-1,357,873,813.72"
29-Nov-2023,249.45,+1.95,+0.79%,250.00,248.31,251.50,"641,426","160,180,417.00","-1,640,381,120.72"
28-Nov-2023,247.50,+0.11,+0.04%,247.74,246.12,248.80,"656,707","162,558,238.00","-1,800,561,537.72"
27-Nov-2023,247.39,+0.03,+0.01%,246.96,246.36,248.18,"722,861","178,816,126.00","-1,963,119,775.72"
24-Nov-2023,247.36,+1.35,+0.55%,246.91,246.91,248.88,"263,014","65,108,208.00","-2,141,935,901.72"
22-Nov-2023,246.01,-3.40,-1.36%,242.05,242.00,247.55,"780,453","191,372,515.00","-2,207,044,109.72"
21-Nov-2023,249.41,-1.04,-0.42%,249.44,248.45,249.75,"448,940","111,939,453.00","-2,015,671,594.72"
20-Nov-2023,250.45,-2.62,-1.04%,252.61,248.79,252.61,"730,834","183,175,214.00","-1,903,732,141.72"
17-Nov-2023,253.07,+4.86,+1.96%,250.09,250.00,254.25,"1,043,708","263,776,978.00","-1,720,556,927.72"
16-Nov-2023,248.21,-2.88,-1.15%,250.05,246.60,252.87,"843,720","209,645,001.00","-1,984,333,905.72"
15-Nov-2023,251.09,+3.23,+1.30%,249.52,248.60,252.84,"1,120,631","281,476,525.00","-1,774,688,904.72"
14-Nov-2023,247.86,+6.19,+2.56%,246.75,244.76,249.54,"997,681","247,400,642.00","-2,056,165,429.72"
13-Nov-2023,241.67,+1.99,+0.83%,238.88,238.88,243.30,"840,981","203,268,587.00","-2,303,566,071.72"
10-Nov-2023,239.68,+5.53,+2.36%,235.34,234.80,240.15,"848,453","202,416,052.00","-2,506,834,658.72"
09-Nov-2023,234.15,-0.67,-0.29%,237.44,233.85,239.28,"761,764","179,483,604.00","-2,709,250,710.72"
08-Nov-2023,234.82,-0.10,-0.04%,235.50,234.50,237.79,"541,317","127,339,385.00","-2,529,767,106.72"
07-Nov-2023,234.92,-3.36,-1.41%,234.58,233.78,237.12,"830,364","195,180,076.00","-2,402,427,721.72"
06-Nov-2023,238.28,-2.47,-1.03%,241.51,236.47,242.92,"708,854","168,904,154.00","-2,207,247,645.72"
03-Nov-2023,240.75,+1.63,+0.68%,241.51,238.19,243.90,"896,428","215,793,301.00","-2,038,343,491.72"
02-Nov-2023,239.12,+7.29,+3.14%,236.36,233.00,239.59,"878,545","209,002,491.00","-2,254,136,792.72"
01-Nov-2023,231.83,+5.78,+2.56%,225.11,223.96,232.60,"1,076,097","247,155,626.00","-2,463,139,283.72"
31-Oct-2023,226.05,-16.11,-6.65%,228.47,223.76,230.54,"2,213,589","501,789,481.00","-2,710,294,909.72"
30-Oct-2023,242.16,+3.60,+1.51%,240.94,239.36,243.54,"1,119,837","271,023,672.00","-2,208,505,428.72"
27-Oct-2023,238.56,-3.87,-1.60%,243.05,237.86,243.84,"885,950","212,192,753.00","-2,479,529,100.72"
26-Oct-2023,242.43,-2.51,-1.02%,245.53,240.41,246.60,"1,187,488","288,191,250.00","-2,267,336,347.72"
25-Oct-2023,244.94,-4.61,-1.85%,250.20,244.50,250.63,"775,416","190,712,471.00","-1,979,145,097.72"
24-Oct-2023,249.55,+2.23,+0.90%,250.25,247.40,251.59,"587,233","146,579,662.00","-1,788,432,626.72"
23-Oct-2023,247.32,-1.88,-0.75%,247.63,246.57,251.49,"991,868","246,277,427.00","-1,935,012,288.72"
20-Oct-2023,249.20,-3.69,-1.46%,251.31,248.17,253.47,"970,007","242,314,060.00","-1,688,734,861.72"
19-Oct-2023,252.89,-6.33,-2.44%,257.91,251.76,260.00,"953,958","243,065,859.00","-1,446,420,801.72"
18-Oct-2023,259.22,-13.43,-4.93%,268.50,258.77,268.50,"1,088,747","283,758,389.00","-1,203,354,942.72"
17-Oct-2023,272.65,+1.86,+0.69%,268.58,268.58,275.43,"462,599","126,105,696.00","-919,596,553.72"
16-Oct-2023,270.79,+2.85,+1.06%,272.12,269.58,273.82,"446,748","121,165,421.00","-1,045,702,249.72"
13-Oct-2023,267.94,-1.67,-0.62%,270.49,266.13,273.81,"526,461","141,351,223.00","-1,166,867,670.72"
12-Oct-2023,269.61,-3.22,-1.18%,273.80,266.22,273.80,"513,739","138,715,412.00","-1,025,516,447.72"
11-Oct-2023,272.83,-0.38,-0.14%,273.53,269.92,274.19,"427,762","116,508,663.00","-886,801,035.72"
10-Oct-2023,273.21,+1.91,+0.70%,272.65,271.92,275.09,"542,680","148,384,440.00","-770,292,372.72"
09-Oct-2023,271.30,+5.26,+1.98%,266.04,264.69,271.57,"468,654","126,461,922.00","-918,676,812.72"
06-Oct-2023,266.04,+5.24,+2.01%,262.00,258.30,268.33,"666,401","176,832,757.00","-1,045,138,734.72"
05-Oct-2023,260.80,-4.23,-1.60%,263.90,260.44,265.94,"917,832","240,021,059.00","-1,221,971,491.72"
04-Oct-2023,265.03,-3.94,-1.46%,267.50,262.86,267.82,"871,925","231,083,077.00","-981,950,432.72"
03-Oct-2023,268.97,-2.75,-1.01%,271.21,267.62,273.41,"777,991","209,439,146.00","-750,867,355.72"
02-Oct-2023,271.72,-1.28,-0.47%,272.64,270.27,276.39,"518,451","141,021,836.00","-541,428,209.72"
29-Sep-2023,273.00,-3.24,-1.17%,278.99,271.43,279.26,"862,280","235,848,161.00","-400,406,373.72"
28-Sep-2023,276.24,+3.53,+1.29%,273.49,272.39,278.18,"514,799","142,029,695.00","-164,558,212.72"
27-Sep-2023,272.71,+3.19,+1.18%,271.73,269.27,274.22,"551,354","150,216,360.00","-306,587,907.72"
26-Sep-2023,269.52,-4.75,-1.73%,271.15,269.20,273.42,"483,801","130,701,467.00","-456,804,267.72"
25-Sep-2023,274.27,+1.21,+0.44%,270.85,270.72,274.82,"344,951","94,348,249.00","-326,102,800.72"
22-Sep-2023,273.06,+1.03,+0.38%,272.01,271.69,275.08,"478,199","130,584,130.00","-420,451,049.72"
21-Sep-2023,272.03,-6.58,-2.36%,276.21,271.60,276.21,"623,286","169,922,631.00","-551,035,179.72"
20-Sep-2023,278.61,-1.06,-0.38%,281.50,278.08,286.53,"755,595","211,694,991.00","-381,112,548.72"
19-Sep-2023,279.67,-1.27,-0.45%,280.08,277.65,283.40,"695,487","194,539,891.00","-169,417,557.72"
18-Sep-2023,280.94,+1.79,+0.64%,279.06,279.00,282.74,"437,604","122,934,644.00","25,122,333.28"
15-Sep-2023,279.15,-3.41,-1.21%,281.87,277.38,281.87,"2,612,358","731,223,166.00","-97,812,310.72"
14-Sep-2023,282.56,+6.64,+2.41%,279.00,278.01,283.16,"728,636","205,492,286.00","633,410,855.28"
13-Sep-2023,275.92,-5.89,-2.09%,280.15,273.18,282.50,"547,132","151,330,660.00","427,918,569.28"
12-Sep-2023,281.81,-0.24,-0.09%,280.24,279.82,284.61,"411,742","116,193,490.00","579,249,229.28"
11-Sep-2023,282.05,-0.23,-0.08%,284.56,280.00,285.00,"434,349","122,522,082.00","695,442,719.28"
08-Sep-2023,282.28,+0.85,+0.30%,281.57,279.20,283.38,"401,951","113,418,374.00","817,964,801.28"
07-Sep-2023,281.43,-1.47,-0.52%,280.93,277.74,283.21,"479,737","134,840,604.00","704,546,427.28"
06-Sep-2023,282.90,+1.27,+0.45%,280.21,279.04,284.38,"483,839","136,541,427.00","839,387,031.28"
05-Sep-2023,281.63,-4.62,-1.61%,286.34,281.38,289.25,"713,350","201,595,527.00","702,845,604.28"
01-Sep-2023,286.25,+5.12,+1.82%,284.99,284.00,287.05,"689,233","197,014,392.00","904,441,131.28"
31-Aug-2023,281.13,-1.20,-0.43%,283.41,280.89,284.68,"813,377","228,978,926.00","707,426,739.28"
30-Aug-2023,282.33,+2.30,+0.82%,280.03,280.00,283.55,"411,986","116,199,868.00","936,405,665.28"
29-Aug-2023,280.03,+5.24,+1.91%,275.00,273.60,280.12,"598,082","166,782,823.00","820,205,797.28"
28-Aug-2023,274.79,+2.23,+0.82%,273.50,273.15,276.87,"435,290","119,643,698.00","653,422,974.28"
25-Aug-2023,272.56,+3.26,+1.21%,271.52,268.83,273.61,"436,764","118,894,239.00","533,779,276.28"
24-Aug-2023,269.30,-3.73,-1.37%,271.60,269.22,274.56,"440,666","119,188,067.00","414,885,037.28"
23-Aug-2023,273.03,+2.83,+1.05%,270.30,269.51,273.76,"471,541","128,568,795.00","534,073,104.28"
22-Aug-2023,270.20,-2.55,-0.93%,273.94,269.76,274.00,"544,516","147,359,463.00","405,504,309.28"
21-Aug-2023,272.75,-1.05,-0.38%,274.88,268.83,276.06,"517,056","140,751,043.00","552,863,772.28"
