Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,116.89,-0.22,-0.19%,116.73,115.94,117.27,"446,945","52,200,350.00","1,896,192,959.00"
28-Dec-2023,117.11,-0.31,-0.26%,118.71,116.98,118.76,"298,267","35,018,490.00","1,948,393,309.00"
27-Dec-2023,117.42,-0.15,-0.13%,117.28,116.97,117.68,"292,228","34,302,499.00","1,983,411,799.00"
26-Dec-2023,117.57,+2.24,+1.94%,115.59,115.59,117.84,"344,103","40,392,888.00","2,017,714,298.00"
22-Dec-2023,115.33,-2.98,-2.52%,115.00,114.02,117.80,"512,742","59,286,440.00","1,977,321,410.00"
21-Dec-2023,118.31,+1.30,+1.11%,117.49,116.91,118.43,"467,278","55,186,935.00","2,036,607,850.00"
20-Dec-2023,117.01,-3.80,-3.15%,119.83,117.01,120.09,"664,957","78,224,737.00","1,981,420,915.00"
19-Dec-2023,120.81,+1.45,+1.21%,119.77,119.35,121.03,"511,663","61,727,147.00","2,059,645,652.00"
18-Dec-2023,119.36,+0.61,+0.51%,119.57,118.95,121.30,"663,516","79,319,154.00","1,997,918,505.00"
15-Dec-2023,118.75,+3.15,+2.72%,115.67,115.66,120.81,"2,972,501","349,944,217.00","1,918,599,351.00"
14-Dec-2023,115.60,-0.83,-0.71%,116.64,115.37,117.81,"1,022,694","118,536,289.00","1,568,655,134.00"
13-Dec-2023,116.43,+1.94,+1.69%,114.59,113.57,116.74,"671,948","77,724,167.00","1,687,191,423.00"
12-Dec-2023,114.49,-1.66,-1.43%,116.15,113.85,116.39,"658,755","75,541,627.00","1,609,467,256.00"
11-Dec-2023,116.15,+4.94,+4.44%,111.55,111.41,116.30,"1,081,589","125,098,560.00","1,685,008,883.00"
08-Dec-2023,111.21,+0.68,+0.62%,109.99,109.99,111.61,"1,102,320","122,522,481.00","1,559,910,323.00"
07-Dec-2023,110.53,-2.10,-1.86%,113.26,109.49,113.26,"1,200,763","132,839,126.00","1,437,387,842.00"
06-Dec-2023,112.63,-5.68,-4.80%,119.34,112.24,119.48,"964,569","109,389,588.00","1,570,226,968.00"
05-Dec-2023,118.31,-0.61,-0.51%,118.71,115.99,118.94,"498,700","58,958,865.00","1,679,616,556.00"
04-Dec-2023,118.92,-0.96,-0.80%,118.88,118.05,119.48,"832,714","98,937,859.00","1,738,575,421.00"
01-Dec-2023,119.88,-1.16,-0.96%,120.62,119.66,120.94,"620,167","74,473,543.00","1,837,513,280.00"
30-Nov-2023,121.04,+0.46,+0.38%,120.59,120.53,121.84,"1,365,336","165,278,896.00","1,911,986,823.00"
29-Nov-2023,120.58,-3.87,-3.11%,123.55,119.79,123.92,"842,992","101,851,660.00","1,746,707,927.00"
28-Nov-2023,124.45,-0.65,-0.52%,124.98,123.79,126.47,"902,433","112,595,748.00","1,848,559,587.00"
27-Nov-2023,125.10,+1.24,+1.00%,123.93,123.42,125.35,"492,357","61,494,610.00","1,961,155,335.00"
24-Nov-2023,123.86,+0.61,+0.49%,123.07,123.06,124.28,"238,675","29,561,129.00","1,899,660,725.00"
22-Nov-2023,123.25,+0.74,+0.60%,122.90,122.04,123.84,"505,940","62,336,309.00","1,870,099,596.00"
21-Nov-2023,122.51,+0.23,+0.19%,122.90,121.92,123.00,"458,864","56,238,239.00","1,807,763,287.00"
20-Nov-2023,122.28,+0.59,+0.48%,122.45,121.48,122.85,"511,378","62,549,669.00","1,751,525,048.00"
17-Nov-2023,121.69,+0.02,+0.02%,122.20,121.60,123.51,"671,788","81,929,907.00","1,688,975,379.00"
16-Nov-2023,121.67,-0.32,-0.26%,123.00,121.52,123.83,"563,706","68,858,617.00","1,607,045,472.00"
15-Nov-2023,121.99,-4.53,-3.58%,126.58,121.71,127.02,"764,027","93,546,701.00","1,675,904,089.00"
14-Nov-2023,126.52,+4.80,+3.94%,124.05,123.44,126.69,"637,412","80,257,621.00","1,769,450,790.00"
13-Nov-2023,121.72,-0.05,-0.04%,121.38,121.22,122.17,"346,367","42,157,356.00","1,689,193,169.00"
10-Nov-2023,121.77,+1.14,+0.95%,121.45,121.45,122.63,"519,768","63,343,508.00","1,731,350,525.00"
09-Nov-2023,120.63,-0.55,-0.45%,121.59,120.52,124.24,"623,363","75,545,158.00","1,668,007,017.00"
08-Nov-2023,121.18,+1.31,+1.09%,120.42,119.06,121.47,"599,302","72,388,849.00","1,743,552,175.00"
07-Nov-2023,119.87,-4.86,-3.90%,124.44,118.69,124.44,"826,331","99,021,517.00","1,671,163,326.00"
06-Nov-2023,124.73,+7.66,+6.54%,118.99,118.09,125.58,"806,155","100,256,093.00","1,770,184,843.00"
03-Nov-2023,117.07,-0.12,-0.10%,118.65,116.87,118.65,"735,205","86,310,495.00","1,669,928,750.00"
02-Nov-2023,117.19,+2.34,+2.04%,114.91,114.58,117.88,"805,940","94,390,755.00","1,756,239,245.00"
01-Nov-2023,114.85,+1.93,+1.71%,113.59,112.84,115.38,"913,485","104,731,665.00","1,661,848,490.00"
31-Oct-2023,112.92,-0.11,-0.10%,113.12,111.25,113.43,"624,556","70,442,837.00","1,557,116,825.00"
30-Oct-2023,113.03,+2.25,+2.03%,111.86,111.51,113.15,"598,475","67,506,426.00","1,627,559,662.00"
27-Oct-2023,110.78,-1.94,-1.72%,113.00,109.92,113.00,"510,266","56,556,958.00","1,560,053,236.00"
26-Oct-2023,112.72,+0.69,+0.62%,112.00,111.14,113.00,"589,910","66,347,917.00","1,616,610,194.00"
25-Oct-2023,112.03,-2.24,-1.96%,114.23,111.68,114.23,"526,563","59,104,195.00","1,550,262,277.00"
24-Oct-2023,114.27,+2.16,+1.93%,113.26,113.26,115.30,"796,767","91,129,219.00","1,609,366,472.00"
23-Oct-2023,112.11,+0.01,+0.01%,111.83,110.53,113.00,"402,891","45,179,284.00","1,518,237,253.00"
20-Oct-2023,112.10,-2.19,-1.92%,114.29,111.94,114.29,"789,061","88,824,062.00","1,473,057,969.00"
19-Oct-2023,114.29,-1.78,-1.53%,116.00,114.13,116.61,"476,902","54,751,955.00","1,561,882,031.00"
18-Oct-2023,116.07,-1.08,-0.92%,117.33,115.81,118.51,"490,524","57,089,213.00","1,616,633,986.00"
17-Oct-2023,117.15,+0.32,+0.27%,116.05,115.83,117.92,"502,531","58,841,176.00","1,673,723,199.00"
16-Oct-2023,116.83,+3.14,+2.76%,114.77,114.64,117.11,"712,827","83,049,673.00","1,614,882,023.00"
13-Oct-2023,113.69,-2.03,-1.75%,116.77,112.99,117.30,"638,343","72,833,656.00","1,531,832,350.00"
12-Oct-2023,115.72,+0.65,+0.56%,114.91,114.49,116.16,"482,746","55,778,011.00","1,604,666,006.00"
11-Oct-2023,115.07,+2.07,+1.83%,113.91,113.32,115.16,"437,613","50,135,279.00","1,548,887,995.00"
10-Oct-2023,113.00,+1.62,+1.45%,110.96,110.96,113.46,"539,612","60,896,119.00","1,498,752,716.00"
