Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,116.07,-0.43,-0.37%,117.21,115.82,117.51,"1,452,158","168,771,277.00","-6,151,688,960.41"
28-Dec-2023,116.50,-1.99,-1.68%,117.66,116.44,118.13,"1,230,854","143,722,764.00","-5,982,917,683.41"
27-Dec-2023,118.49,-0.53,-0.45%,118.51,118.08,119.62,"1,492,232","176,934,805.00","-5,839,194,919.41"
26-Dec-2023,119.02,+1.36,+1.16%,118.70,118.39,119.42,"968,393","115,258,086.00","-5,662,260,114.41"
22-Dec-2023,117.66,+0.83,+0.71%,118.00,117.29,118.62,"1,715,842","202,104,654.00","-5,777,518,200.41"
21-Dec-2023,116.83,+0.14,+0.12%,116.50,115.28,116.88,"1,558,773","181,591,765.00","-5,979,622,854.41"
20-Dec-2023,116.69,+0.20,+0.17%,116.87,116.38,118.94,"2,713,608","317,706,694.00","-6,161,214,619.41"
19-Dec-2023,116.49,+1.59,+1.38%,114.95,114.26,116.64,"2,171,478","252,285,578.00","-6,478,921,313.41"
18-Dec-2023,114.90,+0.36,+0.31%,115.83,114.65,117.23,"2,481,637","285,968,599.00","-6,731,206,891.41"
15-Dec-2023,114.54,-0.41,-0.36%,114.35,113.64,115.73,"20,729,369","2,374,192,825.00","-7,017,175,490.41"
14-Dec-2023,114.95,+3.10,+2.77%,112.95,112.88,116.35,"3,506,862","402,952,029.00","-4,642,982,665.41"
13-Dec-2023,111.85,+0.79,+0.71%,111.50,110.87,112.25,"2,748,293","307,124,246.00","-5,045,934,694.41"
12-Dec-2023,111.06,-1.10,-0.98%,110.77,109.74,111.46,"1,703,526","188,963,970.00","-5,353,058,940.41"
11-Dec-2023,112.16,+0.09,+0.08%,112.12,111.54,112.62,"2,149,065","241,087,700.00","-5,164,094,970.41"
08-Dec-2023,112.07,+1.22,+1.10%,111.74,111.12,112.15,"2,368,304","265,070,631.00","-5,405,182,670.41"
07-Dec-2023,110.85,+0.33,+0.30%,111.32,110.67,111.89,"1,917,721","212,982,197.00","-5,670,253,301.41"
06-Dec-2023,110.52,-2.62,-2.32%,111.41,109.74,112.16,"2,719,523","300,893,755.00","-5,883,235,498.41"
05-Dec-2023,113.14,-1.39,-1.21%,114.73,113.05,114.90,"2,272,694","258,151,610.00","-5,582,341,743.41"
04-Dec-2023,114.53,-0.70,-0.61%,114.08,113.89,115.89,"1,436,825","164,697,808.00","-5,324,190,133.41"
01-Dec-2023,115.23,-0.34,-0.29%,115.03,114.85,117.02,"1,667,782","192,829,818.00","-5,159,492,325.41"
30-Nov-2023,115.57,+1.60,+1.40%,115.17,113.64,116.69,"5,741,942","663,193,762.00","-4,966,662,507.41"
29-Nov-2023,113.97,-1.01,-0.88%,115.38,113.32,115.38,"1,650,674","188,275,644.00","-5,629,856,269.41"
28-Nov-2023,114.98,+0.18,+0.16%,115.26,114.50,115.97,"1,232,253","141,841,939.00","-5,441,580,625.41"
