Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
31-Jul-2024,160.47,+0.90,+0.56%,161.16,160.09,161.41,"2,110,939","339,032,988.00","-791,167,773.00"
30-Jul-2024,159.57,+2.97,+1.90%,156.46,156.46,160.09,"1,667,747","265,350,593.00","-1,130,200,761.00"
29-Jul-2024,156.60,-1.24,-0.79%,157.99,154.87,157.99,"1,463,275","228,852,159.00","-1,395,551,354.00"
26-Jul-2024,157.84,+0.30,+0.19%,157.51,157.10,159.02,"1,757,654","277,638,105.00","-1,166,699,195.00"
25-Jul-2024,157.54,+2.47,+1.59%,155.08,154.69,158.25,"1,847,572","290,379,054.00","-1,444,337,300.00"
24-Jul-2024,155.07,+0.98,+0.64%,154.82,153.45,155.70,"1,969,544","305,235,929.00","-1,734,716,354.00"
23-Jul-2024,154.09,-2.90,-1.85%,156.28,153.85,156.56,"1,815,735","280,409,827.00","-2,039,952,283.00"
22-Jul-2024,156.99,-2.16,-1.36%,158.38,156.86,158.94,"1,386,756","218,230,246.00","-1,759,542,456.00"
19-Jul-2024,159.15,-2.82,-1.74%,162.09,158.41,162.53,"2,279,456","364,820,887.00","-1,541,312,210.00"
18-Jul-2024,161.97,+0.74,+0.46%,160.93,160.26,164.27,"1,614,258","261,884,235.00","-1,176,491,323.00"
17-Jul-2024,161.23,+3.46,+2.19%,158.60,158.60,161.47,"2,278,554","366,436,515.00","-1,438,375,558.00"
16-Jul-2024,157.77,-0.27,-0.17%,156.40,156.17,158.31,"2,501,907","394,384,544.00","-1,804,812,073.00"
15-Jul-2024,158.04,+2.45,+1.57%,157.06,156.38,159.50,"1,812,576","286,589,805.00","-1,410,427,529.00"
12-Jul-2024,155.59,+0.33,+0.21%,156.17,154.57,156.44,"2,269,928","353,082,723.00","-1,697,017,334.00"
11-Jul-2024,155.26,+0.13,+0.08%,154.70,154.26,156.68,"2,016,622","313,328,289.00","-2,050,100,057.00"
10-Jul-2024,155.13,+2.15,+1.41%,152.40,152.30,155.43,"1,824,157","282,009,872.00","-2,363,428,346.00"
09-Jul-2024,152.98,-1.35,-0.87%,152.77,152.39,154.76,"1,973,971","302,721,214.00","-2,645,438,218.00"
08-Jul-2024,154.33,+0.02,+0.01%,153.46,153.45,155.28,"1,574,748","242,888,489.00","-2,342,717,004.00"
05-Jul-2024,154.31,-2.40,-1.53%,156.47,153.69,156.47,"1,926,281","297,467,519.00","-2,585,605,493.00"
03-Jul-2024,156.71,-0.04,-0.03%,156.70,156.57,157.73,"956,122","150,012,488.00","-2,288,137,974.00"
02-Jul-2024,156.75,+0.23,+0.15%,157.72,155.45,157.72,"1,864,972","292,046,694.00","-2,138,125,486.00"
