Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,90.29,-0.11,-0.12%,90.10,89.87,90.60,"2,116,333","191,024,203.00","-17,318,403,773.23"
28-Dec-2023,90.40,+0.02,+0.02%,90.00,89.98,90.97,"1,729,507","156,283,012.00","-17,127,379,570.23"
27-Dec-2023,90.38,-0.57,-0.63%,90.88,90.04,90.89,"2,924,578","264,335,822.00","-17,283,662,582.23"
26-Dec-2023,90.95,-0.07,-0.08%,90.74,90.60,91.26,"1,982,046","180,254,236.00","-17,019,326,760.23"
22-Dec-2023,91.02,-1.00,-1.09%,91.62,90.75,92.24,"2,159,015","196,886,373.00","-16,839,072,524.23"
21-Dec-2023,92.02,+0.75,+0.82%,91.74,91.07,92.07,"2,815,806","258,544,273.00","-16,642,186,151.23"
20-Dec-2023,91.27,-2.66,-2.83%,93.15,91.25,94.26,"3,254,663","298,917,598.00","-16,900,730,424.23"
19-Dec-2023,93.93,+1.07,+1.15%,92.80,92.80,93.98,"2,050,330","191,969,972.00","-16,601,812,826.23"
18-Dec-2023,92.86,-0.60,-0.64%,92.99,92.78,93.70,"2,379,418","221,141,270.00","-16,793,782,798.23"
15-Dec-2023,93.46,-0.48,-0.51%,93.29,92.95,93.94,"7,660,548","715,584,957.00","-16,572,641,528.23"
14-Dec-2023,93.94,+1.11,+1.20%,93.53,93.49,94.83,"2,682,347","251,934,284.00","-15,857,056,571.23"
13-Dec-2023,92.83,+1.76,+1.93%,91.20,90.79,92.86,"2,293,858","212,040,201.00","-16,108,990,855.23"
12-Dec-2023,91.07,-1.13,-1.23%,92.16,90.87,92.16,"3,159,960","288,211,962.00","-16,321,031,056.23"
11-Dec-2023,92.20,-0.62,-0.67%,92.88,91.97,93.07,"3,561,680","328,689,914.00","-16,032,819,094.23"
08-Dec-2023,92.82,+0.47,+0.51%,92.10,92.07,93.52,"2,150,987","199,543,810.00","-15,704,129,180.23"
07-Dec-2023,92.35,+0.85,+0.93%,91.93,91.73,93.39,"2,099,061","194,086,221.00","-15,903,672,990.23"
06-Dec-2023,91.50,+0.71,+0.78%,91.20,90.64,92.54,"2,118,462","193,961,870.00","-16,097,759,211.23"
05-Dec-2023,90.79,-1.22,-1.33%,91.56,89.94,91.76,"2,362,284","214,499,445.00","-16,291,721,081.23"
04-Dec-2023,92.01,-0.57,-0.62%,92.00,91.62,92.41,"2,833,130","260,714,751.00","-16,077,221,636.23"
01-Dec-2023,92.58,-0.11,-0.12%,92.81,91.78,92.81,"2,860,582","264,616,355.00","-15,816,506,885.23"
30-Nov-2023,92.69,+0.19,+0.21%,93.55,92.20,93.84,"4,232,118","392,469,274.00","-15,551,890,530.23"
29-Nov-2023,92.50,0.00,0.00%,92.51,91.44,93.24,"3,018,452","279,091,223.00","-15,944,359,804.23"
28-Nov-2023,92.50,-2.67,-2.81%,95.00,92.45,95.13,"3,614,293","335,654,738.00","-15,665,268,581.23"
27-Nov-2023,95.17,-0.89,-0.93%,95.64,94.53,95.67,"2,235,154","212,784,369.00","-15,329,613,843.23"
24-Nov-2023,96.06,+0.99,+1.04%,95.00,95.00,96.51,"1,142,115","109,522,544.00","-15,116,829,474.23"
22-Nov-2023,95.07,+0.62,+0.66%,94.93,94.76,95.70,"1,532,651","145,788,939.00","-15,226,352,018.23"
21-Nov-2023,94.45,-0.58,-0.61%,94.80,93.97,94.95,"1,918,264","181,252,531.00","-15,372,140,957.23"
20-Nov-2023,95.03,+0.88,+0.93%,94.15,93.88,95.58,"3,064,668","290,931,125.00","-15,190,888,426.23"
17-Nov-2023,94.15,-0.36,-0.38%,94.65,93.93,95.37,"2,633,637","248,510,138.00","-15,481,819,551.23"
16-Nov-2023,94.51,+0.58,+0.62%,93.92,93.65,94.61,"2,906,933","274,165,784.00","-15,233,309,413.23"
15-Nov-2023,93.93,+2.86,+3.14%,93.00,92.83,94.56,"4,111,907","385,610,992.00","-15,507,475,197.23"
14-Nov-2023,91.07,+1.63,+1.82%,90.16,90.16,91.54,"2,260,533","205,668,782.00","-15,893,086,189.23"
13-Nov-2023,89.44,+1.17,+1.33%,88.42,87.43,89.90,"2,543,628","226,837,295.00","-16,098,754,971.23"
10-Nov-2023,88.27,-2.07,-2.29%,90.00,86.94,90.01,"3,939,517","347,819,091.00","-16,325,592,266.23"
09-Nov-2023,90.34,+5.84,+6.91%,87.83,87.60,91.21,"6,572,965","591,504,524.00","-15,977,773,175.23"
08-Nov-2023,84.50,-0.09,-0.11%,84.03,83.96,84.91,"3,609,273","305,038,813.00","-16,569,277,699.23"
07-Nov-2023,84.59,+0.57,+0.68%,84.43,83.96,84.67,"2,033,572","171,761,707.00","-16,264,238,886.23"
06-Nov-2023,84.02,-1.05,-1.23%,85.35,83.59,85.80,"3,318,476","279,662,810.00","-16,436,000,593.23"
03-Nov-2023,85.07,+1.78,+2.14%,84.55,84.45,85.93,"2,473,905","210,503,511.00","-16,156,337,783.23"
02-Nov-2023,83.29,+2.22,+2.74%,81.93,81.93,83.30,"2,543,788","211,194,611.00","-16,366,841,294.23"
01-Nov-2023,81.07,-0.52,-0.64%,81.51,80.18,81.54,"1,922,437","155,752,483.00","-16,578,035,905.23"
31-Oct-2023,81.59,+0.91,+1.13%,80.64,80.34,81.67,"2,071,547","168,610,617.00","-16,422,283,422.23"
30-Oct-2023,80.68,+1.35,+1.70%,79.63,79.54,80.93,"2,034,377","163,511,606.00","-16,590,894,039.23"
27-Oct-2023,79.33,-0.45,-0.56%,79.78,79.23,81.02,"2,290,264","182,361,596.00","-16,754,405,645.23"
26-Oct-2023,79.78,-0.81,-1.01%,80.17,79.42,80.61,"2,313,715","184,938,446.00","-16,572,044,049.23"
25-Oct-2023,80.59,-1.97,-2.39%,82.15,80.52,82.53,"1,780,097","144,159,401.00","-16,387,105,603.23"
24-Oct-2023,82.56,-0.54,-0.65%,83.41,81.75,84.18,"1,655,046","136,831,652.00","-16,242,946,202.23"
23-Oct-2023,83.10,+0.45,+0.54%,82.01,80.92,84.03,"1,983,936","164,478,915.00","-16,106,114,550.23"
20-Oct-2023,82.65,-0.60,-0.72%,82.99,82.61,83.44,"3,035,111","251,384,700.00","-16,270,593,465.23"
19-Oct-2023,83.25,-1.43,-1.69%,85.04,83.17,85.26,"3,183,456","266,642,961.00","-16,019,208,765.23"
18-Oct-2023,84.68,-1.52,-1.76%,85.66,84.60,86.26,"2,093,618","178,112,839.00","-15,752,565,804.23"
17-Oct-2023,86.20,+0.49,+0.57%,85.60,85.34,86.28,"2,604,566","224,101,697.00","-15,574,452,965.23"
16-Oct-2023,85.71,+1.36,+1.61%,84.35,84.32,85.92,"2,302,990","196,831,836.00","-15,798,554,662.23"
13-Oct-2023,84.35,0.00,0.00%,83.83,83.39,84.58,"2,397,343","201,798,753.00","-15,995,386,498.23"
12-Oct-2023,84.35,-0.50,-0.59%,84.88,83.52,85.06,"1,807,989","152,492,158.00","-15,793,587,745.23"
11-Oct-2023,84.85,-0.14,-0.16%,85.63,84.26,85.70,"1,849,683","157,065,935.00","-15,641,095,587.23"
10-Oct-2023,84.99,+0.29,+0.34%,84.71,83.95,85.28,"2,144,422","182,125,749.00","-15,484,029,652.23"
09-Oct-2023,84.70,+1.76,+2.12%,84.35,83.13,84.88,"2,834,540","239,323,831.00","-15,666,155,401.23"
06-Oct-2023,82.94,+2.13,+2.64%,81.08,80.49,83.52,"3,043,131","251,008,337.00","-15,905,479,232.23"
05-Oct-2023,80.81,+1.49,+1.88%,79.11,78.89,80.92,"3,179,074","255,883,566.00","-16,156,487,569.23"
04-Oct-2023,79.32,-0.22,-0.28%,79.54,78.74,79.77,"2,384,615","188,993,959.00","-16,412,371,135.23"
03-Oct-2023,79.54,-2.13,-2.61%,81.14,79.47,81.88,"2,207,277","176,399,186.00","-16,223,377,176.23"
02-Oct-2023,81.67,+0.62,+0.76%,80.94,80.80,81.77,"2,005,141","163,272,010.00","-16,046,977,990.23"
29-Sep-2023,81.05,+0.92,+1.15%,80.69,80.41,81.33,"2,827,457","228,835,243.00","-16,210,250,000.23"
28-Sep-2023,80.13,+0.23,+0.29%,80.15,79.66,80.90,"1,844,470","147,800,102.00","-16,439,085,243.23"
27-Sep-2023,79.90,-0.15,-0.19%,80.00,79.22,80.55,"2,459,914","196,419,545.00","-16,586,885,345.23"
26-Sep-2023,80.05,-0.96,-1.19%,80.30,79.80,80.71,"2,263,118","181,321,654.00","-16,390,465,800.23"
25-Sep-2023,81.01,-0.24,-0.30%,81.56,80.57,81.76,"2,275,050","184,360,320.00","-16,209,144,146.23"
22-Sep-2023,81.25,-1.48,-1.79%,83.00,81.21,83.33,"2,242,562","183,172,044.00","-16,024,783,826.23"
21-Sep-2023,82.73,+0.17,+0.21%,82.00,81.93,83.65,"2,327,918","192,680,207.00","-15,841,611,782.23"
20-Sep-2023,82.56,+0.62,+0.76%,81.97,81.64,83.19,"2,215,281","182,737,498.00","-16,034,291,989.23"
19-Sep-2023,81.94,-3.08,-3.62%,84.02,81.72,84.79,"3,504,467","288,525,620.00","-16,217,029,487.23"
18-Sep-2023,85.02,-0.56,-0.65%,85.31,84.98,85.90,"1,948,648","166,084,899.00","-15,928,503,867.23"
15-Sep-2023,85.58,+1.10,+1.30%,85.08,84.62,86.18,"6,918,784","591,228,537.00","-15,762,418,968.23"
14-Sep-2023,84.48,+1.00,+1.20%,84.25,83.05,84.73,"4,126,872","347,806,308.00","-16,353,647,505.23"
13-Sep-2023,83.48,-0.20,-0.24%,83.65,83.12,84.05,"1,828,689","152,757,418.00","-16,701,453,813.23"
12-Sep-2023,83.68,+1.16,+1.41%,82.94,82.60,84.67,"2,523,377","211,166,058.00","-16,548,696,395.23"
11-Sep-2023,82.52,+0.94,+1.15%,82.00,81.18,83.84,"3,669,096","302,884,493.00","-16,759,862,453.23"
08-Sep-2023,81.58,+1.01,+1.25%,80.60,80.18,81.67,"3,044,912","247,920,862.00","-17,062,746,946.23"
07-Sep-2023,80.57,-0.41,-0.51%,80.66,79.75,80.79,"2,532,132","203,701,894.00","-17,310,667,808.23"
06-Sep-2023,80.98,-0.21,-0.26%,80.87,80.54,82.09,"2,529,560","204,855,335.00","-17,106,965,914.23"
05-Sep-2023,81.19,-0.45,-0.55%,81.49,81.18,82.38,"2,488,034","202,754,063.00","-16,902,110,579.23"
01-Sep-2023,81.64,-2.04,-2.44%,82.00,80.55,82.23,"4,211,301","343,812,258.00","-16,699,356,516.23"
31-Aug-2023,83.68,-0.60,-0.71%,84.60,83.65,84.61,"2,428,886","203,639,531.00","-16,355,544,258.23"
30-Aug-2023,84.28,-0.12,-0.14%,84.40,83.83,84.67,"2,254,965","189,988,241.00","-16,151,904,727.23"
29-Aug-2023,84.40,+0.24,+0.29%,83.73,83.73,84.54,"1,914,525","161,366,425.00","-15,961,916,486.23"
28-Aug-2023,84.16,+0.80,+0.96%,83.81,83.54,84.68,"1,665,658","140,094,709.00","-16,123,282,911.23"
25-Aug-2023,83.36,+0.89,+1.08%,83.09,82.47,83.60,"2,358,124","196,185,947.00","-16,263,377,620.23"
24-Aug-2023,82.47,-3.36,-3.91%,85.50,82.46,85.93,"4,015,532","334,512,885.00","-16,459,563,567.23"
23-Aug-2023,85.83,+0.04,+0.05%,85.80,85.64,86.32,"1,605,215","137,899,096.00","-16,125,050,682.23"
22-Aug-2023,85.79,-0.09,-0.10%,85.74,85.38,86.07,"1,683,553","144,383,286.00","-16,262,949,778.23"
21-Aug-2023,85.88,-0.08,-0.09%,85.84,85.41,86.24,"1,880,745","161,421,464.00","-16,118,566,492.23"
18-Aug-2023,85.96,+0.04,+0.05%,85.50,85.39,86.70,"2,432,243","208,760,827.00","-15,957,145,028.23"
17-Aug-2023,85.92,-0.43,-0.50%,86.88,85.81,86.92,"2,583,037","222,464,363.00","-16,165,905,855.23"
16-Aug-2023,86.35,-0.71,-0.82%,86.50,86.08,87.05,"2,046,906","176,910,761.00","-15,943,441,492.23"
15-Aug-2023,87.06,-1.75,-1.97%,88.00,86.90,88.23,"2,610,015","228,084,628.00","-15,766,530,731.23"
14-Aug-2023,88.81,-0.21,-0.24%,88.58,88.00,89.30,"1,957,994","173,542,995.00","-15,538,446,103.23"
11-Aug-2023,89.02,-2.74,-2.99%,91.00,88.86,91.35,"2,951,533","264,542,358.00","-15,364,903,108.23"
10-Aug-2023,91.76,+4.27,+4.88%,90.00,87.75,92.53,"6,157,410","559,399,163.00","-15,100,360,750.23"
09-Aug-2023,87.49,-0.64,-0.73%,89.04,87.05,89.23,"3,028,424","266,378,190.00","-15,659,759,913.23"
08-Aug-2023,88.13,+1.30,+1.50%,86.38,86.12,88.33,"3,220,936","282,288,553.00","-15,393,381,723.23"
07-Aug-2023,86.83,+0.53,+0.61%,86.60,86.00,87.20,"1,799,133","155,849,553.00","-15,675,670,276.23"
04-Aug-2023,86.30,+0.81,+0.95%,85.99,85.45,87.11,"1,873,649","161,648,327.00","-15,831,519,829.23"
03-Aug-2023,85.49,-0.81,-0.94%,85.60,85.45,86.43,"2,510,580","215,024,651.00","-15,993,168,156.23"
02-Aug-2023,86.30,-2.73,-3.07%,88.07,86.27,88.24,"2,674,711","232,019,881.00","-15,778,143,505.23"
01-Aug-2023,89.03,+0.14,+0.16%,89.05,88.49,89.73,"2,504,379","223,169,055.00","-15,546,123,624.23"
31-Jul-2023,88.89,+2.76,+3.20%,86.96,86.94,89.35,"3,482,568","308,082,234.00","-15,769,292,679.23"
28-Jul-2023,86.13,+0.77,+0.90%,85.88,85.45,86.58,"2,573,649","221,439,509.00","-16,077,374,913.23"
27-Jul-2023,85.36,-0.50,-0.58%,86.59,85.20,86.88,"2,833,854","243,044,572.00","-16,298,814,422.23"
26-Jul-2023,85.86,+0.23,+0.27%,85.67,85.46,86.26,"3,279,175","281,433,842.00","-16,055,769,850.23"
25-Jul-2023,85.63,-0.97,-1.12%,85.59,85.16,86.31,"2,461,334","210,947,645.00","-16,337,203,692.23"
24-Jul-2023,86.60,-0.58,-0.67%,87.40,86.56,87.96,"2,386,322","207,511,277.00","-16,126,256,047.23"
21-Jul-2023,87.18,+0.97,+1.13%,86.20,85.89,87.88,"3,014,474","262,099,315.00","-15,918,744,770.23"
20-Jul-2023,86.21,-0.83,-0.95%,86.50,86.04,87.17,"3,075,884","265,692,213.00","-16,180,844,085.23"
19-Jul-2023,87.04,+1.09,+1.27%,86.30,86.30,87.89,"3,376,423","293,939,248.00","-15,915,151,872.23"
18-Jul-2023,85.95,+0.39,+0.46%,85.52,85.31,87.29,"4,202,418","361,538,407.00","-16,209,091,120.23"
17-Jul-2023,85.56,-3.06,-3.45%,88.46,85.30,88.48,"5,832,797","502,126,164.00","-16,570,629,527.23"
14-Jul-2023,88.62,-1.85,-2.04%,90.14,88.43,90.48,"3,011,067","268,167,595.00","-16,068,503,363.23"
13-Jul-2023,90.47,+0.32,+0.35%,90.50,89.10,90.80,"2,202,502","199,019,805.00","-15,800,335,768.23"
12-Jul-2023,90.15,+0.66,+0.74%,90.27,89.58,90.70,"2,594,677","233,971,343.00","-15,999,355,573.23"
11-Jul-2023,89.49,+1.39,+1.58%,88.15,88.15,89.59,"2,925,890","261,373,061.00","-16,233,326,916.23"
10-Jul-2023,88.10,-0.54,-0.61%,88.20,87.86,88.68,"3,298,963","290,733,059.00","-16,494,699,977.23"
07-Jul-2023,88.64,-0.10,-0.11%,88.21,88.10,89.73,"1,732,624","153,891,421.00","-16,203,966,918.23"
06-Jul-2023,88.74,-1.05,-1.17%,88.69,87.78,88.82,"2,106,101","186,565,325.00","-16,050,075,497.23"
