Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,97.04,+0.12,+0.12%,96.64,96.36,97.26,"1,052,724","102,064,417.00","5,358,620,514.24"
28-Dec-2023,96.92,+0.62,+0.64%,96.00,96.00,97.05,"593,861","57,510,149.00","5,256,556,097.24"
27-Dec-2023,96.30,-0.43,-0.44%,96.40,96.02,96.76,"637,491","61,398,894.00","5,199,045,948.24"
26-Dec-2023,96.73,-0.13,-0.13%,96.62,96.62,97.50,"618,821","59,940,853.00","5,260,444,842.24"
22-Dec-2023,96.86,+0.50,+0.52%,96.84,96.63,97.64,"529,805","51,363,680.00","5,320,385,695.24"
21-Dec-2023,96.36,+0.68,+0.71%,95.94,95.23,96.50,"683,289","65,701,764.00","5,269,022,015.24"
20-Dec-2023,95.68,-1.13,-1.17%,96.64,95.56,97.27,"1,015,149","97,438,239.00","5,203,320,251.24"
19-Dec-2023,96.81,-0.36,-0.37%,97.54,96.47,97.54,"734,069","71,117,294.00","5,300,758,490.24"
18-Dec-2023,97.17,+0.54,+0.56%,97.20,96.81,98.30,"1,196,126","116,300,167.00","5,371,875,784.24"
15-Dec-2023,96.63,-1.68,-1.71%,97.42,95.62,98.13,"4,613,518","447,194,743.00","5,255,575,617.24"
14-Dec-2023,98.31,+0.23,+0.23%,98.76,98.00,99.47,"1,697,161","167,200,709.00","5,702,770,360.24"
13-Dec-2023,98.08,+2.75,+2.88%,95.50,94.85,98.14,"1,239,753","120,975,694.00","5,535,569,651.24"
12-Dec-2023,95.33,-0.03,-0.03%,95.49,94.14,95.50,"907,945","86,454,892.00","5,414,593,957.24"
11-Dec-2023,95.36,+0.97,+1.03%,94.04,93.59,95.40,"1,365,947","129,940,027.00","5,501,048,849.24"
08-Dec-2023,94.39,-0.07,-0.07%,94.45,93.80,94.74,"1,027,163","96,928,163.00","5,371,108,822.24"
07-Dec-2023,94.46,+0.52,+0.55%,94.05,93.34,94.89,"799,784","75,539,470.00","5,468,036,985.24"
06-Dec-2023,93.94,+1.47,+1.59%,92.91,92.65,93.95,"929,369","86,995,463.00","5,392,497,515.24"
05-Dec-2023,92.47,-0.26,-0.28%,92.86,91.90,92.89,"786,827","72,729,187.00","5,305,502,052.24"
04-Dec-2023,92.73,+0.09,+0.10%,92.02,92.02,93.23,"817,104","75,748,304.00","5,378,231,239.24"
01-Dec-2023,92.64,+0.36,+0.39%,92.20,91.57,92.65,"1,200,324","110,974,231.00","5,302,482,935.24"
30-Nov-2023,92.28,+1.57,+1.73%,91.66,91.12,92.40,"1,969,372","181,477,822.00","5,191,508,704.24"
29-Nov-2023,90.71,-0.42,-0.46%,91.22,90.37,91.68,"750,389","68,158,556.00","5,010,030,882.24"
28-Nov-2023,91.13,+0.20,+0.22%,90.96,90.73,91.93,"840,173","76,689,667.00","5,078,189,438.24"
27-Nov-2023,90.93,+0.19,+0.21%,90.86,90.19,91.12,"730,772","66,410,978.00","5,001,499,771.24"
24-Nov-2023,90.74,+0.38,+0.42%,90.24,89.93,90.79,"362,708","32,856,803.00","4,935,088,793.24"
22-Nov-2023,90.36,+0.48,+0.53%,90.00,89.52,90.44,"833,170","75,182,217.00","4,902,231,990.24"
21-Nov-2023,89.88,+0.58,+0.65%,89.53,88.74,89.93,"674,604","60,540,878.00","4,827,049,773.24"
20-Nov-2023,89.30,-0.71,-0.79%,89.49,88.28,90.04,"920,677","82,286,770.00","4,766,508,895.24"
17-Nov-2023,90.01,-0.17,-0.19%,90.64,89.71,90.68,"974,275","87,816,116.00","4,848,795,665.24"
16-Nov-2023,90.18,+0.57,+0.64%,89.35,89.35,90.57,"1,037,429","93,519,510.00","4,936,611,781.24"
15-Nov-2023,89.61,-0.24,-0.27%,89.77,89.48,90.92,"913,850","81,986,802.00","4,843,092,271.24"
14-Nov-2023,89.85,+2.83,+3.25%,88.63,88.55,89.89,"1,134,626","101,635,973.00","4,925,079,073.24"
13-Nov-2023,87.02,-1.25,-1.42%,88.19,86.61,88.36,"837,179","72,921,567.00","4,823,443,100.24"
10-Nov-2023,88.27,+0.31,+0.35%,88.47,87.73,88.65,"794,800","70,113,093.00","4,896,364,667.24"
09-Nov-2023,87.96,-0.40,-0.45%,88.53,87.91,89.35,"867,542","76,515,048.00","4,826,251,574.24"
08-Nov-2023,88.36,-0.92,-1.03%,88.78,87.17,88.96,"885,039","78,078,696.00","4,902,766,622.24"
07-Nov-2023,89.28,-0.44,-0.49%,90.00,89.12,90.01,"916,610","81,885,917.00","4,980,845,318.24"
06-Nov-2023,89.72,-0.56,-0.62%,90.18,89.47,90.42,"1,163,024","104,469,350.00","5,062,731,235.24"
03-Nov-2023,90.28,+0.39,+0.43%,91.23,90.23,91.97,"1,176,997","106,745,637.00","5,167,200,585.24"
02-Nov-2023,89.89,+0.35,+0.39%,89.78,89.00,90.44,"1,275,162","114,677,619.00","5,060,454,948.24"
01-Nov-2023,89.54,+0.65,+0.73%,89.20,88.43,89.98,"1,203,439","107,724,807.00","4,945,777,329.24"
31-Oct-2023,88.89,+0.99,+1.13%,88.35,87.91,88.93,"1,015,451","90,111,587.00","4,838,052,522.24"
30-Oct-2023,87.90,+0.37,+0.42%,87.84,87.08,88.62,"670,473","58,866,298.00","4,747,940,935.24"
27-Oct-2023,87.53,-1.67,-1.87%,88.86,87.12,89.12,"808,493","70,929,269.00","4,689,074,637.24"
26-Oct-2023,89.20,+1.05,+1.19%,88.45,88.41,89.72,"851,859","75,895,385.00","4,760,003,906.24"
25-Oct-2023,88.15,+0.39,+0.44%,87.64,87.18,88.44,"794,278","69,949,889.00","4,684,108,521.24"
24-Oct-2023,87.76,+1.43,+1.66%,87.11,86.89,88.24,"1,043,801","91,608,875.00","4,614,158,632.24"
23-Oct-2023,86.33,-0.70,-0.80%,86.20,85.80,87.60,"852,826","73,762,877.00","4,522,549,757.24"
