Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,198.35,-0.52,-0.26%,198.79,197.99,199.27,"290,983","57,722,693.00","4,385,542,325.30"
28-Dec-2023,198.87,-0.52,-0.26%,199.30,198.57,199.72,"166,801","33,179,611.00","4,443,265,018.30"
27-Dec-2023,199.39,+0.75,+0.38%,197.97,197.97,199.67,"198,322","39,511,802.00","4,476,444,629.30"
26-Dec-2023,198.64,+1.02,+0.52%,197.61,197.51,199.35,"267,671","53,164,159.00","4,436,932,827.30"
22-Dec-2023,197.62,+0.71,+0.36%,197.09,197.09,198.68,"190,405","37,630,558.00","4,383,768,668.30"
21-Dec-2023,196.91,+2.06,+1.06%,196.06,195.31,197.18,"188,163","37,018,662.00","4,346,138,110.30"
20-Dec-2023,194.85,-1.99,-1.01%,196.43,194.83,197.50,"721,072","140,664,405.00","4,309,119,448.30"
19-Dec-2023,196.84,+0.09,+0.05%,197.30,196.43,197.90,"399,084","78,576,171.00","4,449,783,853.30"
18-Dec-2023,196.75,-0.03,-0.02%,196.20,195.13,197.35,"285,096","56,084,509.00","4,371,207,682.30"
15-Dec-2023,196.78,+0.08,+0.04%,195.30,194.85,197.26,"1,316,053","258,206,919.00","4,427,292,191.30"
14-Dec-2023,196.70,-1.80,-0.91%,199.14,196.23,201.59,"408,242","80,562,466.00","4,169,085,272.30"
13-Dec-2023,198.50,+4.48,+2.31%,194.91,194.53,198.64,"410,266","81,092,344.00","4,249,647,738.30"
12-Dec-2023,194.02,+0.56,+0.29%,193.74,192.54,194.83,"272,544","52,885,539.00","4,168,555,394.30"
11-Dec-2023,193.46,+1.34,+0.70%,192.13,192.13,194.29,"359,737","69,557,475.00","4,115,669,855.30"
08-Dec-2023,192.12,-0.30,-0.16%,192.38,190.96,192.70,"263,750","50,650,624.00","4,046,112,380.30"
07-Dec-2023,192.42,+2.12,+1.11%,190.95,189.79,192.58,"244,205","46,933,924.00","4,096,763,004.30"
06-Dec-2023,190.30,+0.30,+0.16%,191.52,190.01,192.00,"374,564","71,328,009.00","4,049,829,080.30"
05-Dec-2023,190.00,-1.44,-0.75%,191.09,189.05,191.09,"513,362","97,583,843.00","3,978,501,071.30"
04-Dec-2023,191.44,-0.96,-0.50%,191.49,191.01,193.63,"621,994","119,091,870.00","4,076,084,914.30"
01-Dec-2023,192.40,+0.67,+0.35%,191.47,191.24,193.09,"394,149","75,821,280.00","4,195,176,784.30"
30-Nov-2023,191.73,+3.10,+1.64%,188.86,188.62,191.95,"849,550","162,661,259.00","4,119,355,504.30"
29-Nov-2023,188.63,+0.22,+0.12%,189.00,187.95,189.15,"276,911","52,229,620.00","3,956,694,245.30"
28-Nov-2023,188.41,-0.59,-0.31%,188.94,188.21,189.45,"428,245","80,715,970.00","3,904,464,625.30"
27-Nov-2023,189.00,+1.76,+0.94%,186.56,186.55,189.35,"336,364","63,503,953.00","3,985,180,595.30"
24-Nov-2023,187.24,+0.59,+0.32%,186.87,186.00,187.72,"97,053","18,165,926.00","3,921,676,642.30"
22-Nov-2023,186.65,+0.05,+0.03%,187.60,186.12,187.80,"272,623","50,903,985.00","3,903,510,716.30"
21-Nov-2023,186.60,+1.62,+0.88%,185.97,185.18,187.16,"242,097","45,170,856.00","3,852,606,731.30"
20-Nov-2023,184.98,+0.63,+0.34%,182.68,182.68,185.41,"337,186","62,294,089.00","3,807,435,875.30"
17-Nov-2023,184.35,-0.78,-0.42%,185.30,183.96,185.73,"403,996","74,530,510.00","3,745,141,786.30"
16-Nov-2023,185.13,+1.84,+1.00%,183.77,183.68,186.30,"243,556","45,085,468.00","3,819,672,296.30"
15-Nov-2023,183.29,-0.57,-0.31%,182.72,182.72,184.92,"276,470","50,708,855.00","3,774,586,828.30"
14-Nov-2023,183.86,+4.86,+2.72%,182.61,182.37,184.56,"367,688","67,563,236.00","3,825,295,683.30"
13-Nov-2023,179.00,+1.10,+0.62%,177.39,177.39,179.22,"233,700","41,784,320.00","3,757,732,447.30"
10-Nov-2023,177.90,+2.21,+1.26%,175.89,175.89,178.36,"222,933","39,577,363.00","3,715,948,127.30"
09-Nov-2023,175.69,-1.00,-0.57%,177.05,175.65,177.50,"239,075","42,061,086.00","3,676,370,764.30"
08-Nov-2023,176.69,+2.69,+1.55%,174.09,174.09,177.10,"319,284","56,324,348.00","3,718,431,850.30"
07-Nov-2023,174.00,-0.47,-0.27%,174.33,172.94,174.86,"344,812","60,013,308.00","3,662,107,502.30"
06-Nov-2023,174.47,-0.30,-0.17%,173.69,173.15,174.92,"309,786","53,976,032.00","3,722,120,810.30"
03-Nov-2023,174.77,+3.65,+2.13%,172.91,172.91,176.04,"357,876","62,556,835.00","3,776,096,842.30"
02-Nov-2023,171.12,+3.91,+2.34%,167.88,167.30,171.63,"319,524","54,567,056.00","3,713,540,007.30"
01-Nov-2023,167.21,-0.53,-0.32%,167.43,165.44,168.31,"488,553","81,657,904.00","3,658,972,951.30"
31-Oct-2023,167.74,+8.59,+5.40%,160.18,160.18,168.51,"974,293","162,730,844.00","3,740,630,855.30"
30-Oct-2023,159.15,+1.71,+1.09%,158.73,157.65,159.53,"427,024","67,915,275.00","3,577,900,011.30"
27-Oct-2023,157.44,-0.98,-0.62%,158.20,156.75,159.36,"402,869","63,479,230.00","3,509,984,736.30"
26-Oct-2023,158.42,-0.25,-0.16%,159.60,158.33,160.84,"370,617","58,848,398.00","3,573,463,966.30"
25-Oct-2023,158.67,-1.58,-0.99%,160.00,158.16,160.48,"332,215","52,802,818.00","3,632,312,364.30"
24-Oct-2023,160.25,+1.10,+0.69%,160.19,159.40,160.81,"366,935","58,782,922.00","3,685,115,182.30"
23-Oct-2023,159.15,-0.78,-0.49%,159.38,158.76,160.69,"338,587","53,949,080.00","3,626,332,260.30"
20-Oct-2023,159.93,-0.41,-0.26%,161.04,159.86,161.59,"508,925","81,610,017.00","3,680,281,340.30"
19-Oct-2023,160.34,-1.91,-1.18%,161.73,160.30,163.53,"364,407","58,670,790.00","3,761,891,357.30"
18-Oct-2023,162.25,-4.04,-2.43%,165.53,162.06,165.53,"272,534","44,370,192.00","3,820,562,147.30"
17-Oct-2023,166.29,-0.02,-0.01%,164.75,164.75,167.39,"232,422","38,605,692.00","3,864,932,339.30"
16-Oct-2023,166.31,+1.68,+1.02%,166.10,164.75,167.24,"350,402","58,246,004.00","3,903,538,031.30"
13-Oct-2023,164.63,-0.87,-0.53%,166.43,163.77,166.69,"243,374","40,093,793.00","3,845,292,027.30"
12-Oct-2023,165.50,-4.25,-2.50%,169.67,164.89,169.67,"231,428","38,401,476.00","3,885,385,820.30"
11-Oct-2023,169.75,+0.62,+0.37%,170.28,168.43,170.52,"174,314","29,588,050.00","3,923,787,296.30"
10-Oct-2023,169.13,+1.45,+0.86%,168.35,168.02,170.56,"229,515","38,834,748.00","3,894,199,246.30"
09-Oct-2023,167.68,-1.86,-1.10%,168.90,167.08,169.40,"229,150","38,447,339.00","3,855,364,498.30"
06-Oct-2023,169.54,+1.10,+0.65%,167.51,166.34,170.91,"299,387","50,730,253.00","3,893,811,837.30"
05-Oct-2023,168.44,-1.17,-0.69%,169.55,167.24,170.02,"345,112","58,173,535.00","3,843,081,584.30"
04-Oct-2023,169.61,+4.05,+2.45%,166.98,165.99,169.65,"461,341","77,985,593.00","3,901,255,119.30"
03-Oct-2023,165.56,-1.34,-0.80%,165.81,165.16,167.75,"419,863","69,573,746.00","3,823,269,526.30"
02-Oct-2023,166.90,-2.50,-1.48%,169.01,166.15,169.67,"380,936","63,633,181.00","3,892,843,272.30"
29-Sep-2023,169.40,+0.13,+0.08%,170.79,168.65,171.31,"401,827","68,153,362.00","3,956,476,453.30"
28-Sep-2023,169.27,+1.40,+0.83%,168.69,168.27,170.21,"263,002","44,515,530.00","3,888,323,091.30"
27-Sep-2023,167.87,-1.09,-0.65%,169.56,167.09,169.64,"237,698","39,935,036.00","3,843,807,561.30"
26-Sep-2023,168.96,-3.21,-1.86%,171.56,168.65,172.25,"252,068","42,694,657.00","3,883,742,597.30"
25-Sep-2023,172.17,+0.19,+0.11%,171.15,170.01,172.49,"283,552","48,689,002.00","3,926,437,254.30"
22-Sep-2023,171.98,-0.12,-0.07%,172.71,171.73,173.90,"260,620","44,876,923.00","3,877,748,252.30"
21-Sep-2023,172.10,-5.43,-3.06%,176.48,171.88,176.48,"332,852","57,472,624.00","3,922,625,175.30"
20-Sep-2023,177.53,+1.22,+0.69%,177.38,177.19,179.11,"286,199","50,877,771.00","3,980,097,799.30"
19-Sep-2023,176.31,+0.53,+0.30%,175.25,174.40,176.70,"382,137","67,314,197.00","3,929,220,028.30"
18-Sep-2023,175.78,-2.18,-1.22%,177.22,175.58,177.35,"252,961","44,528,167.00","3,861,905,831.30"
15-Sep-2023,177.96,+0.29,+0.16%,177.84,177.18,179.29,"1,754,325","312,185,533.00","3,906,433,998.30"
14-Sep-2023,177.67,-2.57,-1.43%,179.98,171.04,179.98,"470,403","83,290,229.00","3,594,248,465.30"
13-Sep-2023,180.24,-1.88,-1.03%,181.55,180.10,181.78,"229,667","41,435,954.00","3,677,538,694.30"
12-Sep-2023,182.12,-1.73,-0.94%,183.22,181.95,184.00,"207,926","37,908,362.00","3,718,974,648.30"
11-Sep-2023,183.85,+1.79,+0.98%,182.72,182.70,184.45,"254,927","46,839,171.00","3,756,883,010.30"
08-Sep-2023,182.06,+0.38,+0.21%,181.33,181.33,183.28,"248,616","45,251,606.00","3,710,043,839.30"
07-Sep-2023,181.68,+0.06,+0.03%,181.75,180.85,182.37,"318,328","57,842,034.00","3,664,792,233.30"
06-Sep-2023,181.62,-0.47,-0.26%,182.02,181.28,182.53,"217,070","39,430,900.00","3,606,950,199.30"
05-Sep-2023,182.09,-0.61,-0.33%,183.55,181.98,184.61,"383,241","69,923,634.00","3,646,381,099.30"
01-Sep-2023,182.70,-1.11,-0.60%,184.36,182.26,184.39,"221,188","40,451,634.00","3,716,304,733.30"
31-Aug-2023,183.81,-0.06,-0.03%,184.31,183.62,185.14,"481,129","88,473,765.00","3,756,756,367.30"
30-Aug-2023,183.87,+0.82,+0.45%,183.41,183.02,184.22,"168,930","31,040,293.00","3,845,230,132.30"
29-Aug-2023,183.05,+2.12,+1.17%,180.74,179.99,183.14,"215,837","39,445,104.00","3,814,189,839.30"
28-Aug-2023,180.93,+0.45,+0.25%,180.89,180.28,181.63,"168,574","30,499,736.00","3,774,744,735.30"
25-Aug-2023,180.48,+1.61,+0.90%,179.30,178.84,181.38,"227,151","40,974,904.00","3,744,244,999.30"
24-Aug-2023,178.87,-1.15,-0.64%,179.70,178.30,182.71,"325,277","58,313,128.00","3,703,270,095.30"
23-Aug-2023,180.02,-0.53,-0.29%,181.31,177.39,181.31,"363,424","65,434,410.00","3,761,583,223.30"
22-Aug-2023,180.55,+0.08,+0.04%,181.09,178.90,181.26,"214,795","38,737,131.00","3,827,017,633.30"
21-Aug-2023,180.47,+1.12,+0.62%,180.42,179.12,181.34,"263,918","47,606,498.00","3,788,280,502.30"
18-Aug-2023,179.35,-1.64,-0.91%,179.94,178.79,180.73,"420,893","75,539,950.00","3,740,674,004.30"
17-Aug-2023,180.99,-1.31,-0.72%,182.93,180.98,184.10,"323,455","58,704,408.00","3,816,213,954.30"
16-Aug-2023,182.30,+0.44,+0.24%,182.28,181.30,183.06,"224,569","40,933,430.00","3,874,918,362.30"
15-Aug-2023,181.86,-2.30,-1.25%,183.50,181.72,183.50,"264,328","48,168,600.00","3,833,984,932.30"
14-Aug-2023,184.16,-0.20,-0.11%,184.63,183.30,184.63,"288,933","53,185,289.00","3,882,153,532.30"
11-Aug-2023,184.36,-0.64,-0.35%,184.70,184.11,185.12,"251,727","46,430,266.00","3,935,338,821.30"
10-Aug-2023,185.00,+1.70,+0.93%,184.00,183.99,185.54,"385,492","71,276,920.00","3,981,769,087.30"
09-Aug-2023,183.30,-1.91,-1.03%,185.36,183.29,186.02,"322,318","59,234,113.00","3,910,492,167.30"
08-Aug-2023,185.21,+0.70,+0.38%,182.86,182.52,185.83,"292,213","54,044,661.00","3,969,726,280.30"
07-Aug-2023,184.51,+1.98,+1.08%,183.46,183.13,185.12,"218,351","40,256,618.00","3,915,681,619.30"
