Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,120.95,-0.38,-0.31%,121.94,120.59,122.09,"722,449","87,431,863.00","-3,924,369,333.70"
28-Dec-2023,121.33,-2.94,-2.37%,123.12,121.29,123.96,"720,536","87,700,193.00","-3,836,937,470.70"
27-Dec-2023,124.27,-0.03,-0.02%,123.74,123.56,125.24,"966,046","120,141,225.00","-3,749,237,277.70"
26-Dec-2023,124.30,+2.03,+1.66%,123.34,123.00,124.80,"572,172","71,106,215.00","-3,629,096,052.70"
22-Dec-2023,122.27,+1.19,+0.98%,122.21,121.59,123.00,"553,505","67,696,654.00","-3,700,202,267.70"
21-Dec-2023,121.08,-0.35,-0.29%,121.66,119.78,121.70,"1,449,625","175,350,729.00","-3,767,898,921.70"
20-Dec-2023,121.43,-1.10,-0.90%,122.86,121.27,123.97,"1,294,184","157,827,211.00","-3,592,548,192.70"
19-Dec-2023,122.53,+0.91,+0.75%,121.85,120.88,122.96,"1,012,010","123,898,780.00","-3,434,720,981.70"
18-Dec-2023,121.62,+1.51,+1.26%,122.75,121.27,123.09,"954,386","116,274,554.00","-3,558,619,761.70"
15-Dec-2023,120.11,-0.49,-0.41%,119.43,118.96,120.40,"4,218,416","506,020,037.00","-3,674,894,315.70"
14-Dec-2023,120.60,+3.62,+3.09%,117.87,117.87,121.25,"1,196,686","143,872,308.00","-3,168,874,278.70"
13-Dec-2023,116.98,+0.80,+0.69%,116.43,115.34,117.34,"2,022,421","239,175,658.00","-3,312,746,586.70"
12-Dec-2023,116.18,-1.51,-1.28%,116.24,115.52,117.08,"1,008,679","118,737,734.00","-3,551,922,244.70"
11-Dec-2023,117.69,+0.24,+0.20%,116.07,116.01,118.16,"1,708,355","203,280,231.00","-3,433,184,510.70"
08-Dec-2023,117.45,+0.60,+0.52%,117.81,117.07,118.93,"1,387,509","165,071,335.00","-3,636,464,741.70"
07-Dec-2023,116.85,-1.38,-1.17%,118.80,116.47,119.55,"980,367","116,246,472.00","-3,801,536,076.70"
06-Dec-2023,118.23,-2.17,-1.80%,119.22,117.21,120.50,"1,518,377","181,915,939.00","-3,685,289,604.70"
05-Dec-2023,120.41,-1.04,-0.85%,121.62,119.93,121.95,"1,240,769","151,500,429.00","-3,503,373,665.70"
04-Dec-2023,121.44,-0.59,-0.49%,121.00,120.46,122.31,"904,817","111,269,718.00","-3,351,873,236.70"
01-Dec-2023,122.04,+0.52,+0.43%,121.15,121.10,124.03,"874,911","108,388,659.00","-3,240,603,518.70"
30-Nov-2023,121.51,-0.17,-0.14%,122.96,120.34,124.36,"2,164,974","266,616,084.00","-3,348,992,177.70"
29-Nov-2023,121.68,-0.39,-0.32%,122.66,121.15,122.82,"922,699","113,850,231.00","-3,082,376,093.70"
28-Nov-2023,122.07,+0.63,+0.52%,121.83,121.22,122.92,"1,093,544","135,218,384.00","-2,968,525,862.70"
27-Nov-2023,121.44,-0.49,-0.40%,121.11,120.31,121.71,"706,321","86,792,067.00","-3,103,744,246.70"
24-Nov-2023,121.94,+0.33,+0.27%,121.40,121.07,122.58,"365,462","45,136,558.00","-3,016,952,179.70"
22-Nov-2023,121.61,-1.07,-0.87%,119.07,117.61,121.87,"774,219","94,709,846.00","-3,062,088,737.70"
21-Nov-2023,122.68,-0.97,-0.78%,122.72,121.59,123.06,"712,220","88,413,804.00","-2,967,378,891.70"
20-Nov-2023,123.64,+1.21,+0.99%,123.17,122.83,124.11,"926,062","115,973,453.00","-2,878,965,087.70"
17-Nov-2023,122.43,+3.26,+2.73%,120.45,120.08,122.99,"1,415,030","175,059,103.00","-2,994,938,540.70"
16-Nov-2023,119.17,-2.34,-1.93%,119.81,115.88,120.22,"1,065,773","128,118,207.00","-3,169,997,643.70"
15-Nov-2023,121.51,-2.02,-1.64%,123.33,121.46,124.05,"929,488","114,807,334.00","-3,041,879,436.70"
14-Nov-2023,123.54,+2.03,+1.67%,122.33,121.59,123.70,"878,375","109,719,234.00","-2,927,072,102.70"
13-Nov-2023,121.50,+0.36,+0.29%,121.44,120.86,122.16,"748,376","92,051,584.00","-3,036,791,336.70"
10-Nov-2023,121.15,+1.38,+1.15%,120.93,120.12,121.73,"746,053","91,543,724.00","-3,128,842,920.70"
09-Nov-2023,119.76,+0.09,+0.07%,120.66,119.37,121.02,"649,191","78,850,001.00","-3,220,386,644.70"
08-Nov-2023,119.68,-1.41,-1.17%,120.17,119.35,121.14,"1,150,054","139,520,105.00","-3,299,236,645.70"
07-Nov-2023,121.09,-3.73,-2.99%,122.43,120.11,122.56,"1,004,823","123,205,680.00","-3,159,716,540.70"
06-Nov-2023,124.82,-1.72,-1.36%,127.64,123.52,127.64,"1,038,138","131,374,444.00","-3,036,510,860.70"
03-Nov-2023,126.54,-0.48,-0.38%,128.12,125.99,129.64,"1,354,000","174,312,689.00","-2,905,136,416.70"
02-Nov-2023,127.02,+4.37,+3.57%,122.19,122.19,127.04,"1,090,688","139,353,399.00","-2,730,823,727.70"
01-Nov-2023,122.65,-2.00,-1.61%,125.17,122.55,125.88,"1,072,502","133,677,897.00","-2,870,177,126.70"
31-Oct-2023,124.65,+0.79,+0.64%,123.73,122.83,125.01,"876,082","110,531,110.00","-2,736,499,229.70"
30-Oct-2023,123.86,-0.53,-0.43%,124.74,122.43,125.48,"888,027","111,200,721.00","-2,847,030,339.70"
27-Oct-2023,124.39,-1.93,-1.52%,126.31,123.42,126.39,"815,214","102,737,251.00","-2,735,829,618.70"
26-Oct-2023,126.32,-1.77,-1.38%,126.53,124.82,126.95,"602,134","77,021,123.00","-2,633,092,367.70"
25-Oct-2023,128.09,-0.21,-0.16%,128.06,127.04,128.87,"766,052","99,334,759.00","-2,556,071,244.70"
24-Oct-2023,128.29,-1.68,-1.29%,129.95,128.02,130.04,"565,316","73,617,309.00","-2,456,736,485.70"
23-Oct-2023,129.97,-1.57,-1.19%,130.27,129.03,131.43,"669,603","88,171,146.00","-2,383,119,176.70"
20-Oct-2023,131.54,-2.96,-2.20%,134.30,131.33,134.94,"1,033,991","138,548,943.00","-2,294,948,030.70"
