Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,805.39,-8.70,-1.07%,798.68,798.68,810.89,"167,616","135,088,046.00","8,893,555,366.25"
28-Dec-2023,814.09,+7.22,+0.89%,809.48,807.95,814.61,"93,311","75,826,357.00","9,028,643,412.25"
27-Dec-2023,806.87,+2.73,+0.34%,801.99,801.99,807.78,"88,702","71,512,761.00","8,952,817,055.25"
26-Dec-2023,804.14,+4.46,+0.56%,797.53,797.53,805.66,"78,234","62,865,076.00","8,881,304,294.25"
22-Dec-2023,799.68,-1.92,-0.24%,805.48,795.89,810.16,"82,215","65,837,486.00","8,818,439,218.25"
21-Dec-2023,801.60,+7.17,+0.90%,798.60,791.94,801.78,"145,606","116,192,501.00","8,884,276,704.25"
20-Dec-2023,794.43,-15.06,-1.86%,813.94,794.02,813.94,"177,464","141,538,002.00","8,768,084,203.25"
19-Dec-2023,809.49,+3.75,+0.47%,805.84,803.94,810.02,"172,689","139,613,458.00","8,909,622,205.25"
18-Dec-2023,805.74,+2.01,+0.25%,811.43,796.40,811.43,"166,844","134,230,078.00","8,770,008,747.25"
15-Dec-2023,803.73,-1.56,-0.19%,800.48,795.73,808.30,"533,886","428,476,800.00","8,635,778,669.25"
14-Dec-2023,805.29,-4.32,-0.53%,818.90,800.02,818.90,"291,434","234,940,671.00","9,064,255,469.25"
13-Dec-2023,809.61,+6.75,+0.84%,804.56,797.43,810.36,"204,951","165,284,199.00","9,299,196,140.25"
12-Dec-2023,802.86,+5.68,+0.71%,797.18,791.80,806.46,"160,796","129,030,885.00","9,133,911,941.25"
11-Dec-2023,797.18,-4.59,-0.57%,794.86,788.50,799.72,"194,061","154,545,278.00","9,004,881,056.25"
08-Dec-2023,801.77,-8.34,-1.03%,804.41,796.13,808.53,"246,704","197,871,367.00","9,159,426,334.25"
07-Dec-2023,810.11,+1.81,+0.22%,809.23,804.95,812.84,"130,512","105,739,211.00","9,357,297,701.25"
06-Dec-2023,808.30,-13.18,-1.60%,822.86,807.89,822.86,"147,180","119,287,064.00","9,251,558,490.25"
05-Dec-2023,821.48,-0.85,-0.10%,820.00,812.96,822.09,"137,504","112,718,031.00","9,370,845,554.25"
04-Dec-2023,822.33,-2.09,-0.25%,817.72,815.60,822.88,"223,918","183,895,853.00","9,483,563,585.25"
01-Dec-2023,824.42,+9.41,+1.15%,816.55,809.99,824.86,"161,776","133,096,607.00","9,667,459,438.25"
30-Nov-2023,815.01,+6.70,+0.83%,809.00,806.80,815.68,"295,461","240,423,141.00","9,534,362,831.25"
29-Nov-2023,808.31,+11.39,+1.43%,800.00,798.97,810.74,"170,142","137,228,516.00","9,293,939,690.25"
28-Nov-2023,796.92,+0.50,+0.06%,794.37,792.07,799.04,"148,378","118,203,289.00","9,156,711,174.25"
27-Nov-2023,796.42,+1.42,+0.18%,793.27,791.54,799.43,"106,063","84,433,166.00","9,038,507,885.25"
24-Nov-2023,795.00,+0.65,+0.08%,788.55,788.55,795.00,"41,375","32,807,214.00","8,954,074,719.25"
22-Nov-2023,794.35,+6.03,+0.76%,795.00,792.00,797.71,"134,634","106,955,086.00","8,921,267,505.25"
21-Nov-2023,788.32,+3.98,+0.51%,785.13,784.55,792.87,"114,155","89,963,895.00","8,814,312,419.25"
20-Nov-2023,784.34,+9.70,+1.25%,772.15,771.01,784.89,"136,798","107,065,816.00","8,724,348,524.25"
17-Nov-2023,774.64,-5.73,-0.73%,786.56,773.71,786.56,"169,607","131,696,462.00","8,617,282,708.25"
16-Nov-2023,780.37,-0.63,-0.08%,783.10,777.13,783.48,"183,832","143,467,910.00","8,748,979,170.25"
15-Nov-2023,781.00,-5.03,-0.64%,785.83,777.37,785.83,"169,459","132,344,769.00","8,892,447,080.25"
14-Nov-2023,786.03,+23.49,+3.08%,780.00,776.94,787.59,"207,673","162,871,460.00","9,024,791,849.25"
13-Nov-2023,762.54,-4.73,-0.62%,760.51,756.93,765.33,"98,212","74,866,592.00","8,861,920,389.25"
10-Nov-2023,767.27,+10.26,+1.36%,763.26,754.50,767.61,"118,849","90,922,958.00","8,936,786,981.25"
09-Nov-2023,757.01,-2.93,-0.39%,762.05,755.03,765.22,"117,069","88,769,009.00","8,845,864,023.25"
08-Nov-2023,759.94,+1.94,+0.26%,763.56,755.43,764.30,"132,397","100,547,906.00","8,934,633,032.25"
