Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,42.57,-0.45,-1.05%,42.40,42.28,42.92,"2,184,970","93,029,755.00","-3,173,782,513.70"
28-Dec-2023,43.02,-0.18,-0.42%,42.88,42.88,43.24,"1,447,027","62,276,882.00","-3,080,752,758.70"
27-Dec-2023,43.20,+0.37,+0.86%,42.94,42.81,43.41,"1,763,777","76,134,643.00","-3,018,475,876.70"
26-Dec-2023,42.83,+0.45,+1.06%,42.58,42.54,43.08,"1,558,425","66,785,633.00","-3,094,610,519.70"
22-Dec-2023,42.38,+0.15,+0.36%,42.58,42.10,42.83,"1,526,185","64,792,122.00","-3,161,396,152.70"
21-Dec-2023,42.23,+0.89,+2.15%,42.02,41.83,42.30,"1,960,176","82,597,297.00","-3,226,188,274.70"
20-Dec-2023,41.34,-0.84,-1.99%,41.83,41.29,42.35,"3,825,391","159,330,158.00","-3,308,785,571.70"
19-Dec-2023,42.18,+0.83,+2.01%,42.11,42.02,42.61,"7,056,125","297,978,779.00","-3,149,455,413.70"
18-Dec-2023,41.35,-0.15,-0.36%,41.89,41.34,42.44,"3,253,237","135,196,586.00","-3,447,434,192.70"
15-Dec-2023,41.50,-0.47,-1.12%,41.49,41.17,41.95,"8,347,043","346,572,869.00","-3,312,237,606.70"
14-Dec-2023,41.97,+2.78,+7.09%,40.45,40.34,42.32,"6,060,101","252,736,806.00","-2,965,664,737.70"
13-Dec-2023,39.19,+1.77,+4.73%,37.39,37.14,39.23,"3,937,943","152,315,053.00","-3,218,401,543.70"
12-Dec-2023,37.42,-0.45,-1.19%,37.70,37.18,37.76,"4,826,656","180,716,617.00","-3,370,716,596.70"
11-Dec-2023,37.87,-0.28,-0.73%,37.43,37.32,38.04,"2,064,090","77,985,631.00","-3,189,999,979.70"
08-Dec-2023,38.15,+1.78,+4.89%,37.00,36.98,38.40,"4,508,281","171,485,700.00","-3,112,014,348.70"
07-Dec-2023,36.37,+0.12,+0.33%,36.64,36.05,36.83,"3,404,753","123,670,381.00","-3,283,500,048.70"
06-Dec-2023,36.25,-0.32,-0.88%,37.00,36.21,37.18,"2,662,961","96,970,246.00","-3,407,170,429.70"
05-Dec-2023,36.57,-1.04,-2.77%,37.22,36.55,37.23,"4,085,904","149,828,909.00","-3,310,200,183.70"
04-Dec-2023,37.61,-1.63,-4.15%,38.09,37.51,38.58,"5,456,099","205,681,940.00","-3,160,371,274.70"
01-Dec-2023,39.24,+1.92,+5.14%,37.83,37.83,39.46,"3,984,238","155,590,476.00","-2,954,689,334.70"
30-Nov-2023,37.32,+0.15,+0.40%,37.23,36.94,37.47,"4,661,770","173,835,898.00","-3,110,279,810.70"
29-Nov-2023,37.17,-0.05,-0.13%,37.40,36.78,37.57,"2,440,055","90,654,041.00","-3,284,115,708.70"
28-Nov-2023,37.22,+0.63,+1.72%,36.69,36.48,37.48,"2,661,185","98,825,198.00","-3,193,461,667.70"
27-Nov-2023,36.59,-0.25,-0.68%,36.39,36.17,36.67,"2,154,328","78,701,653.00","-3,292,286,865.70"
24-Nov-2023,36.84,-0.05,-0.14%,36.74,36.61,37.21,"893,994","32,973,497.00","-3,213,585,212.70"
22-Nov-2023,36.89,-0.11,-0.30%,36.82,36.53,37.03,"1,834,618","67,578,355.00","-3,180,611,715.70"
21-Nov-2023,37.00,+0.35,+0.95%,36.85,36.85,37.52,"2,651,201","98,400,058.00","-3,113,033,360.70"
20-Nov-2023,36.65,+0.65,+1.81%,36.25,36.08,37.10,"3,546,990","130,045,243.00","-3,211,433,418.70"
17-Nov-2023,36.00,+0.46,+1.29%,36.03,35.47,36.23,"2,185,016","78,602,925.00","-3,341,478,661.70"
16-Nov-2023,35.54,-0.46,-1.28%,35.91,35.30,36.10,"2,619,242","93,198,100.00","-3,420,081,586.70"
15-Nov-2023,36.00,+0.83,+2.36%,35.38,35.30,36.38,"3,916,666","140,945,678.00","-3,326,883,486.70"
14-Nov-2023,35.17,+1.74,+5.20%,34.80,34.74,35.68,"2,781,140","97,882,818.00","-3,467,829,164.70"
13-Nov-2023,33.43,-0.25,-0.74%,33.49,33.38,33.93,"2,756,879","92,356,128.00","-3,565,711,982.70"
10-Nov-2023,33.68,+0.44,+1.32%,33.00,32.83,33.82,"2,470,272","82,620,111.00","-3,473,355,854.70"
09-Nov-2023,33.24,-0.37,-1.10%,34.03,33.10,34.22,"2,562,382","85,652,499.00","-3,555,975,965.70"
08-Nov-2023,33.61,-0.45,-1.32%,33.80,33.31,34.29,"2,531,787","85,158,268.00","-3,470,323,466.70"
07-Nov-2023,34.06,-1.31,-3.70%,34.50,33.73,34.50,"3,140,062","106,930,335.00","-3,385,165,198.70"
06-Nov-2023,35.37,+0.22,+0.63%,35.47,35.16,35.59,"1,871,423","66,254,483.00","-3,278,234,863.70"
03-Nov-2023,35.15,+0.14,+0.40%,35.59,35.08,35.99,"2,682,771","94,661,687.00","-3,344,489,346.70"
02-Nov-2023,35.01,+1.30,+3.86%,34.31,34.31,35.12,"2,606,681","91,087,093.00","-3,439,151,033.70"
01-Nov-2023,33.71,-0.07,-0.21%,33.93,33.29,33.99,"2,632,220","88,539,190.00","-3,530,238,126.70"
31-Oct-2023,33.78,-0.26,-0.76%,33.59,33.28,33.91,"2,636,729","88,982,579.00","-3,441,698,936.70"
30-Oct-2023,34.04,+0.37,+1.10%,34.24,33.80,34.40,"3,262,671","111,233,643.00","-3,352,716,357.70"
27-Oct-2023,33.67,-0.04,-0.12%,34.31,33.53,34.45,"2,633,290","88,838,232.00","-3,463,950,000.70"
26-Oct-2023,33.71,-0.13,-0.38%,33.77,33.43,34.16,"2,850,156","96,293,105.00","-3,375,111,768.70"
25-Oct-2023,33.84,-0.58,-1.69%,34.39,33.77,34.70,"2,611,040","88,931,973.00","-3,278,818,663.70"
24-Oct-2023,34.42,+0.91,+2.72%,33.76,33.41,34.58,"3,178,410","109,012,015.00","-3,189,886,690.70"
23-Oct-2023,33.51,-0.37,-1.09%,33.70,33.08,33.98,"2,987,976","100,256,891.00","-3,298,898,705.70"
20-Oct-2023,33.88,-1.35,-3.83%,35.00,33.73,35.12,"4,463,758","152,385,452.00","-3,198,641,814.70"
19-Oct-2023,35.23,-0.38,-1.07%,35.29,34.83,36.02,"4,781,029","168,871,955.00","-3,046,256,362.70"
18-Oct-2023,35.61,-0.87,-2.38%,35.85,35.47,36.24,"3,088,530","110,350,517.00","-2,877,384,407.70"
17-Oct-2023,36.48,+0.63,+1.76%,35.22,35.22,36.66,"2,862,620","104,078,652.00","-2,767,033,890.70"
16-Oct-2023,35.85,+0.40,+1.13%,35.78,35.54,36.35,"2,434,147","87,440,778.00","-2,871,112,542.70"
13-Oct-2023,35.45,-0.62,-1.72%,36.32,35.33,36.37,"2,901,141","103,242,293.00","-2,958,553,320.70"
12-Oct-2023,36.07,-1.08,-2.91%,36.79,35.62,36.94,"3,198,282","115,488,279.00","-2,855,311,027.70"
11-Oct-2023,37.15,-0.14,-0.38%,37.43,36.76,37.54,"1,746,645","64,789,530.00","-2,739,822,748.70"
10-Oct-2023,37.29,+0.46,+1.25%,37.19,37.04,37.82,"2,590,916","96,850,211.00","-2,675,033,218.70"
