Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,139.69,-0.54,-0.39%,139.74,138.78,140.36,"7,333,949","1,024,115,097.00","81,976,792,526.21"
28-Dec-2023,140.23,-0.14,-0.10%,140.67,139.75,141.14,"4,662,156","654,143,870.00","83,000,907,623.21"
27-Dec-2023,140.37,-1.15,-0.81%,141.59,139.89,142.06,"7,088,160","995,571,650.00","83,655,051,493.21"
26-Dec-2023,141.52,+0.03,+0.02%,141.64,141.19,142.68,"5,799,870","821,248,733.00","84,650,623,143.21"
22-Dec-2023,141.49,+1.07,+0.76%,140.71,140.71,141.99,"9,007,871","1,273,214,306.00","83,829,374,410.21"
21-Dec-2023,140.42,+2.08,+1.50%,139.61,139.18,140.68,"8,633,128","1,209,765,243.00","82,556,160,104.21"
20-Dec-2023,138.34,+1.69,+1.24%,139.00,138.07,141.69,"13,286,789","1,852,028,748.00","81,346,394,861.21"
19-Dec-2023,136.65,+0.85,+0.63%,136.80,136.11,137.47,"9,487,106","1,296,631,036.00","79,494,366,113.21"
18-Dec-2023,135.80,+3.20,+2.41%,132.52,132.43,137.14,"9,452,002","1,281,020,026.00","78,197,735,077.21"
15-Dec-2023,132.60,+0.66,+0.50%,131.18,131.18,133.51,"29,413,239","3,889,362,038.00","76,916,715,051.21"
14-Dec-2023,131.94,-0.63,-0.48%,133.42,129.69,133.72,"12,428,289","1,636,183,039.00","73,027,353,013.21"
13-Dec-2023,132.57,+0.05,+0.04%,133.21,131.59,133.50,"8,681,177","1,150,899,525.00","74,663,536,052.21"
12-Dec-2023,132.52,-0.77,-0.58%,131.78,131.26,133.00,"9,894,229","1,309,349,670.00","73,512,636,527.21"
11-Dec-2023,133.29,-1.70,-1.26%,132.34,131.36,133.34,"10,147,943","1,348,362,017.00","74,821,986,197.21"
08-Dec-2023,134.99,-1.94,-1.42%,134.25,134.03,136.40,"9,563,255","1,290,908,423.00","76,170,348,214.21"
07-Dec-2023,136.93,+6.91,+5.31%,135.00,134.70,138.56,"14,428,614","1,974,097,670.00","77,461,256,637.21"
06-Dec-2023,130.02,-0.97,-0.74%,131.37,129.88,131.84,"7,084,656","924,270,490.00","75,487,158,967.21"
05-Dec-2023,130.99,+1.72,+1.33%,128.97,128.26,132.14,"8,743,394","1,143,387,936.00","76,411,429,457.21"
04-Dec-2023,129.27,-2.59,-1.96%,129.95,127.90,130.03,"10,137,643","1,307,875,235.00","75,268,041,521.21"
01-Dec-2023,131.86,-0.67,-0.51%,131.90,130.67,132.11,"9,504,059","1,250,878,928.00","76,575,916,756.21"
30-Nov-2023,132.53,-2.46,-1.82%,135.08,131.28,135.54,"14,033,745","1,860,601,943.00","77,826,795,684.21"
29-Nov-2023,134.99,-2.21,-1.61%,137.64,134.85,138.28,"7,865,651","1,066,940,540.00","79,687,397,627.21"
