Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,346.55,-0.81,-0.23%,346.04,343.03,347.53,"4,593,769","1,590,797,427.00","22,335,898,209.90"
28-Dec-2023,347.36,-1.17,-0.34%,349.04,345.88,349.04,"1,010,752","351,036,050.00","23,926,695,636.90"
27-Dec-2023,348.53,-0.78,-0.22%,349.91,347.19,350.00,"901,150","314,046,289.00","24,277,731,686.90"
26-Dec-2023,349.31,+0.72,+0.21%,348.43,348.32,350.09,"465,707","162,671,286.00","24,591,777,975.90"
22-Dec-2023,348.59,-0.38,-0.11%,349.04,346.70,351.32,"711,491","248,122,639.00","24,429,106,689.90"
21-Dec-2023,348.97,+0.31,+0.09%,351.87,347.05,351.87,"899,458","313,942,406.00","24,677,229,328.90"
20-Dec-2023,348.66,-3.41,-0.97%,351.50,348.31,354.76,"1,111,837","388,760,466.00","24,363,286,922.90"
19-Dec-2023,352.07,+1.26,+0.36%,351.46,350.43,352.84,"1,797,976","632,954,754.00","24,752,047,388.90"
18-Dec-2023,350.81,-3.19,-0.90%,354.92,350.32,354.92,"1,969,329","691,483,320.00","24,119,092,634.90"
15-Dec-2023,354.00,+2.19,+0.62%,348.00,346.86,354.37,"6,980,816","2,461,236,122.00","24,810,575,954.90"
14-Dec-2023,351.81,+8.41,+2.45%,348.00,348.00,353.07,"2,410,224","846,925,376.00","22,349,339,832.90"
13-Dec-2023,343.40,+10.20,+3.06%,334.90,331.91,343.82,"2,432,331","832,084,411.00","21,502,414,456.90"
12-Dec-2023,333.20,+1.87,+0.56%,331.91,331.53,334.47,"883,293","294,303,389.00","20,670,330,045.90"
11-Dec-2023,331.33,+4.86,+1.49%,329.81,328.83,332.05,"1,109,740","367,432,622.00","20,376,026,656.90"
08-Dec-2023,326.47,+0.30,+0.09%,326.00,325.17,327.24,"1,128,300","368,331,240.00","20,008,594,034.90"
07-Dec-2023,326.17,+0.06,+0.02%,326.11,324.68,327.40,"876,145","285,742,694.00","19,640,262,794.90"
06-Dec-2023,326.11,+2.61,+0.81%,325.00,324.76,328.18,"1,052,438","343,314,209.00","19,354,520,100.90"
05-Dec-2023,323.50,-0.52,-0.16%,322.00,320.06,323.82,"1,118,147","361,431,268.00","19,011,205,891.90"
