Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,156.74,+0.16,+0.10%,156.51,156.00,156.90,"1,914,832","299,988,645.00","-19,370,168,929.73"
28-Dec-2023,156.58,+0.23,+0.15%,156.00,156.00,157.21,"1,506,331","235,889,380.00","-19,670,157,574.73"
27-Dec-2023,156.35,+0.21,+0.13%,155.50,155.46,156.51,"1,929,980","301,539,936.00","-19,906,046,954.73"
26-Dec-2023,156.14,+0.68,+0.44%,155.00,154.85,156.35,"1,422,124","221,903,640.00","-20,207,586,890.73"
22-Dec-2023,155.46,+0.62,+0.40%,155.25,155.09,156.49,"1,217,748","189,396,593.00","-20,429,490,530.73"
21-Dec-2023,154.84,+1.57,+1.02%,153.69,153.30,155.12,"1,400,787","216,635,937.00","-20,618,887,123.73"
20-Dec-2023,153.27,-3.19,-2.04%,156.54,153.11,156.60,"2,525,293","388,414,876.00","-20,835,523,060.73"
19-Dec-2023,156.46,+1.02,+0.66%,155.30,155.00,156.50,"1,769,162","276,388,948.00","-20,447,108,184.73"
18-Dec-2023,155.44,+0.28,+0.18%,155.50,154.79,156.43,"2,059,280","320,304,291.00","-20,723,497,132.73"
15-Dec-2023,155.16,-1.71,-1.09%,155.49,153.76,156.67,"9,039,191","1,402,710,740.00","-21,043,801,423.73"
14-Dec-2023,156.87,+1.08,+0.69%,156.57,155.06,157.15,"3,020,906","473,031,121.00","-19,641,090,683.73"
13-Dec-2023,155.79,+0.72,+0.46%,153.66,151.80,155.92,"4,160,356","645,893,827.00","-20,114,121,804.73"
12-Dec-2023,155.07,+0.01,+0.01%,155.00,153.67,155.32,"1,497,928","232,114,025.00","-20,760,015,631.73"
11-Dec-2023,155.06,+0.64,+0.41%,154.59,154.35,155.47,"2,409,554","373,445,386.00","-20,992,129,656.73"
08-Dec-2023,154.42,-0.98,-0.63%,155.68,153.84,155.82,"2,019,549","311,933,662.00","-21,365,575,042.73"
07-Dec-2023,155.40,-1.22,-0.78%,156.58,154.78,156.58,"1,805,329","280,829,535.00","-21,053,641,380.73"
06-Dec-2023,156.62,-1.93,-1.22%,158.52,156.17,158.57,"2,203,827","345,531,966.00","-20,772,811,845.73"
05-Dec-2023,158.55,-0.33,-0.21%,158.80,158.23,159.63,"2,385,285","378,379,903.00","-20,427,279,879.73"
04-Dec-2023,158.88,+0.50,+0.32%,158.00,158.00,160.01,"3,097,757","492,312,987.00","-20,048,899,976.73"
01-Dec-2023,158.38,+3.72,+2.41%,156.44,155.48,158.46,"3,244,106","511,264,937.00","-20,541,212,963.73"
30-Nov-2023,154.66,+2.55,+1.68%,152.26,151.95,155.14,"6,127,890","947,150,544.00","-21,052,477,900.73"
29-Nov-2023,152.11,+0.48,+0.32%,151.33,151.11,152.19,"1,635,485","248,479,675.00","-21,999,628,444.73"
28-Nov-2023,151.63,+0.35,+0.23%,151.40,150.84,151.81,"1,923,545","291,564,586.00","-22,248,108,119.73"
27-Nov-2023,151.28,-1.22,-0.80%,152.29,150.98,152.30,"2,050,155","310,295,923.00","-22,539,672,705.73"
24-Nov-2023,152.50,+1.68,+1.11%,151.45,151.31,152.66,"1,066,104","162,318,471.00","-22,229,376,782.73"
22-Nov-2023,150.82,-0.30,-0.20%,151.63,150.40,152.00,"1,504,797","227,074,130.00","-22,391,695,253.73"
21-Nov-2023,151.12,+1.21,+0.81%,150.25,149.61,151.29,"1,736,708","262,046,144.00","-22,164,621,123.73"
20-Nov-2023,149.91,+0.12,+0.08%,147.91,147.59,150.40,"3,063,350","458,868,475.00","-22,426,667,267.73"
17-Nov-2023,149.79,-0.31,-0.21%,150.55,149.08,150.71,"2,357,603","353,355,986.00","-22,885,535,742.73"
16-Nov-2023,150.10,+1.30,+0.87%,149.50,148.64,150.14,"1,976,247","296,059,793.00","-22,532,179,756.73"
15-Nov-2023,148.80,+1.14,+0.77%,147.45,147.30,149.41,"2,499,996","371,747,898.00","-22,828,239,549.73"
14-Nov-2023,147.66,+0.03,+0.02%,147.64,147.00,148.52,"2,533,425","374,180,039.00","-23,199,987,447.73"
13-Nov-2023,147.63,+0.38,+0.26%,147.07,146.65,147.88,"1,644,095","242,412,007.00","-23,574,167,486.73"
10-Nov-2023,147.25,-0.17,-0.12%,148.25,145.64,148.48,"2,355,047","346,437,677.00","-23,816,579,493.73"
09-Nov-2023,147.42,-2.93,-1.95%,150.50,147.26,150.50,"2,071,371","306,105,694.00","-23,470,141,816.73"
08-Nov-2023,150.35,-0.55,-0.36%,151.35,150.35,151.77,"1,793,844","270,056,874.00","-23,164,036,122.73"
07-Nov-2023,150.90,-0.80,-0.53%,151.93,150.68,152.19,"1,639,572","247,700,221.00","-22,893,979,248.73"
06-Nov-2023,151.70,+0.36,+0.24%,151.86,151.37,152.41,"1,445,448","219,293,248.00","-22,646,279,027.73"
03-Nov-2023,151.34,+1.10,+0.73%,151.21,150.15,152.24,"1,564,590","236,934,091.00","-22,865,572,275.73"
02-Nov-2023,150.24,+1.55,+1.04%,147.71,147.57,150.40,"1,713,982","256,942,247.00","-23,102,506,366.73"
01-Nov-2023,148.69,+0.35,+0.24%,149.19,148.50,149.76,"1,912,728","284,612,672.00","-23,359,448,613.73"
31-Oct-2023,148.34,+1.31,+0.89%,147.54,146.67,148.54,"2,860,270","423,757,563.00","-23,644,061,285.73"
30-Oct-2023,147.03,+1.43,+0.98%,146.18,146.03,147.24,"2,402,723","352,653,142.00","-24,067,818,848.73"
27-Oct-2023,145.60,-3.40,-2.28%,148.28,144.96,148.41,"3,514,170","512,808,850.00","-24,420,471,990.73"
26-Oct-2023,149.00,-2.57,-1.70%,151.97,148.88,151.97,"2,695,595","403,580,126.00","-23,907,663,140.73"
25-Oct-2023,151.57,+0.34,+0.22%,151.24,150.24,152.08,"2,289,772","346,940,124.00","-23,504,083,014.73"
24-Oct-2023,151.23,-0.16,-0.11%,151.00,150.13,151.93,"1,763,916","266,588,107.00","-23,851,023,138.73"
23-Oct-2023,151.39,-1.61,-1.05%,152.87,151.21,153.48,"1,785,906","271,151,656.00","-23,584,435,031.73"
20-Oct-2023,153.00,+0.68,+0.45%,152.74,152.48,153.87,"2,744,550","420,071,366.00","-23,313,283,375.73"
19-Oct-2023,152.32,-0.41,-0.27%,151.67,150.17,153.10,"2,169,181","329,859,754.00","-23,733,354,741.73"
18-Oct-2023,152.73,-3.36,-2.15%,155.41,152.05,155.84,"2,638,145","403,476,645.00","-23,403,494,987.73"
17-Oct-2023,156.09,-1.44,-0.91%,156.14,154.62,158.93,"2,797,291","436,620,355.00","-23,000,018,342.73"
16-Oct-2023,157.53,+0.68,+0.43%,157.82,156.84,158.24,"1,944,209","306,260,878.00","-22,563,397,987.73"
