Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,170.10,-0.20,-0.12%,170.00,169.63,170.68,"2,535,772","431,413,972.00","-14,358,513,632.65"
28-Dec-2023,170.30,+0.90,+0.53%,169.35,169.00,170.66,"1,702,778","289,833,585.00","-13,927,099,660.65"
27-Dec-2023,169.40,+1.01,+0.60%,167.84,167.77,169.47,"2,167,501","366,750,350.00","-14,216,933,245.65"
26-Dec-2023,168.39,+0.99,+0.59%,167.46,167.24,168.76,"1,143,851","192,569,520.00","-14,583,683,595.65"
22-Dec-2023,167.40,-0.10,-0.06%,167.50,167.24,168.21,"1,712,301","286,856,316.00","-14,776,253,115.65"
21-Dec-2023,167.50,+0.95,+0.57%,166.84,165.71,168.07,"2,411,180","403,314,596.00","-14,489,396,799.65"
20-Dec-2023,166.55,-1.90,-1.13%,167.97,166.45,169.41,"3,199,698","534,406,641.00","-14,892,711,395.65"
19-Dec-2023,168.45,+2.22,+1.34%,166.00,165.56,168.47,"2,791,877","469,069,318.00","-14,358,304,754.65"
18-Dec-2023,166.23,+1.00,+0.61%,166.32,165.64,167.11,"2,333,569","387,938,840.00","-14,827,374,072.65"
15-Dec-2023,165.23,+1.24,+0.76%,162.48,162.45,165.27,"10,792,686","1,775,401,029.00","-15,215,312,912.65"
14-Dec-2023,163.99,+2.93,+1.82%,161.83,161.74,164.79,"3,538,362","579,199,793.00","-16,990,713,941.65"
13-Dec-2023,161.06,+0.54,+0.34%,160.52,159.78,162.01,"3,328,011","535,677,876.00","-17,569,913,734.65"
12-Dec-2023,160.52,+1.42,+0.89%,159.23,158.88,160.64,"2,722,884","436,520,753.00","-18,105,591,610.65"
11-Dec-2023,159.10,+0.58,+0.37%,158.52,158.15,159.29,"2,888,781","459,368,712.00","-18,542,112,363.65"
08-Dec-2023,158.52,+1.73,+1.10%,157.26,156.99,158.78,"2,657,580","420,841,474.00","-19,001,481,075.65"
07-Dec-2023,156.79,+0.48,+0.31%,156.69,156.18,157.31,"2,747,267","430,688,513.00","-19,422,322,549.65"
06-Dec-2023,156.31,-1.66,-1.05%,158.97,156.00,159.20,"2,164,802","339,681,607.00","-19,853,011,062.65"
05-Dec-2023,157.97,-0.02,-0.01%,157.26,156.97,158.50,"2,609,900","412,009,655.00","-19,513,329,455.65"
04-Dec-2023,157.99,+1.15,+0.73%,155.99,155.90,158.05,"2,665,664","420,390,165.00","-19,101,319,800.65"
01-Dec-2023,156.84,+0.76,+0.49%,155.82,155.82,157.83,"2,140,963","335,882,208.00","-19,521,709,965.65"
30-Nov-2023,156.08,+1.76,+1.14%,154.91,154.41,156.13,"3,615,399","563,696,056.00","-19,857,592,173.65"
29-Nov-2023,154.32,+0.78,+0.51%,154.17,154.00,155.62,"2,181,732","337,186,115.00","-20,421,288,229.65"
28-Nov-2023,153.54,+0.35,+0.23%,153.22,152.76,153.86,"2,027,260","311,211,388.00","-20,758,474,344.65"
27-Nov-2023,153.19,-0.35,-0.23%,153.43,152.72,153.50,"2,091,327","320,277,347.00","-21,069,685,732.65"
24-Nov-2023,153.54,+0.21,+0.14%,153.50,153.28,154.43,"1,081,114","166,091,448.00","-20,749,408,385.65"
22-Nov-2023,153.33,+0.36,+0.24%,153.41,152.92,153.87,"1,565,434","240,081,545.00","-20,915,499,833.65"
