Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,58.93,+0.18,+0.31%,58.70,58.63,58.98,"3,389,798","199,651,813.00","14,365,225,293.43"
28-Dec-2023,58.75,+0.04,+0.07%,58.70,58.53,58.87,"2,541,702","149,293,048.00","14,165,573,480.43"
27-Dec-2023,58.71,+0.15,+0.26%,58.66,58.40,58.77,"2,792,726","163,870,310.00","14,016,280,432.43"
26-Dec-2023,58.56,+0.24,+0.41%,58.06,58.06,58.71,"1,979,073","115,748,484.00","13,852,410,122.43"
22-Dec-2023,58.32,+0.33,+0.57%,58.12,58.02,58.46,"3,073,206","179,207,255.00","13,736,661,638.43"
21-Dec-2023,57.99,+0.38,+0.66%,57.85,57.47,58.07,"4,047,572","234,419,790.00","13,557,454,383.43"
20-Dec-2023,57.61,-1.22,-2.07%,58.50,57.57,58.67,"5,045,780","291,820,440.00","13,323,034,593.43"
19-Dec-2023,58.83,-0.19,-0.32%,59.00,58.64,59.20,"3,981,267","234,363,567.00","13,614,855,033.43"
18-Dec-2023,59.02,+0.42,+0.72%,58.85,58.62,59.49,"6,063,211","357,886,944.00","13,849,218,600.43"
15-Dec-2023,58.60,-0.44,-0.75%,58.72,57.91,59.16,"28,280,784","1,657,485,861.00","13,491,331,656.43"
14-Dec-2023,59.04,-0.89,-1.49%,59.91,58.77,60.03,"6,177,771","365,841,564.00","15,148,817,517.43"
13-Dec-2023,59.93,+0.51,+0.86%,59.45,59.26,60.02,"5,830,110","348,828,976.00","15,514,659,081.43"
12-Dec-2023,59.42,+0.38,+0.64%,59.20,58.90,59.42,"3,382,524","200,710,707.00","15,165,830,105.43"
11-Dec-2023,59.04,+0.43,+0.73%,58.94,58.50,59.09,"5,330,546","314,544,947.00","14,965,119,398.43"
08-Dec-2023,58.61,-0.13,-0.22%,58.75,58.37,58.75,"3,843,723","225,205,122.00","14,650,574,451.43"
07-Dec-2023,58.74,+0.14,+0.24%,58.67,58.40,58.89,"4,450,076","261,377,012.00","14,875,779,573.43"
06-Dec-2023,58.60,-0.06,-0.10%,58.56,58.21,58.73,"4,118,569","241,283,167.00","14,614,402,561.43"
05-Dec-2023,58.66,+0.09,+0.15%,58.54,58.42,58.82,"3,646,284","213,850,289.00","14,855,685,728.43"
