Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,582.92,+2.07,+0.36%,582.85,579.63,586.00,"777,431","453,186,022.00","22,071,121,537.21"
28-Dec-2023,580.85,-0.66,-0.11%,581.98,580.00,586.38,"652,651","379,353,722.00","21,617,935,515.21"
27-Dec-2023,581.51,+10.84,+1.90%,570.50,570.50,583.40,"485,587","281,746,420.00","21,997,289,237.21"
26-Dec-2023,570.67,+0.28,+0.05%,569.50,567.74,572.63,"319,262","182,026,591.00","21,715,542,817.21"
22-Dec-2023,570.39,-1.61,-0.28%,573.02,567.42,575.15,"645,505","368,145,437.00","21,533,516,226.21"
21-Dec-2023,572.00,+1.79,+0.31%,571.41,567.18,574.33,"445,914","254,763,763.00","21,901,661,663.21"
20-Dec-2023,570.21,-9.60,-1.66%,577.22,570.03,579.66,"731,700","418,876,458.00","21,646,897,900.21"
19-Dec-2023,579.81,+0.05,+0.01%,580.25,577.26,585.05,"617,546","358,186,395.00","22,065,774,358.21"
18-Dec-2023,579.76,+7.72,+1.35%,579.75,575.87,583.03,"703,515","407,710,187.00","21,707,587,963.21"
15-Dec-2023,572.04,-1.63,-0.28%,562.38,561.65,573.71,"2,001,432","1,138,322,880.00","21,299,877,776.21"
14-Dec-2023,573.67,-23.83,-3.99%,594.40,568.74,594.40,"1,240,420","714,459,706.00","22,438,200,656.21"
13-Dec-2023,597.50,+12.74,+2.18%,583.26,582.50,598.39,"865,681","515,499,147.00","23,152,660,362.21"
12-Dec-2023,584.76,+0.72,+0.12%,582.00,578.34,585.50,"649,282","378,812,784.00","22,637,161,215.21"
11-Dec-2023,584.04,-14.01,-2.34%,600.00,567.61,600.60,"1,135,951","663,158,489.00","22,258,348,431.21"
08-Dec-2023,598.05,+9.78,+1.66%,589.00,584.91,598.26,"698,120","416,178,794.00","22,921,506,920.21"
07-Dec-2023,588.27,-0.98,-0.17%,588.28,577.61,588.70,"498,894","292,621,088.00","22,505,328,126.21"
06-Dec-2023,589.25,+1.10,+0.19%,590.74,584.64,593.69,"509,531","300,445,208.00","22,797,949,214.21"
05-Dec-2023,588.15,+2.47,+0.42%,583.28,579.78,591.65,"575,828","338,401,630.00","22,497,504,006.21"
04-Dec-2023,585.68,+1.64,+0.28%,582.13,574.38,586.76,"706,077","412,471,198.00","22,159,102,376.21"
01-Dec-2023,584.04,-7.00,-1.18%,592.32,583.25,601.79,"871,657","512,105,999.00","21,746,631,178.21"
30-Nov-2023,591.04,-0.82,-0.14%,591.46,586.36,596.00,"2,938,735","1,736,799,458.00","22,258,737,177.21"
29-Nov-2023,591.86,+0.26,+0.04%,591.97,584.80,594.48,"433,718","256,556,992.00","23,995,536,635.21"
