Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,296.51,+0.67,+0.23%,295.84,295.36,296.79,"906,590","268,713,750.00","5,939,333,635.14"
28-Dec-2023,295.84,+1.29,+0.44%,294.47,294.24,296.45,"644,268","190,509,057.00","5,670,619,885.14"
27-Dec-2023,294.55,+1.69,+0.58%,292.50,292.50,294.63,"841,370","247,595,247.00","5,480,110,828.14"
26-Dec-2023,292.86,+1.16,+0.40%,290.89,290.89,293.05,"486,655","142,417,004.00","5,232,515,581.14"
22-Dec-2023,291.70,+0.31,+0.11%,290.70,290.55,292.47,"598,074","174,349,013.00","5,090,098,577.14"
21-Dec-2023,291.39,+2.40,+0.83%,290.57,289.32,291.52,"804,955","234,283,894.00","4,915,749,564.14"
20-Dec-2023,288.99,-1.74,-0.60%,290.73,288.79,291.66,"811,874","235,052,825.00","4,681,465,670.14"
19-Dec-2023,290.73,+0.50,+0.17%,290.67,289.61,291.72,"675,154","196,238,651.00","4,916,518,495.14"
18-Dec-2023,290.23,+2.96,+1.03%,288.65,287.56,290.59,"788,856","228,678,877.00","4,720,279,844.14"
15-Dec-2023,287.27,-2.75,-0.95%,289.01,285.72,291.73,"3,035,090","873,732,846.00","4,491,600,967.14"
14-Dec-2023,290.02,-5.91,-2.00%,294.77,288.07,295.27,"1,337,096","388,092,588.00","5,365,333,813.14"
13-Dec-2023,295.93,+4.51,+1.55%,291.69,291.69,295.96,"1,246,061","367,870,461.00","5,753,426,401.14"
12-Dec-2023,291.42,+2.27,+0.79%,289.57,288.67,291.68,"785,279","228,495,226.00","5,385,555,940.14"
11-Dec-2023,289.15,+3.62,+1.27%,285.56,285.56,289.31,"1,116,793","322,515,808.00","5,157,060,714.14"
08-Dec-2023,285.53,-1.26,-0.44%,287.33,285.07,287.87,"1,411,612","403,348,077.00","4,834,544,906.14"
07-Dec-2023,286.79,-0.07,-0.02%,287.49,285.77,288.13,"1,215,844","348,836,932.00","5,237,892,983.14"
06-Dec-2023,286.86,+0.32,+0.11%,287.29,283.53,287.37,"852,783","244,273,040.00","5,586,729,915.14"
05-Dec-2023,286.54,+0.41,+0.14%,286.55,285.21,288.76,"1,045,013","299,614,553.00","5,342,456,875.14"
04-Dec-2023,286.13,+0.17,+0.06%,285.21,285.21,287.30,"1,258,312","360,013,435.00","5,042,842,322.14"
01-Dec-2023,285.96,+4.12,+1.46%,283.25,283.21,286.85,"1,752,361","500,443,010.00","4,682,828,887.14"
30-Nov-2023,281.84,+1.46,+0.52%,280.50,278.06,282.28,"2,480,587","698,226,494.00","4,182,385,877.14"
29-Nov-2023,280.38,-1.71,-0.61%,282.21,279.53,282.47,"889,441","249,517,409.00","3,484,159,383.14"
28-Nov-2023,282.09,+0.25,+0.09%,281.50,281.40,283.54,"810,430","228,617,211.00","3,733,676,792.14"
27-Nov-2023,281.84,-0.70,-0.25%,282.66,281.19,283.88,"1,061,277","299,350,662.00","3,505,059,581.14"
24-Nov-2023,282.54,+0.61,+0.22%,282.00,281.13,282.59,"365,490","103,168,298.00","3,804,410,243.14"
22-Nov-2023,281.93,+1.46,+0.52%,281.25,281.21,282.39,"781,589","220,285,909.00","3,701,241,945.14"
21-Nov-2023,280.47,+1.44,+0.52%,279.87,278.52,280.63,"838,793","235,083,783.00","3,480,956,036.14"
20-Nov-2023,279.03,+3.28,+1.19%,275.35,275.02,279.79,"901,031","250,685,058.00","3,245,872,253.14"
17-Nov-2023,275.75,-0.37,-0.13%,276.55,275.17,277.10,"810,477","223,713,292.00","2,995,187,195.14"
16-Nov-2023,276.12,+5.73,+2.12%,271.07,271.07,276.16,"964,953","265,820,314.00","3,218,900,487.14"
15-Nov-2023,270.39,-1.10,-0.41%,272.43,269.05,273.01,"963,227","260,504,963.00","2,953,080,173.14"
14-Nov-2023,271.49,+2.29,+0.85%,270.00,269.41,271.63,"884,248","239,763,177.00","3,213,585,136.14"
13-Nov-2023,269.20,+1.41,+0.53%,267.40,267.28,269.72,"527,040","141,691,751.00","2,973,821,959.14"
10-Nov-2023,267.79,+0.88,+0.33%,267.33,265.34,268.10,"766,318","205,012,364.00","2,832,130,208.14"
09-Nov-2023,266.91,-0.58,-0.22%,268.24,265.96,268.24,"866,017","231,184,298.00","2,627,117,844.14"
08-Nov-2023,267.49,-1.18,-0.44%,268.83,267.31,270.00,"681,412","182,531,295.00","2,858,302,142.14"
07-Nov-2023,268.67,-0.24,-0.09%,268.80,268.12,269.79,"789,838","212,291,160.00","3,040,833,437.14"
