Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,353.96,-4.36,-1.22%,358.99,351.82,360.00,"4,284,202","1,518,407,563.00","57,318,755,936.73"
28-Dec-2023,358.32,+0.49,+0.14%,359.75,357.82,361.89,"3,801,074","1,365,517,781.00","58,837,163,499.73"
27-Dec-2023,357.83,+3.00,+0.85%,355.97,355.41,359.00,"3,748,941","1,340,442,960.00","57,471,645,718.73"
26-Dec-2023,354.83,+1.44,+0.41%,354.90,353.50,356.98,"3,208,416","1,138,843,308.00","56,131,202,758.73"
22-Dec-2023,353.39,-0.70,-0.20%,355.58,351.24,357.17,"3,156,555","1,116,904,032.00","54,992,359,450.73"
21-Dec-2023,354.09,+4.81,+1.38%,352.98,349.24,356.32,"3,242,761","1,144,295,158.00","56,109,263,482.73"
20-Dec-2023,349.28,-1.08,-0.31%,349.00,347.80,354.90,"5,018,383","1,759,437,857.00","54,964,968,324.73"
19-Dec-2023,350.36,+5.74,+1.67%,345.65,345.13,353.53,"4,549,814","1,593,630,072.00","56,724,406,181.73"
18-Dec-2023,344.62,+9.70,+2.90%,337.48,337.02,347.53,"4,851,353","1,668,443,309.00","55,130,776,109.73"
15-Dec-2023,334.92,+1.75,+0.53%,331.22,331.22,338.65,"15,021,029","5,023,908,552.00","53,462,332,800.73"
14-Dec-2023,333.17,-1.57,-0.47%,333.93,328.65,334.29,"5,500,923","1,828,151,655.00","48,438,424,248.73"
13-Dec-2023,334.74,+0.52,+0.16%,333.93,332.69,338.34,"4,252,216","1,424,498,652.00","50,266,575,903.73"
12-Dec-2023,334.22,+8.94,+2.75%,324.59,324.59,334.47,"5,583,633","1,854,378,641.00","48,842,077,251.73"
11-Dec-2023,325.28,-7.47,-2.24%,329.52,320.00,329.89,"6,566,994","2,128,789,814.00","46,987,698,610.73"
08-Dec-2023,332.75,+6.16,+1.89%,323.14,323.07,333.16,"3,440,008","1,138,090,355.00","49,116,488,424.73"
07-Dec-2023,326.59,+9.14,+2.88%,317.77,317.77,328.22,"4,551,545","1,481,842,275.00","47,978,398,069.73"
06-Dec-2023,317.45,-0.84,-0.26%,321.86,317.05,322.20,"3,054,446","973,155,924.00","46,496,555,794.73"
05-Dec-2023,318.29,-1.73,-0.54%,318.98,315.41,321.87,"3,734,294","1,188,476,896.00","47,469,711,718.73"
04-Dec-2023,320.02,-4.80,-1.48%,317.00,313.67,320.86,"4,955,035","1,576,463,384.00","48,658,188,614.73"
01-Dec-2023,324.82,-2.33,-0.71%,325.48,320.79,326.82,"4,034,958","1,307,155,467.00","50,234,651,998.73"
30-Nov-2023,327.15,-5.05,-1.52%,331.71,322.43,333.50,"7,372,919","2,408,804,108.00","51,541,807,465.73"
