Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,109.02,+0.25,+0.23%,109.00,108.80,109.24,"2,277,416","248,289,711.00","15,486,099,386.38"
28-Dec-2023,108.77,+0.79,+0.73%,108.47,108.14,109.05,"2,046,596","222,531,758.00","15,237,809,675.38"
27-Dec-2023,107.98,+0.35,+0.33%,107.31,107.10,108.06,"2,118,250","228,562,615.00","15,015,277,917.38"
26-Dec-2023,107.63,-0.07,-0.06%,107.50,107.22,108.02,"1,438,402","154,774,340.00","14,786,715,302.38"
22-Dec-2023,107.70,+1.31,+1.23%,107.23,106.91,108.06,"2,576,632","277,459,204.00","14,941,489,642.38"
21-Dec-2023,106.39,+1.03,+0.98%,105.81,105.35,106.60,"2,771,384","294,612,190.00","14,664,030,438.38"
20-Dec-2023,105.36,-1.13,-1.06%,107.08,105.24,107.08,"3,122,417","330,006,059.00","14,369,418,248.38"
19-Dec-2023,106.49,+0.45,+0.42%,106.00,105.49,106.63,"2,313,220","246,073,563.00","14,699,424,307.38"
18-Dec-2023,106.04,+0.93,+0.88%,106.32,105.68,107.21,"2,975,485","315,810,460.00","14,453,350,744.38"
15-Dec-2023,105.11,-0.77,-0.73%,104.81,104.26,106.27,"12,730,627","1,338,847,041.00","14,137,540,284.38"
14-Dec-2023,105.88,-1.23,-1.15%,107.00,105.16,107.00,"4,559,303","482,805,876.00","15,476,387,325.38"
13-Dec-2023,107.11,+2.75,+2.64%,104.24,103.97,107.11,"5,007,701","534,592,725.00","15,959,193,201.38"
12-Dec-2023,104.36,-0.01,-0.01%,104.54,103.46,104.78,"2,921,044","304,857,060.00","15,424,600,476.38"
11-Dec-2023,104.37,+0.62,+0.60%,105.43,103.57,105.43,"2,448,664","255,844,974.00","15,729,457,536.38"
08-Dec-2023,103.75,-0.13,-0.13%,103.67,102.66,104.00,"2,351,244","243,637,044.00","15,473,612,562.38"
07-Dec-2023,103.88,-1.75,-1.66%,105.55,103.73,105.60,"2,636,745","274,430,189.00","15,717,249,606.38"
06-Dec-2023,105.63,-0.60,-0.56%,106.25,105.43,106.57,"2,779,542","293,807,583.00","15,991,679,795.38"
05-Dec-2023,106.23,+1.17,+1.11%,104.79,104.19,106.39,"3,438,436","363,941,371.00","16,285,487,378.38"
04-Dec-2023,105.06,+1.60,+1.55%,103.79,103.79,105.38,"3,902,236","409,541,857.00","15,921,546,007.38"
01-Dec-2023,103.46,+0.98,+0.96%,103.60,102.66,103.67,"2,182,765","225,711,127.00","15,512,004,150.38"
30-Nov-2023,102.48,+1.35,+1.33%,100.90,100.30,102.68,"17,211,636","1,762,699,994.00","15,286,293,023.38"
29-Nov-2023,101.13,+0.95,+0.95%,100.38,99.82,101.17,"3,659,353","369,602,905.00","13,523,593,029.38"
28-Nov-2023,100.18,-1.25,-1.23%,101.35,100.02,101.35,"3,342,215","335,107,207.00","13,153,990,124.38"
27-Nov-2023,101.43,-0.44,-0.43%,101.87,100.71,102.13,"2,858,894","289,823,918.00","13,489,097,331.38"
24-Nov-2023,101.87,+0.19,+0.19%,102.26,101.45,102.50,"1,037,225","105,696,040.00","13,778,921,249.38"
22-Nov-2023,101.68,-0.53,-0.52%,102.52,101.11,102.68,"1,925,218","195,745,434.00","13,673,225,209.38"
21-Nov-2023,102.21,-0.47,-0.46%,103.25,101.85,103.63,"2,278,474","233,526,801.00","13,868,970,643.38"
20-Nov-2023,102.68,+0.93,+0.91%,100.93,100.93,102.93,"2,284,600","233,941,937.00","14,102,497,444.38"
17-Nov-2023,101.75,-0.24,-0.24%,101.79,100.97,102.05,"2,537,638","258,081,650.00","13,868,555,507.38"
16-Nov-2023,101.99,+0.64,+0.63%,101.93,101.04,102.03,"2,703,605","275,364,357.00","14,126,637,157.38"
15-Nov-2023,101.35,-0.82,-0.80%,101.90,100.72,102.17,"2,492,650","252,668,550.00","13,851,272,800.38"
14-Nov-2023,102.17,-0.30,-0.29%,102.25,101.92,103.22,"2,731,595","279,284,143.00","14,103,941,350.38"
