Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
31-Jul-2024,103.21,-0.55,-0.53%,103.09,102.25,104.32,"1,527,862","157,791,835.00","2,835,892,200.00"
30-Jul-2024,103.76,+1.28,+1.25%,103.62,102.79,104.12,"1,799,794","186,523,137.00","2,993,684,035.00"
29-Jul-2024,102.48,-1.71,-1.64%,104.25,102.35,104.53,"1,675,509","171,980,761.00","2,807,160,898.00"
26-Jul-2024,104.19,+0.63,+0.61%,104.89,104.04,105.89,"1,760,799","183,936,026.00","2,979,141,659.00"
25-Jul-2024,103.56,+1.59,+1.56%,102.03,101.99,104.18,"1,705,489","176,459,471.00","2,795,205,633.00"
24-Jul-2024,101.97,-1.53,-1.48%,103.29,101.75,103.97,"3,430,304","350,357,444.00","2,618,746,162.00"
23-Jul-2024,103.50,+1.06,+1.03%,102.45,102.18,104.16,"2,746,391","284,108,096.00","2,969,103,606.00"
22-Jul-2024,102.44,+0.35,+0.34%,102.58,101.95,103.22,"2,486,110","254,768,849.00","2,684,995,510.00"
19-Jul-2024,102.09,-2.72,-2.60%,104.71,101.73,104.71,"3,295,493","338,115,055.00","2,430,226,661.00"
18-Jul-2024,104.81,-2.15,-2.01%,106.20,104.33,107.62,"2,517,354","264,440,714.00","2,768,341,716.00"
17-Jul-2024,106.96,+0.74,+0.70%,105.09,104.53,107.69,"2,269,502","241,669,793.00","3,032,782,430.00"
16-Jul-2024,106.22,+0.96,+0.91%,104.12,102.90,109.05,"3,009,343","319,583,665.00","2,791,112,637.00"
15-Jul-2024,105.26,+1.17,+1.12%,103.71,103.26,106.52,"2,706,503","284,623,716.00","2,471,528,972.00"
12-Jul-2024,104.09,-0.55,-0.53%,104.91,103.97,105.81,"2,169,890","226,619,403.00","2,186,905,256.00"
11-Jul-2024,104.64,+1.18,+1.14%,104.25,103.94,105.27,"2,192,783","229,542,113.00","2,413,524,659.00"
10-Jul-2024,103.46,+0.85,+0.83%,102.51,102.06,103.51,"1,774,905","183,335,016.00","2,183,982,546.00"
09-Jul-2024,102.61,+2.02,+2.01%,100.60,99.98,102.89,"1,990,173","203,629,849.00","2,000,647,530.00"
08-Jul-2024,100.59,+1.00,+1.00%,99.83,99.83,101.24,"1,213,612","122,074,988.00","1,797,017,681.00"
05-Jul-2024,99.59,-0.61,-0.61%,99.84,98.91,100.10,"1,279,484","127,347,956.00","1,674,942,693.00"
03-Jul-2024,100.20,+0.55,+0.55%,99.81,99.50,100.60,"969,465","97,073,989.00","1,802,290,649.00"
02-Jul-2024,99.65,+0.49,+0.49%,98.97,98.64,99.80,"2,197,231","218,765,280.00","1,705,216,660.00"
01-Jul-2024,99.16,+1.97,+2.03%,97.44,97.44,99.36,"1,781,015","176,131,750.00","1,486,451,380.00"
28-Jun-2024,97.19,+1.42,+1.48%,96.68,96.21,97.32,"3,448,560","334,735,724.00","1,310,319,630.00"
27-Jun-2024,95.77,-1.12,-1.16%,96.03,95.18,96.31,"1,882,567","180,238,094.00","975,583,906.00"
26-Jun-2024,96.89,-0.91,-0.93%,97.38,96.10,97.67,"1,338,456","129,672,109.00","1,155,822,000.00"
25-Jun-2024,97.80,+0.70,+0.72%,96.95,96.73,98.34,"1,745,427","170,629,231.00","1,285,494,109.00"
24-Jun-2024,97.10,+0.94,+0.98%,96.73,96.24,97.65,"2,276,945","221,117,089.00","1,114,864,878.00"
21-Jun-2024,96.16,-1.28,-1.31%,97.25,95.89,97.36,"5,309,007","511,861,056.00","893,747,789.00"
20-Jun-2024,97.44,-0.13,-0.13%,97.80,97.13,98.00,"1,241,098","120,983,843.00","1,405,608,845.00"
18-Jun-2024,97.57,+0.53,+0.55%,97.00,96.81,97.66,"2,276,495","222,017,667.00","1,526,592,688.00"
17-Jun-2024,97.04,+1.54,+1.61%,95.01,94.74,97.18,"1,555,611","150,665,517.00","1,304,575,021.00"
14-Jun-2024,95.50,+0.29,+0.30%,94.39,94.00,95.52,"998,041","95,120,133.00","1,153,909,504.00"
13-Jun-2024,95.21,-0.44,-0.46%,95.20,94.63,95.42,"1,198,876","114,116,826.00","1,058,789,371.00"
12-Jun-2024,95.65,+0.22,+0.23%,97.35,95.62,97.78,"1,621,034","155,525,979.00","1,172,906,197.00"
11-Jun-2024,95.43,-0.96,-1.00%,95.64,94.74,95.86,"1,958,566","186,928,783.00","1,017,380,218.00"
10-Jun-2024,96.39,-0.75,-0.77%,96.54,95.46,96.81,"1,232,255","118,780,508.00","1,204,309,001.00"
07-Jun-2024,97.14,+0.29,+0.30%,96.13,95.95,97.68,"1,395,504","135,549,747.00","1,323,089,509.00"
06-Jun-2024,96.85,+0.19,+0.20%,96.42,96.27,97.43,"1,795,640","173,890,397.00","1,187,539,762.00"
05-Jun-2024,96.66,+0.08,+0.08%,96.84,96.51,97.57,"1,348,745","130,480,233.00","1,013,649,365.00"
04-Jun-2024,96.58,-0.83,-0.85%,96.08,95.68,97.52,"1,750,884","169,048,572.00","883,169,132.00"
