Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
31-Jul-2024,418.35,-4.57,-1.08%,420.59,412.25,421.77,"14,007,621","5,852,778,211.00","47,109,002,900.00"
30-Jul-2024,422.92,-3.81,-0.89%,428.00,417.39,429.03,"10,582,034","4,407,258,659.00","52,961,781,111.00"
29-Jul-2024,426.73,+1.46,+0.34%,431.52,424.75,432.15,"5,262,356","2,248,857,708.00","57,369,039,770.00"
26-Jul-2024,425.27,+6.87,+1.64%,418.14,417.31,428.91,"6,820,916","2,893,641,142.00","55,120,182,062.00"
25-Jul-2024,418.40,-10.50,-2.45%,428.80,417.51,429.75,"9,536,646","4,019,406,497.00","52,226,540,920.00"
24-Jul-2024,428.90,-15.95,-3.59%,440.40,427.60,441.42,"9,519,985","4,097,160,466.00","56,245,947,417.00"
23-Jul-2024,444.85,+1.91,+0.43%,444.00,443.10,448.34,"4,314,233","1,919,965,781.00","60,343,107,883.00"
22-Jul-2024,442.94,+5.83,+1.33%,441.77,438.98,444.58,"6,507,487","2,880,713,483.00","58,423,142,102.00"
19-Jul-2024,437.11,-3.26,-0.74%,433.17,432.00,441.00,"8,233,230","3,590,834,218.00","55,542,428,619.00"
18-Jul-2024,440.37,-3.15,-0.71%,444.10,434.41,444.58,"6,706,828","2,948,115,681.00","59,133,262,837.00"
17-Jul-2024,443.52,-6.00,-1.33%,442.22,439.18,444.85,"8,172,788","3,619,030,468.00","62,081,378,518.00"
16-Jul-2024,449.52,-4.44,-0.98%,453.96,446.72,454.27,"5,591,101","2,513,510,560.00","65,700,408,986.00"
15-Jul-2024,453.96,+0.41,+0.09%,453.10,451.43,457.25,"5,580,319","2,532,708,937.00","68,213,919,546.00"
12-Jul-2024,453.55,-1.15,-0.25%,454.20,450.66,456.32,"6,731,244","3,053,924,780.00","65,681,210,609.00"
11-Jul-2024,454.70,-11.55,-2.48%,462.98,451.55,464.72,"9,006,427","4,103,418,373.00","68,735,135,389.00"
10-Jul-2024,466.25,+6.71,+1.46%,461.16,458.90,466.45,"6,328,952","2,941,200,235.00","72,838,553,762.00"
09-Jul-2024,459.54,-6.70,-1.44%,467.00,458.00,467.30,"5,918,551","2,727,214,028.00","69,897,353,527.00"
08-Jul-2024,466.24,-1.32,-0.28%,466.33,464.48,467.70,"4,832,975","2,252,300,278.00","72,624,567,555.00"
05-Jul-2024,467.56,+6.79,+1.47%,459.62,458.97,468.33,"5,853,810","2,730,382,958.00","74,876,867,833.00"
03-Jul-2024,460.77,+1.49,+0.32%,458.24,457.88,461.02,"3,965,605","1,824,569,858.00","72,146,484,875.00"
02-Jul-2024,459.28,+2.55,+0.56%,453.17,453.17,459.59,"5,676,394","2,600,336,190.00","70,321,915,017.00"
01-Jul-2024,456.73,+9.78,+2.19%,448.61,445.67,457.33,"6,820,315","3,098,326,737.00","67,721,578,827.00"
28-Jun-2024,446.95,-5.90,-1.30%,453.07,446.41,455.37,"14,265,116","6,398,570,193.00","64,623,252,090.00"
27-Jun-2024,452.85,+0.69,+0.15%,452.16,451.77,456.15,"5,922,649","2,683,950,253.00","71,021,822,283.00"
26-Jun-2024,452.16,+1.21,+0.27%,448.59,448.19,453.57,"5,894,855","2,663,211,410.00","68,337,872,030.00"
25-Jun-2024,450.95,+3.28,+0.73%,448.03,446.81,451.42,"7,174,625","3,231,434,323.00","65,674,660,620.00"
24-Jun-2024,447.67,-2.11,-0.47%,450.00,446.42,452.70,"5,732,119","2,569,967,826.00","62,443,226,297.00"
21-Jun-2024,449.78,+4.08,+0.92%,447.45,446.53,450.55,"15,530,973","6,969,218,126.00","65,013,194,123.00"
20-Jun-2024,445.70,-0.64,-0.14%,446.34,441.29,446.53,"7,778,152","3,462,061,888.00","58,043,975,997.00"
18-Jun-2024,446.34,-2.03,-0.45%,450.14,444.89,450.14,"5,707,165","2,549,418,530.00","61,506,037,885.00"
17-Jun-2024,448.37,+5.80,+1.31%,442.24,440.75,450.91,"7,209,944","3,225,363,669.00","64,055,456,415.00"
14-Jun-2024,442.57,+0.99,+0.22%,438.00,436.74,443.11,"4,728,861","2,089,290,869.00","60,830,092,746.00"
13-Jun-2024,441.58,+0.52,+0.12%,441.06,439.39,443.39,"6,117,897","2,701,058,690.00","58,740,801,877.00"
12-Jun-2024,441.06,+8.38,+1.94%,435.18,433.25,443.39,"8,172,487","3,593,971,108.00","56,039,743,187.00"
