Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,60.74,-0.28,-0.46%,60.80,60.27,61.05,"2,387,819","144,953,284.00","2,012,131,936.84"
28-Dec-2023,61.02,+0.44,+0.73%,60.12,60.12,61.10,"1,617,521","98,417,816.00","2,157,085,220.84"
27-Dec-2023,60.58,+0.37,+0.61%,59.83,59.71,60.66,"1,742,999","105,363,795.00","2,058,667,404.84"
26-Dec-2023,60.21,+0.46,+0.77%,59.68,59.63,60.56,"2,348,642","141,472,557.00","1,953,303,609.84"
22-Dec-2023,59.75,+0.15,+0.25%,59.96,59.70,60.86,"2,957,885","177,436,858.00","1,811,831,052.84"
21-Dec-2023,59.60,-0.24,-0.40%,60.29,59.07,60.64,"2,773,125","165,397,541.00","1,634,394,194.84"
20-Dec-2023,59.84,-1.73,-2.81%,61.55,59.79,61.70,"3,183,712","191,979,017.00","1,799,791,735.84"
19-Dec-2023,61.57,+0.57,+0.93%,61.40,60.88,61.82,"2,776,664","170,617,858.00","1,991,770,752.84"
18-Dec-2023,61.00,-0.50,-0.81%,61.60,60.85,62.09,"4,017,866","245,510,627.00","1,821,152,894.84"
15-Dec-2023,61.50,-1.28,-2.04%,62.10,61.03,62.90,"16,174,433","998,100,731.00","2,066,663,521.84"
14-Dec-2023,62.78,+0.27,+0.43%,63.52,62.37,64.57,"4,218,979","266,198,152.00","3,064,764,252.84"
13-Dec-2023,62.51,+2.99,+5.02%,59.60,59.34,62.60,"3,973,352","246,350,618.00","2,798,566,100.84"
12-Dec-2023,59.52,-0.19,-0.32%,59.66,58.09,59.66,"2,270,845","134,481,578.00","2,552,215,482.84"
11-Dec-2023,59.71,+0.01,+0.02%,58.62,58.56,59.93,"2,834,672","168,749,982.00","2,686,697,060.84"
08-Dec-2023,59.70,-0.15,-0.25%,59.78,59.10,59.94,"2,724,123","162,419,619.00","2,517,947,078.84"
07-Dec-2023,59.85,-0.35,-0.58%,60.38,59.45,60.55,"2,631,036","157,910,218.00","2,680,366,697.84"
06-Dec-2023,60.20,+1.97,+3.38%,58.62,58.62,60.25,"2,964,345","177,702,371.00","2,838,276,915.84"
05-Dec-2023,58.23,-0.44,-0.75%,58.68,57.88,58.85,"3,319,225","193,456,038.00","2,660,574,544.84"
04-Dec-2023,58.67,-0.50,-0.85%,58.64,58.59,59.52,"2,517,681","148,116,060.00","2,854,030,582.84"
01-Dec-2023,59.17,+0.66,+1.13%,58.55,57.67,59.54,"2,780,598","164,270,686.00","3,002,146,642.84"
30-Nov-2023,58.51,+0.15,+0.26%,58.68,57.98,58.68,"6,406,871","374,720,797.00","2,837,875,956.84"
29-Nov-2023,58.36,+0.20,+0.34%,58.57,57.98,59.23,"2,726,759","159,464,089.00","2,463,155,159.84"
28-Nov-2023,58.16,+0.58,+1.01%,57.56,57.28,58.57,"2,434,969","141,555,086.00","2,303,691,070.84"
27-Nov-2023,57.58,+0.03,+0.05%,57.50,56.89,57.68,"2,313,304","133,028,901.00","2,162,135,984.84"
24-Nov-2023,57.55,+0.08,+0.14%,57.30,56.93,57.60,"1,646,607","94,581,950.00","2,029,107,083.84"
22-Nov-2023,57.47,-0.51,-0.88%,57.98,56.99,58.28,"2,373,427","136,464,893.00","1,934,525,133.84"
21-Nov-2023,57.98,+0.64,+1.12%,57.32,56.78,58.29,"2,308,583","133,576,984.00","2,070,990,026.84"
20-Nov-2023,57.34,-0.03,-0.05%,57.00,56.32,57.68,"2,135,205","122,342,512.00","1,937,413,042.84"
17-Nov-2023,57.37,+0.77,+1.36%,57.01,56.50,57.38,"3,031,839","173,391,871.00","2,059,755,554.84"
16-Nov-2023,56.60,-0.40,-0.70%,57.42,56.58,57.77,"2,987,342","169,664,494.00","1,886,363,683.84"
15-Nov-2023,57.00,-0.55,-0.96%,57.48,56.99,58.73,"3,082,500","176,508,675.00","2,056,028,177.84"
14-Nov-2023,57.55,+3.05,+5.60%,56.08,55.46,57.73,"3,236,519","185,156,726.00","2,232,536,852.84"
13-Nov-2023,54.50,-0.64,-1.16%,55.05,53.82,55.06,"2,268,446","123,593,162.00","2,047,380,126.84"
10-Nov-2023,55.14,+0.42,+0.77%,55.00,54.52,55.35,"2,996,302","165,065,150.00","2,170,973,288.84"
09-Nov-2023,54.72,-2.78,-4.83%,57.12,54.63,57.26,"4,004,285","221,339,765.00","2,005,908,138.84"
08-Nov-2023,57.50,-0.96,-1.64%,58.02,56.82,58.02,"3,355,420","192,742,025.00","2,227,247,903.84"
07-Nov-2023,58.46,-0.58,-0.98%,59.05,58.41,59.53,"2,701,452","158,381,006.00","2,419,989,928.84"
06-Nov-2023,59.04,-0.34,-0.57%,59.55,58.86,59.84,"2,528,862","149,678,239.00","2,578,370,934.84"
03-Nov-2023,59.38,-0.53,-0.88%,61.22,59.38,61.49,"4,098,363","245,515,907.00","2,728,049,173.84"
02-Nov-2023,59.91,+1.48,+2.53%,58.52,58.52,60.47,"4,467,214","267,346,589.00","2,973,565,080.84"
01-Nov-2023,58.43,+0.13,+0.22%,58.47,57.19,58.78,"3,543,027","206,410,560.00","2,706,218,491.84"
31-Oct-2023,58.30,+1.10,+1.92%,57.56,57.39,58.48,"7,651,499","445,703,410.00","2,499,807,931.84"
30-Oct-2023,57.20,+0.96,+1.71%,56.56,55.77,57.46,"3,223,048","183,521,387.00","2,054,104,521.84"
