Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,49.52,0.00,0.00%,49.83,48.76,50.00,"65,650,830","3,251,301,742.00","170,228,734,581.47"
28-Dec-2023,49.52,+0.10,+0.21%,49.64,49.41,49.88,"44,931,860","2,229,323,878.00","166,977,432,839.47"
27-Dec-2023,49.42,+0.14,+0.28%,49.50,49.09,49.68,"47,833,150","2,361,965,429.00","164,748,108,961.47"
26-Dec-2023,49.28,+0.45,+0.92%,48.97,48.97,49.60,"48,540,470","2,395,103,743.00","162,386,143,532.47"
22-Dec-2023,48.83,-0.16,-0.33%,49.20,48.47,49.38,"39,599,260","1,937,777,865.00","159,991,039,789.47"
21-Dec-2023,48.99,+0.88,+1.83%,48.81,48.42,49.09,"54,929,120","2,679,603,884.00","161,928,817,654.47"
20-Dec-2023,48.11,-1.49,-3.01%,49.66,48.10,50.00,"77,441,940","3,781,338,103.00","159,249,213,770.47"
19-Dec-2023,49.60,-0.47,-0.94%,49.43,48.90,49.70,"73,050,400","3,606,586,352.00","163,030,551,873.47"
18-Dec-2023,50.08,+1.19,+2.43%,49.40,49.16,50.43,"73,076,960","3,647,942,332.00","166,637,138,225.47"
15-Dec-2023,48.89,+0.54,+1.12%,48.19,48.12,49.40,"142,495,650","6,953,428,952.00","162,989,195,893.47"
14-Dec-2023,48.35,+0.26,+0.54%,48.36,47.43,48.67,"75,732,100","3,648,779,823.00","156,035,766,941.47"
13-Dec-2023,48.09,+0.43,+0.90%,47.63,47.61,48.59,"71,161,860","3,426,488,056.00","152,386,987,118.47"
12-Dec-2023,47.66,+1.03,+2.21%,46.05,46.05,47.66,"68,293,150","3,223,331,049.00","148,960,499,062.47"
11-Dec-2023,46.63,-0.88,-1.85%,47.49,45.83,47.50,"100,518,000","4,681,796,274.00","145,737,168,013.47"
08-Dec-2023,47.51,+0.91,+1.95%,46.60,46.58,47.74,"61,987,940","2,937,533,272.00","150,418,964,287.47"
07-Dec-2023,46.60,+1.09,+2.40%,45.70,45.61,46.63,"63,117,420","2,924,683,779.00","147,481,431,015.47"
06-Dec-2023,45.50,-1.06,-2.28%,47.21,45.42,47.38,"68,084,550","3,140,514,061.00","144,556,747,236.47"
05-Dec-2023,46.57,+1.06,+2.32%,45.47,45.28,46.60,"61,940,400","2,862,221,534.00","147,697,261,297.47"
04-Dec-2023,45.51,-1.26,-2.68%,46.05,45.01,46.06,"79,270,580","3,605,725,593.00","144,835,039,763.47"
01-Dec-2023,46.77,-0.01,-0.01%,46.50,46.19,47.20,"69,424,810","3,244,945,591.00","148,440,765,356.47"
30-Nov-2023,46.77,-1.37,-2.85%,48.02,46.42,48.11,"139,375,580","6,534,319,646.00","151,685,710,947.47"
29-Nov-2023,48.14,+0.32,+0.67%,48.39,47.86,48.76,"62,872,450","3,032,520,801.00","158,220,030,593.47"
28-Nov-2023,47.82,-0.42,-0.87%,48.24,47.47,48.32,"65,719,270","3,143,374,638.00","155,187,509,792.47"
27-Nov-2023,48.24,+0.47,+0.98%,47.80,47.66,48.53,"70,260,040","3,385,053,826.00","158,330,884,430.47"
24-Nov-2023,47.78,-0.94,-1.93%,48.50,47.75,48.92,"49,698,780","2,390,841,293.00","154,945,830,604.47"
22-Nov-2023,48.72,-1.23,-2.46%,49.87,47.77,50.33,"133,004,950","6,499,458,594.00","157,336,671,897.47"
21-Nov-2023,49.94,-0.46,-0.92%,50.13,49.23,50.52,"96,918,970","4,824,080,375.00","163,836,130,491.47"
20-Nov-2023,50.41,+1.11,+2.25%,49.32,49.18,50.55,"77,429,140","3,873,933,580.00","168,660,210,866.47"
17-Nov-2023,49.30,-0.18,-0.37%,49.52,49.01,49.71,"58,559,630","2,890,875,829.00","164,786,277,286.47"
16-Nov-2023,49.48,+0.59,+1.21%,48.68,48.33,49.52,"62,344,280","3,058,349,994.00","167,677,153,115.47"
15-Nov-2023,48.89,-0.77,-1.55%,49.93,48.20,49.95,"81,832,040","4,012,121,051.00","164,618,803,121.47"
14-Nov-2023,49.66,+1.04,+2.13%,49.67,49.05,49.83,"76,505,720","3,791,394,648.00","168,630,924,172.47"
13-Nov-2023,48.62,+0.28,+0.59%,48.35,48.10,49.12,"72,382,160","3,523,884,679.00","164,839,529,524.47"
10-Nov-2023,48.34,+1.39,+2.95%,47.50,47.29,48.47,"80,190,840","3,851,869,412.00","161,315,644,845.47"
09-Nov-2023,46.95,+0.38,+0.81%,47.46,46.75,48.23,"100,213,540","4,749,767,645.00","157,463,775,433.47"
08-Nov-2023,46.57,+0.62,+1.35%,46.09,45.97,46.86,"63,178,960","2,935,147,008.00","152,714,007,788.47"
07-Nov-2023,45.96,+0.20,+0.45%,45.73,45.16,46.22,"69,795,640","3,202,825,586.00","149,778,860,780.47"
06-Nov-2023,45.75,+0.75,+1.66%,45.30,44.90,45.93,"65,243,400","2,971,571,847.00","146,576,035,194.47"
03-Nov-2023,45.01,+1.50,+3.45%,44.00,43.73,45.31,"74,069,890","3,309,846,777.00","143,604,463,347.47"
02-Nov-2023,43.51,+1.18,+2.79%,43.37,42.90,43.88,"73,002,310","3,167,833,456.00","140,294,616,570.47"
01-Nov-2023,42.33,+1.55,+3.79%,40.89,40.89,42.38,"82,804,720","3,467,109,554.00","137,126,783,114.47"
31-Oct-2023,40.78,-0.38,-0.93%,40.44,39.24,40.87,"87,239,880","3,511,066,566.00","133,659,673,560.47"
30-Oct-2023,41.16,+0.66,+1.63%,41.05,40.48,41.76,"62,957,610","2,587,724,550.00","137,170,740,126.47"
27-Oct-2023,40.50,+0.17,+0.43%,41.13,40.02,41.21,"69,353,080","2,814,638,891.00","134,583,015,576.47"
26-Oct-2023,40.33,-1.45,-3.48%,41.86,39.89,42.25,"99,393,820","4,043,501,332.00","131,768,376,685.47"
25-Oct-2023,41.78,-1.88,-4.31%,43.41,41.56,43.65,"78,079,120","3,305,655,031.00","135,811,878,017.47"
24-Oct-2023,43.66,+0.69,+1.60%,43.07,42.70,43.70,"70,798,390","3,064,824,991.00","139,117,533,048.47"
23-Oct-2023,42.98,+1.59,+3.84%,41.23,40.95,43.25,"81,493,030","3,462,503,330.00","136,052,708,057.47"
20-Oct-2023,41.39,-0.71,-1.70%,41.89,41.08,42.47,"84,982,720","3,536,563,913.00","132,590,204,727.47"
19-Oct-2023,42.10,-0.09,-0.23%,42.80,41.88,43.29,"93,381,280","3,969,709,690.00","136,126,768,640.47"
18-Oct-2023,42.20,-1.74,-3.96%,42.55,41.83,43.21,"110,892,150","4,700,222,617.00","140,096,478,330.47"
17-Oct-2023,43.94,-2.16,-4.68%,44.00,42.48,44.75,"145,088,320","6,367,065,735.00","144,796,700,947.47"
