Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,169.84,+0.45,+0.27%,169.34,169.17,170.05,"1,680,645","285,315,581.00","24,145,420,846.64"
28-Dec-2023,169.39,-0.01,-0.01%,169.40,168.70,169.53,"1,315,802","222,787,772.00","23,860,105,265.64"
27-Dec-2023,169.40,+0.54,+0.32%,168.90,168.36,169.49,"1,652,722","279,815,257.00","24,082,893,037.64"
26-Dec-2023,168.86,+1.18,+0.70%,167.68,167.30,169.41,"973,829","164,292,177.00","23,803,077,780.64"
22-Dec-2023,167.68,+0.71,+0.43%,166.97,166.89,168.17,"1,438,550","241,181,844.00","23,638,785,603.64"
21-Dec-2023,166.97,+1.28,+0.77%,166.50,165.39,167.09,"2,214,725","369,227,357.00","23,397,603,759.64"
20-Dec-2023,165.69,-2.26,-1.35%,166.51,165.67,167.45,"2,455,098","407,600,481.00","23,028,376,402.64"
19-Dec-2023,167.95,-0.96,-0.57%,168.00,167.38,168.75,"2,147,979","360,819,192.00","23,435,976,883.64"
18-Dec-2023,168.91,+1.91,+1.14%,168.37,167.43,170.24,"2,172,114","367,068,517.00","23,796,796,075.64"
15-Dec-2023,167.00,-1.25,-0.74%,167.54,166.45,168.49,"7,975,063","1,333,602,168.00","23,429,727,558.64"
14-Dec-2023,168.25,-3.76,-2.19%,171.65,167.94,171.96,"2,612,143","441,516,010.00","24,763,329,726.64"
13-Dec-2023,172.01,+3.54,+2.10%,168.54,168.16,172.04,"1,963,027","335,837,010.00","25,204,845,736.64"
12-Dec-2023,168.47,+0.65,+0.39%,169.20,167.73,169.20,"1,996,940","336,313,338.00","24,869,008,726.64"
11-Dec-2023,167.82,+2.14,+1.29%,167.44,166.46,168.13,"3,018,117","506,050,619.00","24,532,695,388.64"
08-Dec-2023,165.68,-1.78,-1.06%,167.04,165.27,167.12,"2,159,759","358,168,865.00","24,026,644,769.64"
07-Dec-2023,167.46,-0.05,-0.03%,168.00,166.70,168.27,"2,036,617","341,207,095.00","24,384,813,634.64"
06-Dec-2023,167.51,-0.43,-0.26%,167.98,166.73,168.32,"1,947,151","326,100,862.00","24,726,020,729.64"
05-Dec-2023,167.94,-1.20,-0.71%,169.15,167.71,169.57,"2,202,940","370,696,722.00","25,052,121,591.64"
04-Dec-2023,169.14,+0.45,+0.27%,168.40,168.19,169.87,"2,211,028","373,786,424.00","25,422,818,313.64"
01-Dec-2023,168.69,+0.40,+0.24%,168.23,167.38,168.85,"1,890,640","318,526,125.00","25,049,031,889.64"
30-Nov-2023,168.29,+1.13,+0.68%,166.11,164.82,168.35,"4,314,486","724,410,131.00","24,730,505,764.64"
29-Nov-2023,167.16,-1.70,-1.01%,169.10,166.66,169.12,"2,408,406","403,016,990.00","24,006,095,633.64"
28-Nov-2023,168.86,+0.54,+0.32%,168.38,168.10,169.76,"2,275,320","384,417,922.00","24,409,112,623.64"
27-Nov-2023,168.32,-1.05,-0.62%,169.37,168.09,169.59,"1,856,038","312,652,976.00","24,024,694,701.64"
24-Nov-2023,169.37,+0.15,+0.09%,168.95,168.95,170.00,"730,114","123,631,865.00","24,337,347,677.64"
22-Nov-2023,169.22,+1.42,+0.85%,168.32,168.30,169.57,"1,306,474","220,890,895.00","24,213,715,812.64"
21-Nov-2023,167.80,+1.28,+0.77%,167.11,165.95,167.85,"1,503,802","251,957,501.00","23,992,824,917.64"
20-Nov-2023,166.52,-0.24,-0.14%,166.00,165.73,166.76,"2,106,108","350,539,805.00","23,740,867,416.64"
17-Nov-2023,166.76,-0.95,-0.57%,168.25,165.78,168.25,"2,186,742","364,963,569.00","24,091,407,221.64"
16-Nov-2023,167.71,+0.46,+0.28%,168.39,166.40,170.00,"2,117,670","355,042,728.00","24,456,370,790.64"
15-Nov-2023,167.25,-0.86,-0.51%,168.70,166.29,168.72,"2,310,810","386,293,124.00","24,101,328,062.64"
14-Nov-2023,168.11,+0.34,+0.20%,167.95,166.90,168.43,"2,562,208","430,318,842.00","24,487,621,186.64"
13-Nov-2023,167.77,+0.85,+0.51%,167.00,166.50,168.76,"2,023,125","339,617,946.00","24,057,302,344.64"
10-Nov-2023,166.92,+0.76,+0.46%,167.31,164.88,167.70,"2,264,543","377,368,562.00","23,717,684,398.64"
09-Nov-2023,166.16,-1.23,-0.73%,167.58,165.82,167.75,"2,016,049","335,368,896.00","23,340,315,836.64"
08-Nov-2023,167.39,+0.21,+0.13%,168.17,166.68,168.31,"2,141,015","358,503,368.00","23,675,684,732.64"
07-Nov-2023,167.18,+0.48,+0.29%,166.66,166.13,167.71,"1,669,499","279,133,655.00","23,317,181,364.64"
06-Nov-2023,166.70,-0.09,-0.05%,165.46,165.29,167.50,"1,797,711","299,724,980.00","23,038,047,709.64"
03-Nov-2023,166.79,-0.04,-0.02%,168.68,166.69,168.75,"1,561,066","261,037,224.00","23,337,772,689.64"
02-Nov-2023,166.83,+1.96,+1.19%,164.74,164.71,167.14,"2,348,479","391,278,442.00","23,598,809,913.64"
01-Nov-2023,164.87,+1.59,+0.97%,163.73,162.78,165.43,"2,714,258","447,137,478.00","23,207,531,471.64"
31-Oct-2023,163.28,+1.00,+0.62%,162.95,161.69,163.35,"2,564,654","418,143,461.00","22,760,393,993.64"
30-Oct-2023,162.28,+2.66,+1.67%,161.22,160.76,162.58,"1,825,381","295,726,754.00","22,342,250,532.64"
27-Oct-2023,159.62,-1.79,-1.11%,162.02,158.90,162.06,"2,295,412","367,244,095.00","22,046,523,778.64"
26-Oct-2023,161.41,-0.94,-0.58%,162.68,161.30,163.32,"2,585,042","418,243,031.00","22,413,767,873.64"
25-Oct-2023,162.35,+0.16,+0.10%,162.05,161.48,163.50,"1,873,550","304,342,872.00","22,832,010,904.64"
24-Oct-2023,162.19,+2.11,+1.32%,160.10,159.85,162.85,"2,043,330","331,182,304.00","22,527,668,032.64"
23-Oct-2023,160.08,+0.08,+0.05%,159.60,159.09,161.60,"1,864,052","298,907,323.00","22,196,485,728.64"
20-Oct-2023,160.00,-0.56,-0.35%,161.37,159.72,162.21,"2,502,230","401,676,471.00","21,897,578,405.64"
19-Oct-2023,160.56,-1.47,-0.91%,161.96,160.41,162.72,"2,309,787","372,008,651.00","22,299,254,876.64"
18-Oct-2023,162.03,+1.66,+1.04%,161.02,160.87,163.37,"2,386,687","387,149,675.00","22,671,263,527.64"
17-Oct-2023,160.37,-0.71,-0.44%,160.00,159.16,161.56,"2,214,706","355,265,549.00","22,284,113,852.64"
16-Oct-2023,161.08,+1.08,+0.68%,161.00,159.85,161.90,"2,167,797","349,323,446.00","22,639,379,401.64"
13-Oct-2023,160.00,+1.92,+1.21%,158.62,157.97,160.20,"2,517,247","401,726,175.00","22,290,055,955.64"
