Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,146.54,+0.81,+0.56%,146.00,145.76,146.96,"2,107,726","308,773,092.00","17,558,640,143.36"
28-Dec-2023,145.73,-0.33,-0.23%,146.00,145.05,146.01,"1,421,813","207,093,323.00","17,249,867,051.36"
27-Dec-2023,146.06,+0.12,+0.08%,145.65,145.37,146.31,"1,816,322","265,199,101.00","17,456,960,374.36"
26-Dec-2023,145.94,+0.66,+0.45%,145.03,145.00,146.16,"984,918","143,644,418.00","17,191,761,273.36"
22-Dec-2023,145.28,+1.02,+0.71%,144.48,144.33,145.63,"1,434,814","208,302,022.00","17,048,116,855.36"
21-Dec-2023,144.26,+0.35,+0.24%,144.58,143.14,144.76,"1,936,865","279,260,055.00","16,839,814,833.36"
20-Dec-2023,143.91,-2.26,-1.55%,145.57,143.84,146.04,"2,525,722","364,460,738.00","16,560,554,778.36"
19-Dec-2023,146.17,0.00,0.00%,145.77,145.41,146.32,"1,809,270","264,296,150.00","16,925,015,516.36"
18-Dec-2023,146.17,+2.21,+1.54%,144.86,144.78,147.49,"2,714,070","396,548,517.00","16,660,719,366.36"
15-Dec-2023,143.96,-0.70,-0.48%,142.50,142.50,144.25,"7,400,470","1,061,264,396.00","16,264,170,849.36"
14-Dec-2023,144.66,-3.92,-2.64%,148.14,144.38,148.14,"3,014,250","437,873,412.00","17,325,435,245.36"
13-Dec-2023,148.58,+2.64,+1.81%,145.63,145.48,148.65,"3,023,584","448,012,216.00","17,763,308,657.36"
12-Dec-2023,145.94,+0.12,+0.08%,146.00,145.09,146.21,"1,937,116","282,588,940.00","17,315,296,441.36"
11-Dec-2023,145.82,+0.67,+0.46%,145.70,144.65,145.87,"3,206,161","466,718,969.00","17,032,707,501.36"
08-Dec-2023,145.15,-1.35,-0.92%,145.80,144.52,146.23,"2,233,922","324,291,090.00","16,565,988,532.36"
07-Dec-2023,146.50,-0.15,-0.10%,146.67,146.03,147.10,"2,248,605","329,489,049.00","16,890,279,622.36"
06-Dec-2023,146.65,-0.11,-0.07%,146.93,145.64,147.13,"2,300,096","337,056,904.00","17,219,768,671.36"
05-Dec-2023,146.76,-5.30,-3.49%,152.14,146.18,152.57,"3,394,652","499,987,832.00","17,556,825,575.36"
04-Dec-2023,152.06,-0.60,-0.39%,151.77,151.69,152.52,"2,506,234","381,025,011.00","18,056,813,407.36"
01-Dec-2023,152.66,-0.86,-0.56%,153.22,152.26,153.49,"1,863,775","284,627,517.00","18,437,838,418.36"
30-Nov-2023,153.52,+2.39,+1.58%,150.91,150.10,153.63,"5,028,546","770,684,083.00","18,722,465,935.36"
29-Nov-2023,151.13,-1.16,-0.76%,152.10,150.99,152.10,"2,118,890","320,428,785.00","17,951,781,852.36"
28-Nov-2023,152.29,+1.05,+0.69%,151.49,151.31,152.76,"1,558,381","237,239,958.00","18,272,210,637.36"
27-Nov-2023,151.24,-0.14,-0.09%,151.50,150.77,151.60,"2,260,151","341,866,739.00","18,034,970,679.36"
24-Nov-2023,151.38,+0.36,+0.24%,151.18,151.04,151.70,"725,385","109,760,241.00","18,376,837,418.36"
22-Nov-2023,151.02,+1.41,+0.94%,150.18,150.18,151.46,"1,560,700","235,598,422.00","18,267,077,177.36"
21-Nov-2023,149.61,-0.66,-0.44%,149.72,148.83,150.00,"2,163,816","323,660,323.00","18,031,478,755.36"
20-Nov-2023,150.27,-0.80,-0.53%,150.21,149.67,151.03,"2,210,052","332,100,957.00","18,355,139,078.36"
17-Nov-2023,151.07,-1.76,-1.15%,152.84,150.89,152.84,"2,856,478","432,560,414.00","18,687,240,035.36"
