Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,133.30,-1.89,-1.40%,134.08,133.09,135.01,"1,346,234","179,622,223.00","6,433,711,382.59"
28-Dec-2023,135.19,+1.01,+0.75%,134.10,133.55,135.21,"687,266","92,666,822.00","6,613,333,605.59"
27-Dec-2023,134.18,+0.72,+0.54%,133.86,132.90,134.19,"1,327,691","177,940,645.00","6,520,666,783.59"
26-Dec-2023,133.46,+1.06,+0.80%,132.46,132.46,133.88,"382,023","50,950,251.00","6,342,726,138.59"
22-Dec-2023,132.40,+1.44,+1.10%,131.07,130.97,133.19,"733,590","97,130,391.00","6,291,775,887.59"
21-Dec-2023,130.96,+0.49,+0.38%,132.25,129.28,132.25,"1,063,112","139,018,828.00","6,194,645,496.59"
20-Dec-2023,130.47,-3.28,-2.45%,134.01,130.39,134.48,"1,477,618","193,531,531.00","6,055,626,668.59"
19-Dec-2023,133.75,+1.07,+0.81%,133.90,133.30,134.49,"784,912","105,019,735.00","6,249,158,199.59"
18-Dec-2023,132.68,-1.58,-1.18%,134.58,132.42,134.58,"1,339,575","178,131,630.00","6,144,138,464.59"
15-Dec-2023,134.26,-2.86,-2.09%,136.24,133.42,136.55,"4,534,707","611,599,648.00","6,322,270,094.59"
14-Dec-2023,137.12,+7.88,+6.10%,132.46,132.40,137.52,"2,734,121","372,589,396.00","6,933,869,742.59"
13-Dec-2023,129.24,+7.17,+5.87%,122.36,122.13,129.39,"1,960,008","251,486,873.00","6,561,280,346.59"
12-Dec-2023,122.07,+0.07,+0.06%,121.63,121.34,123.02,"1,413,432","172,590,817.00","6,309,793,473.59"
11-Dec-2023,122.00,+2.15,+1.79%,119.44,119.44,122.52,"1,603,589","195,323,099.00","6,137,202,656.59"
08-Dec-2023,119.85,+0.90,+0.76%,118.57,118.15,119.89,"1,913,797","229,144,496.00","5,941,879,557.59"
07-Dec-2023,118.95,-0.10,-0.08%,119.19,118.46,119.69,"1,234,498","146,921,937.00","5,712,735,061.59"
06-Dec-2023,119.05,+0.40,+0.34%,119.59,118.52,119.99,"1,090,702","129,910,535.00","5,859,656,998.59"
05-Dec-2023,118.65,-1.68,-1.40%,119.00,117.79,119.26,"1,540,865","182,776,144.00","5,729,746,463.59"
04-Dec-2023,120.33,+2.07,+1.75%,117.51,117.49,120.38,"2,173,898","261,075,067.00","5,912,522,607.59"
01-Dec-2023,118.26,+3.33,+2.90%,115.05,114.92,118.46,"1,474,368","173,777,348.00","5,651,447,540.59"
30-Nov-2023,114.93,+1.89,+1.67%,112.93,112.30,115.22,"3,775,366","433,556,286.00","5,477,670,192.59"
29-Nov-2023,113.04,+0.93,+0.83%,113.26,112.99,113.88,"888,531","100,606,090.00","5,044,113,906.59"
28-Nov-2023,112.11,+0.24,+0.21%,110.94,110.35,112.14,"962,018","107,572,889.00","4,943,507,816.59"
27-Nov-2023,111.87,-0.13,-0.12%,111.79,111.28,112.50,"853,497","95,517,483.00","4,835,934,927.59"
24-Nov-2023,112.00,+0.46,+0.41%,111.18,110.83,112.02,"357,998","40,000,607.00","4,931,452,410.59"
22-Nov-2023,111.54,+0.93,+0.84%,112.17,110.79,112.17,"712,343","79,458,332.00","4,891,451,803.59"
21-Nov-2023,110.61,-0.39,-0.35%,110.21,110.15,111.00,"869,560","96,167,719.00","4,811,993,471.59"
20-Nov-2023,111.00,+0.93,+0.84%,109.85,108.76,111.08,"1,004,022","111,249,151.00","4,908,161,190.59"
17-Nov-2023,110.07,-0.20,-0.18%,111.37,109.55,111.37,"1,189,642","131,168,603.00","4,796,912,039.59"
16-Nov-2023,110.27,-0.24,-0.22%,110.72,110.03,111.17,"1,258,087","138,841,055.00","4,928,080,642.59"
15-Nov-2023,110.51,+1.18,+1.08%,109.24,109.21,111.06,"1,574,174","173,907,842.00","5,066,921,697.59"
14-Nov-2023,109.33,+6.85,+6.68%,106.00,106.00,109.95,"1,472,471","160,661,287.00","4,893,013,855.59"
13-Nov-2023,102.48,-2.07,-1.98%,103.38,102.18,103.63,"693,167","71,112,430.00","4,732,352,568.59"
10-Nov-2023,104.55,+1.27,+1.23%,104.41,102.61,104.75,"785,398","82,005,820.00","4,803,464,998.59"
09-Nov-2023,103.28,-1.85,-1.76%,105.67,103.17,105.67,"1,166,470","120,839,435.00","4,721,459,178.59"
08-Nov-2023,105.13,+0.90,+0.86%,104.62,104.55,105.48,"928,746","97,614,812.00","4,842,298,613.59"
07-Nov-2023,104.23,-0.70,-0.67%,105.00,103.49,105.01,"853,114","88,887,870.00","4,744,683,801.59"
06-Nov-2023,104.93,-1.62,-1.52%,106.36,103.85,106.94,"936,791","98,261,282.00","4,833,571,671.59"
03-Nov-2023,106.55,+1.83,+1.75%,107.10,106.46,108.36,"1,185,539","126,854,951.00","4,931,832,953.59"
02-Nov-2023,104.72,+3.12,+3.07%,103.97,103.80,105.46,"1,535,937","160,850,626.00","4,804,978,002.59"
01-Nov-2023,101.60,+0.85,+0.84%,101.06,100.36,101.86,"1,006,498","102,137,329.00","4,644,127,376.59"
31-Oct-2023,100.75,+1.87,+1.89%,99.79,98.82,100.84,"1,678,860","168,876,669.00","4,541,990,047.59"
30-Oct-2023,98.88,+1.56,+1.60%,98.19,96.99,99.07,"997,475","98,383,089.00","4,373,113,378.59"
27-Oct-2023,97.32,-2.31,-2.32%,99.21,96.64,99.22,"1,310,323","127,768,535.00","4,274,730,289.59"
26-Oct-2023,99.63,+0.89,+0.90%,98.82,98.72,100.47,"1,025,842","102,235,816.00","4,402,498,824.59"
25-Oct-2023,98.74,-2.96,-2.91%,100.69,98.26,100.72,"1,283,060","126,875,736.00","4,300,263,008.59"
24-Oct-2023,101.70,+0.89,+0.88%,101.20,100.86,102.20,"851,041","86,529,547.00","4,427,138,744.59"
23-Oct-2023,100.81,-1.62,-1.58%,101.38,100.57,102.60,"982,154","99,300,430.00","4,340,609,197.59"
20-Oct-2023,102.43,-0.15,-0.15%,103.59,102.00,104.87,"1,786,936","183,842,783.00","4,439,909,627.59"
19-Oct-2023,102.58,-1.80,-1.72%,103.47,102.07,104.51,"1,602,239","164,606,625.00","4,623,752,410.59"
18-Oct-2023,104.38,-3.75,-3.47%,107.73,104.21,108.09,"1,138,021","119,373,750.00","4,788,359,035.59"
