Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,305.00,-2.80,-0.91%,306.90,304.80,307.64,"249,107","76,040,484.00","1,593,739,388.87"
28-Dec-2023,307.80,+2.52,+0.83%,306.01,305.29,308.31,"192,709","59,268,353.00","1,669,779,872.87"
27-Dec-2023,305.28,+3.40,+1.13%,302.13,302.13,305.28,"162,412","49,516,706.00","1,610,511,519.87"
26-Dec-2023,301.88,+3.95,+1.33%,298.76,298.71,303.03,"109,603","33,056,757.00","1,560,994,813.87"
22-Dec-2023,297.93,+0.79,+0.27%,298.52,296.48,300.94,"116,528","34,735,615.00","1,527,938,056.87"
21-Dec-2023,297.14,+4.15,+1.42%,295.88,293.57,297.26,"187,697","55,635,124.00","1,493,202,441.87"
20-Dec-2023,292.99,-1.87,-0.63%,295.26,292.87,298.45,"303,786","89,286,411.00","1,437,567,317.87"
19-Dec-2023,294.86,+5.86,+2.03%,290.52,289.63,296.10,"298,320","87,908,804.00","1,526,853,728.87"
18-Dec-2023,289.00,-1.06,-0.37%,290.11,287.49,290.37,"223,117","64,525,333.00","1,438,944,924.87"
15-Dec-2023,290.06,-1.04,-0.36%,290.63,286.74,291.03,"1,087,546","315,440,111.00","1,503,470,257.87"
14-Dec-2023,291.10,+8.55,+3.03%,287.46,287.18,291.92,"317,625","92,324,782.00","1,818,910,368.87"
13-Dec-2023,282.55,+9.55,+3.50%,273.71,272.96,284.41,"465,615","131,125,568.00","1,726,585,586.87"
12-Dec-2023,273.00,-3.83,-1.38%,272.63,271.82,273.96,"280,302","76,520,622.00","1,595,460,018.87"
11-Dec-2023,276.83,+3.02,+1.10%,273.00,272.67,277.11,"207,949","57,436,188.00","1,671,980,640.87"
08-Dec-2023,273.81,+0.72,+0.26%,272.70,271.72,275.26,"264,793","72,443,224.00","1,614,544,452.87"
07-Dec-2023,273.09,+3.43,+1.27%,270.00,269.44,274.56,"315,598","86,172,417.00","1,542,101,228.87"
06-Dec-2023,269.66,+0.83,+0.31%,269.02,267.10,269.89,"371,072","99,975,456.00","1,455,928,811.87"
05-Dec-2023,268.83,-0.47,-0.17%,268.56,267.64,269.76,"328,600","88,343,372.00","1,355,953,355.87"
04-Dec-2023,269.30,+3.30,+1.24%,265.63,265.00,269.50,"399,339","107,345,733.00","1,444,296,727.87"
