Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,84.14,-0.03,-0.04%,84.21,83.79,84.41,"1,441,104","121,249,136.00","-5,349,100,974.72"
28-Dec-2023,84.17,0.00,0.00%,84.17,84.09,84.60,"1,355,112","114,138,921.00","-5,227,851,838.72"
27-Dec-2023,84.17,+0.12,+0.14%,83.90,83.71,84.44,"1,268,816","106,726,583.00","-5,341,990,759.72"
26-Dec-2023,84.05,+0.82,+0.99%,83.15,83.09,84.30,"1,010,396","84,819,774.00","-5,448,717,342.72"
22-Dec-2023,83.23,+1.22,+1.49%,82.25,82.10,83.85,"3,606,586","300,324,294.00","-5,533,537,116.72"
21-Dec-2023,82.01,+0.37,+0.45%,82.19,81.38,82.98,"2,390,214","196,104,308.00","-5,833,861,410.72"
20-Dec-2023,81.64,-0.98,-1.19%,82.20,81.56,82.89,"2,121,893","173,772,456.00","-6,029,965,718.72"
19-Dec-2023,82.62,+1.93,+2.39%,80.99,80.99,82.66,"2,442,093","201,379,153.00","-5,856,193,262.72"
18-Dec-2023,80.69,+0.41,+0.51%,80.50,80.44,81.48,"2,349,421","189,822,859.00","-6,057,572,415.72"
15-Dec-2023,80.28,-1.58,-1.93%,81.48,79.68,81.96,"9,137,833","735,205,002.00","-6,247,395,274.72"
14-Dec-2023,81.86,-1.36,-1.63%,83.87,81.41,84.08,"4,103,953","336,753,980.00","-5,512,190,272.72"
13-Dec-2023,83.22,+2.18,+2.69%,81.19,80.53,83.39,"2,187,109","181,170,425.00","-5,175,436,292.72"
12-Dec-2023,81.04,-0.85,-1.04%,81.21,80.92,81.57,"1,605,468","130,259,420.00","-5,356,606,717.72"
11-Dec-2023,81.89,+0.57,+0.70%,81.33,81.33,82.28,"2,086,274","170,820,517.00","-5,226,347,297.72"
08-Dec-2023,81.32,-0.18,-0.22%,81.69,81.16,82.09,"1,656,907","134,941,911.00","-5,397,167,814.72"
07-Dec-2023,81.50,-1.21,-1.46%,83.00,81.43,83.13,"1,529,727","125,031,543.00","-5,262,225,903.72"
06-Dec-2023,82.71,+0.02,+0.02%,82.74,82.34,83.43,"1,849,229","153,053,850.00","-5,137,194,360.72"
05-Dec-2023,82.69,-0.44,-0.53%,82.97,82.66,83.35,"1,700,540","140,921,903.00","-5,290,248,210.72"
04-Dec-2023,83.13,+0.81,+0.98%,82.07,81.95,83.19,"1,332,638","110,539,866.00","-5,149,326,307.72"
01-Dec-2023,82.32,+0.84,+1.03%,81.52,81.41,82.40,"1,539,449","126,550,611.00","-5,259,866,173.72"
30-Nov-2023,81.48,+0.53,+0.65%,81.14,81.06,81.91,"2,958,950","241,025,217.00","-5,386,416,784.72"
29-Nov-2023,80.95,+0.76,+0.95%,80.19,80.19,81.33,"1,708,438","138,303,234.00","-5,627,442,001.72"
28-Nov-2023,80.19,+0.72,+0.91%,79.99,79.60,80.78,"2,012,497","161,516,948.00","-5,765,745,235.72"
27-Nov-2023,79.47,-0.51,-0.64%,79.76,79.14,79.99,"2,610,872","207,503,155.00","-5,927,262,183.72"
24-Nov-2023,79.98,+0.16,+0.20%,79.82,79.44,80.09,"648,260","51,808,565.00","-5,719,759,028.72"
22-Nov-2023,79.82,+1.67,+2.14%,78.01,78.00,79.87,"1,862,844","147,967,603.00","-5,771,567,593.72"
21-Nov-2023,78.15,-1.02,-1.29%,78.91,78.12,79.08,"1,856,745","145,517,278.00","-5,919,535,196.72"
20-Nov-2023,79.17,-0.51,-0.64%,79.56,78.99,79.82,"2,397,962","190,094,795.00","-5,774,017,918.72"
17-Nov-2023,79.68,-0.55,-0.69%,80.68,79.42,80.68,"2,005,475","160,195,805.00","-5,583,923,123.72"
16-Nov-2023,80.23,-0.40,-0.50%,80.47,79.93,80.81,"2,129,029","170,979,545.00","-5,423,727,318.72"
15-Nov-2023,80.63,-0.06,-0.07%,80.51,79.79,81.24,"2,630,025","212,054,128.00","-5,252,747,773.72"
14-Nov-2023,80.69,-1.34,-1.63%,82.06,80.61,82.23,"4,330,684","350,245,205.00","-5,040,693,645.72"
13-Nov-2023,82.03,-0.19,-0.23%,82.26,81.63,82.81,"2,944,256","241,906,816.00","-4,690,448,440.72"
10-Nov-2023,82.22,-0.21,-0.25%,82.76,81.79,82.86,"2,638,817","216,992,086.00","-4,448,541,624.72"
