Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,85.18,-1.25,-1.44%,85.10,83.74,85.61,"268,785","22,861,161.00","713,577,895.88"
28-Dec-2023,86.43,-0.86,-0.99%,86.86,86.43,87.46,"220,752","19,129,762.00","736,439,056.88"
27-Dec-2023,87.29,+0.89,+1.03%,86.71,86.71,87.43,"419,576","36,608,207.00","755,568,818.88"
26-Dec-2023,86.40,-0.30,-0.34%,87.05,86.22,87.16,"192,937","16,691,490.00","718,960,611.88"
22-Dec-2023,86.70,+1.59,+1.87%,86.07,85.56,86.85,"235,533","20,380,860.00","735,652,101.88"
21-Dec-2023,85.10,+2.66,+3.23%,84.01,83.46,85.28,"287,693","24,404,974.00","715,271,241.88"
20-Dec-2023,82.44,-1.64,-1.95%,83.24,82.38,83.94,"466,320","38,549,777.00","690,866,267.88"
19-Dec-2023,84.09,+2.12,+2.58%,83.43,83.19,84.28,"286,114","24,017,466.00","729,416,044.88"
18-Dec-2023,81.97,+0.53,+0.66%,81.80,81.80,82.92,"307,327","25,218,347.00","705,398,578.88"
15-Dec-2023,81.43,+0.56,+0.70%,80.27,79.69,81.78,"1,245,540","101,327,715.00","680,180,231.88"
14-Dec-2023,80.87,+4.32,+5.64%,78.18,78.18,80.93,"525,606","42,342,081.00","578,852,516.88"
13-Dec-2023,76.55,+2.49,+3.37%,73.91,73.04,76.92,"323,662","24,585,200.00","536,510,435.88"
12-Dec-2023,74.06,-0.30,-0.40%,74.09,73.62,74.41,"301,166","22,297,251.00","511,925,235.88"
11-Dec-2023,74.36,-0.32,-0.42%,73.28,72.51,74.44,"253,040","18,751,597.00","534,222,486.88"
08-Dec-2023,74.67,+3.74,+5.27%,71.02,71.02,75.28,"312,370","23,279,487.00","552,974,083.88"
07-Dec-2023,70.93,+0.40,+0.56%,70.96,70.20,71.34,"232,948","16,504,826.00","529,694,596.88"
06-Dec-2023,70.54,-0.32,-0.45%,71.55,70.27,71.86,"190,309","13,454,315.00","513,189,770.88"
05-Dec-2023,70.85,-2.08,-2.85%,72.16,70.76,72.16,"190,737","13,543,740.00","526,644,085.88"
04-Dec-2023,72.93,-3.02,-3.97%,73.76,72.58,74.46,"256,227","18,728,112.00","540,187,825.88"
01-Dec-2023,75.95,+4.76,+6.69%,72.01,71.87,75.99,"473,350","35,741,756.00","558,915,937.88"
30-Nov-2023,71.19,+0.16,+0.22%,70.96,70.58,71.37,"725,291","51,602,269.00","523,174,181.88"
29-Nov-2023,71.03,-0.07,-0.10%,71.51,70.63,71.59,"247,155","17,578,540.00","471,571,912.88"
28-Nov-2023,71.10,+0.82,+1.17%,70.28,69.96,71.14,"380,837","26,963,783.00","489,150,452.88"
27-Nov-2023,70.28,-3.17,-4.31%,71.51,70.21,72.25,"413,829","29,254,549.00","462,186,669.88"
24-Nov-2023,73.45,-1.01,-1.36%,74.22,73.19,74.22,"143,523","10,562,125.00","491,441,218.88"
22-Nov-2023,74.46,-0.83,-1.10%,75.02,73.90,75.64,"249,325","18,556,574.00","502,003,343.88"
21-Nov-2023,75.29,+1.23,+1.66%,74.44,74.44,76.42,"406,529","30,634,304.00","520,559,917.88"
20-Nov-2023,74.06,+0.08,+0.11%,74.23,73.61,74.89,"318,358","23,626,464.00","489,925,613.88"
17-Nov-2023,73.98,-0.12,-0.16%,74.65,73.92,74.83,"314,125","23,298,305.00","466,299,149.88"
