Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,311.90,-0.94,-0.30%,312.90,311.55,314.11,"266,963","83,315,611.00","3,906,835,893.18"
28-Dec-2023,312.84,-0.43,-0.14%,313.14,311.97,313.91,"205,820","64,391,777.00","3,990,151,504.18"
27-Dec-2023,313.27,+0.60,+0.19%,311.94,311.94,313.41,"220,285","68,957,615.00","4,054,543,281.18"
26-Dec-2023,312.67,+1.40,+0.45%,311.45,310.37,314.03,"156,597","48,948,677.00","3,985,585,666.18"
22-Dec-2023,311.27,+4.34,+1.41%,307.71,306.41,311.32,"383,551","119,149,520.00","3,936,636,989.18"
21-Dec-2023,306.93,+2.72,+0.89%,307.17,305.15,307.80,"303,771","93,215,393.00","3,817,487,469.18"
20-Dec-2023,304.21,-3.00,-0.98%,307.00,303.56,307.38,"519,851","158,447,198.00","3,724,272,076.18"
19-Dec-2023,307.21,-1.16,-0.38%,309.00,306.95,310.17,"484,967","149,132,356.00","3,882,719,274.18"
18-Dec-2023,308.37,-1.40,-0.45%,308.54,306.58,308.73,"451,173","139,066,983.00","4,031,851,630.18"
15-Dec-2023,309.77,+3.00,+0.98%,305.59,305.59,311.84,"1,188,478","366,207,134.00","4,170,918,613.18"
14-Dec-2023,306.77,+3.38,+1.11%,306.26,306.26,310.15,"555,359","170,636,992.00","3,804,711,479.18"
13-Dec-2023,303.39,+8.57,+2.91%,295.66,294.95,304.05,"550,825","166,724,927.00","3,634,074,487.18"
12-Dec-2023,294.82,+3.19,+1.09%,292.65,291.18,295.34,"477,482","140,637,802.00","3,467,349,560.18"
11-Dec-2023,291.63,+1.81,+0.62%,293.00,290.17,293.02,"579,813","169,081,677.00","3,326,711,758.18"
08-Dec-2023,289.82,-1.76,-0.60%,290.92,288.46,292.11,"429,581","124,508,440.00","3,157,630,081.18"
07-Dec-2023,291.58,+4.87,+1.70%,287.52,287.32,292.77,"546,233","159,182,206.00","3,282,138,521.18"
06-Dec-2023,286.71,+3.71,+1.31%,286.09,286.06,289.40,"829,079","237,968,189.00","3,122,956,315.18"
05-Dec-2023,283.00,+1.54,+0.55%,280.84,279.64,283.26,"571,524","161,572,478.00","2,884,988,126.18"
04-Dec-2023,281.46,-0.87,-0.31%,281.12,281.03,285.03,"641,992","180,808,355.00","2,723,415,648.18"
01-Dec-2023,282.33,+3.53,+1.27%,278.18,278.16,282.55,"340,306","95,876,890.00","2,904,224,003.18"
30-Nov-2023,278.80,+5.08,+1.86%,273.41,272.50,279.12,"703,357","195,778,770.00","2,808,347,113.18"
29-Nov-2023,273.72,+0.27,+0.10%,274.60,273.24,276.07,"260,093","71,293,061.00","2,612,568,343.18"
28-Nov-2023,273.45,-1.93,-0.70%,274.59,272.94,275.11,"285,232","78,056,499.00","2,541,275,282.18"
27-Nov-2023,275.38,-0.45,-0.16%,274.88,274.65,276.46,"335,586","92,432,673.00","2,619,331,781.18"
24-Nov-2023,275.83,+1.18,+0.43%,275.11,274.98,276.69,"128,629","35,466,879.00","2,711,764,454.18"
22-Nov-2023,274.65,+1.11,+0.41%,276.79,273.66,277.32,"217,762","59,884,360.00","2,676,297,575.18"
21-Nov-2023,273.54,+0.50,+0.18%,273.25,271.11,274.60,"325,957","89,162,872.00","2,616,413,215.18"
20-Nov-2023,273.04,+2.76,+1.02%,270.28,269.65,274.37,"748,151","204,162,727.00","2,527,250,343.18"
17-Nov-2023,270.28,+0.98,+0.36%,270.38,268.29,271.29,"323,725","87,457,935.00","2,323,087,616.18"
16-Nov-2023,269.30,+4.51,+1.70%,264.54,264.54,269.84,"343,150","92,239,648.00","2,235,629,681.18"
15-Nov-2023,264.79,-1.55,-0.58%,266.34,264.70,269.05,"395,996","105,209,613.00","2,143,390,033.18"
14-Nov-2023,266.34,+12.45,+4.90%,259.05,259.05,268.69,"454,928","121,093,774.00","2,248,599,646.18"
13-Nov-2023,253.89,-1.86,-0.73%,254.91,252.82,255.59,"322,130","81,769,426.00","2,127,505,872.18"
10-Nov-2023,255.75,+3.35,+1.33%,253.24,251.69,256.36,"382,730","97,718,381.00","2,209,275,298.18"
09-Nov-2023,252.40,-3.69,-1.44%,256.39,252.20,256.39,"330,222","83,551,795.00","2,111,556,917.18"
08-Nov-2023,256.09,+4.10,+1.63%,252.63,252.63,256.62,"353,505","90,362,440.00","2,195,108,712.18"
07-Nov-2023,251.99,+1.49,+0.59%,251.00,249.65,252.68,"306,672","77,263,611.00","2,104,746,272.18"
06-Nov-2023,250.50,-0.41,-0.16%,250.39,250.05,251.99,"296,714","74,381,101.00","2,027,482,661.18"
03-Nov-2023,250.91,+5.59,+2.28%,247.04,247.04,252.60,"451,366","113,183,924.00","2,101,863,762.18"
02-Nov-2023,245.32,+6.41,+2.68%,241.49,241.49,246.91,"445,866","109,366,514.00","1,988,679,838.18"
01-Nov-2023,238.91,+0.70,+0.29%,237.70,236.16,239.13,"352,230","83,943,279.00","1,879,313,324.18"
31-Oct-2023,238.21,+2.79,+1.19%,235.91,235.91,239.20,"407,474","97,002,357.00","1,795,370,045.18"
30-Oct-2023,235.42,-0.61,-0.26%,237.86,232.13,238.98,"539,149","126,778,136.00","1,698,367,688.18"
27-Oct-2023,236.03,-1.68,-0.71%,237.32,235.02,239.85,"409,470","96,797,062.00","1,825,145,824.18"
26-Oct-2023,237.71,-0.90,-0.38%,239.96,237.47,241.04,"459,765","109,615,479.00","1,921,942,886.18"
25-Oct-2023,238.61,+3.63,+1.54%,236.07,234.52,241.18,"535,812","127,928,627.00","2,031,558,365.18"
24-Oct-2023,234.98,-3.66,-1.53%,243.41,232.42,247.56,"821,547","193,953,436.00","1,903,629,738.18"
23-Oct-2023,238.64,+0.94,+0.40%,236.34,236.34,240.74,"543,620","130,104,293.00","2,097,583,174.18"
20-Oct-2023,237.70,-1.19,-0.50%,239.22,237.63,240.52,"513,344","122,426,507.00","1,967,478,881.18"
19-Oct-2023,238.89,-3.40,-1.40%,241.00,237.09,243.32,"620,886","148,693,933.00","2,089,905,388.18"
18-Oct-2023,242.29,-10.55,-4.17%,247.86,242.00,247.91,"421,124","102,459,067.00","2,238,599,321.18"
17-Oct-2023,252.84,+0.47,+0.19%,250.04,250.04,254.56,"301,766","76,266,024.00","2,341,058,388.18"
16-Oct-2023,252.37,+5.43,+2.20%,250.63,249.10,252.71,"386,118","97,356,522.00","2,264,792,364.18"
13-Oct-2023,246.94,-2.13,-0.86%,249.06,245.89,251.08,"322,608","79,824,138.00","2,167,435,842.18"
12-Oct-2023,249.07,-6.47,-2.53%,255.36,247.35,255.36,"286,012","71,476,202.00","2,247,259,980.18"
11-Oct-2023,255.54,+2.34,+0.92%,254.46,251.29,257.38,"428,846","109,356,226.00","2,318,736,182.18"
10-Oct-2023,253.20,+1.38,+0.55%,251.20,251.20,256.23,"352,658","89,402,596.00","2,209,379,956.18"
09-Oct-2023,251.82,-3.03,-1.19%,251.86,248.27,252.68,"322,316","81,049,113.00","2,119,977,360.18"
06-Oct-2023,254.85,+1.13,+0.45%,252.18,251.34,257.38,"384,206","97,932,881.00","2,201,026,473.18"
05-Oct-2023,253.72,-2.74,-1.07%,256.41,252.70,257.65,"439,298","111,541,445.00","2,103,093,592.18"
