Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
31-Jul-2024,48.29,+0.68,+1.43%,48.13,47.95,48.57,"1,916,863","92,569,578.00","-27,087,554.00"
30-Jul-2024,47.61,-0.25,-0.52%,47.51,47.16,47.93,"2,629,682","125,050,548.00","-119,657,132.00"
29-Jul-2024,47.86,-0.97,-1.99%,48.45,47.66,48.81,"1,718,451","82,459,552.00","5,393,416.00"
26-Jul-2024,48.83,+0.60,+1.24%,48.79,48.17,49.31,"1,755,148","85,635,461.00","87,852,968.00"
25-Jul-2024,48.23,+0.20,+0.42%,47.97,47.80,48.89,"1,985,277","95,854,697.00","2,217,507.00"
24-Jul-2024,48.03,-1.02,-2.08%,49.10,47.86,49.16,"2,386,968","115,122,672.00","-93,637,190.00"
23-Jul-2024,49.05,-0.39,-0.79%,49.40,48.66,49.93,"2,140,410","105,179,660.00","21,485,482.00"
22-Jul-2024,49.44,-0.23,-0.46%,49.39,49.24,50.52,"2,795,476","138,694,940.00","126,665,142.00"
19-Jul-2024,49.67,+0.95,+1.95%,49.89,48.35,50.94,"4,410,937","219,783,118.00","265,360,082.00"
18-Jul-2024,48.72,-0.18,-0.37%,48.74,48.59,49.33,"2,501,406","122,149,360.00","45,576,964.00"
17-Jul-2024,48.90,+0.18,+0.37%,48.85,48.56,49.25,"1,920,786","93,878,427.00","167,726,324.00"
16-Jul-2024,48.72,+0.76,+1.58%,47.51,47.45,48.94,"2,248,082","109,263,798.00","73,847,897.00"
15-Jul-2024,47.96,+1.54,+3.32%,46.99,46.58,48.68,"2,583,092","123,728,381.00","-35,415,901.00"
12-Jul-2024,46.42,+0.23,+0.50%,46.76,46.17,46.76,"1,651,333","76,672,487.00","-159,144,282.00"
11-Jul-2024,46.19,+0.91,+2.01%,45.30,45.15,46.30,"1,654,254","76,132,422.00","-235,816,769.00"
10-Jul-2024,45.28,+0.08,+0.18%,45.10,44.78,45.30,"1,808,726","81,691,582.00","-311,949,191.00"
09-Jul-2024,45.20,-1.04,-2.25%,45.89,45.17,45.93,"1,580,979","71,711,588.00","-393,640,773.00"
08-Jul-2024,46.24,+0.10,+0.22%,46.01,45.79,46.35,"1,298,759","59,965,136.00","-321,929,185.00"
05-Jul-2024,46.14,-1.17,-2.47%,47.21,45.97,47.33,"2,008,750","92,979,602.00","-381,894,321.00"
03-Jul-2024,47.31,+0.62,+1.33%,47.00,46.94,47.54,"1,563,984","73,901,506.00","-288,914,719.00"
02-Jul-2024,46.69,+0.11,+0.24%,46.96,46.16,47.27,"2,049,006","95,576,027.00","-362,816,225.00"
