Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,70.12,-0.04,-0.06%,69.85,69.64,70.25,"1,270,744","89,045,252.00","3,180,993,428.38"
28-Dec-2023,70.16,+0.75,+1.08%,69.36,69.30,70.32,"972,544","68,149,206.00","3,270,038,680.38"
27-Dec-2023,69.41,-0.04,-0.06%,69.22,69.01,69.66,"1,049,415","72,834,633.00","3,201,889,474.38"
26-Dec-2023,69.45,+0.01,+0.01%,69.21,69.18,69.84,"694,962","48,305,184.00","3,274,724,107.38"
22-Dec-2023,69.44,+0.07,+0.10%,69.80,69.34,70.20,"948,528","65,970,434.00","3,226,418,923.38"
21-Dec-2023,69.37,-0.32,-0.46%,69.92,68.71,70.16,"1,160,597","80,449,529.00","3,160,448,489.38"
20-Dec-2023,69.69,-1.57,-2.20%,71.22,69.67,71.42,"1,595,523","111,481,505.00","3,240,898,018.38"
19-Dec-2023,71.26,-0.16,-0.22%,71.50,71.03,71.95,"836,483","59,643,437.00","3,352,379,523.38"
18-Dec-2023,71.42,+0.56,+0.79%,70.73,70.71,71.68,"1,553,992","110,874,331.00","3,412,022,960.38"
15-Dec-2023,70.86,-0.64,-0.90%,70.72,70.03,70.95,"6,932,794","490,615,942.00","3,301,148,629.38"
14-Dec-2023,71.50,-1.58,-2.16%,73.23,71.33,73.42,"1,727,682","124,147,628.00","3,791,764,571.38"
13-Dec-2023,73.08,+2.61,+3.70%,70.56,70.10,73.09,"1,754,905","127,629,217.00","3,915,912,199.38"
12-Dec-2023,70.47,-0.89,-1.25%,71.49,70.15,71.49,"1,090,184","76,893,430.00","3,788,282,982.38"
11-Dec-2023,71.36,-0.14,-0.20%,71.23,70.86,71.55,"1,373,468","97,943,910.00","3,865,176,412.38"
08-Dec-2023,71.50,-0.15,-0.21%,71.69,70.96,72.17,"868,651","62,088,599.00","3,963,120,322.38"
07-Dec-2023,71.65,-0.61,-0.84%,72.47,71.56,72.55,"1,009,234","72,470,769.00","4,025,208,921.38"
06-Dec-2023,72.26,+1.33,+1.88%,71.21,71.10,72.30,"1,336,912","96,139,119.00","4,097,679,690.38"
05-Dec-2023,70.93,-0.35,-0.49%,71.38,70.79,71.44,"1,058,393","75,122,305.00","4,001,540,571.38"
04-Dec-2023,71.28,-0.24,-0.34%,71.25,71.17,71.78,"1,207,368","86,116,586.00","4,076,662,876.38"
01-Dec-2023,71.52,+0.54,+0.76%,70.91,70.40,71.53,"1,285,842","91,732,022.00","4,162,779,462.38"
30-Nov-2023,70.98,+0.75,+1.07%,70.51,70.22,71.27,"3,465,721","245,941,233.00","4,071,047,440.38"
29-Nov-2023,70.23,-0.26,-0.37%,70.58,69.91,70.96,"1,206,048","84,762,397.00","3,825,106,207.38"
28-Nov-2023,70.49,+0.23,+0.33%,70.28,69.93,71.15,"1,478,383","104,344,521.00","3,909,868,604.38"
27-Nov-2023,70.26,+0.65,+0.93%,69.63,69.44,70.41,"1,178,751","82,724,578.00","3,805,524,083.38"
24-Nov-2023,69.61,+0.02,+0.03%,69.68,69.32,69.81,"372,572","25,929,421.00","3,722,799,505.38"
22-Nov-2023,69.59,-0.06,-0.09%,69.93,69.23,69.93,"842,369","58,618,988.00","3,696,870,084.38"
21-Nov-2023,69.65,+0.21,+0.30%,69.63,68.83,69.88,"1,122,517","78,067,006.00","3,755,489,072.38"
20-Nov-2023,69.44,-0.33,-0.47%,69.31,68.67,69.52,"1,160,722","80,539,928.00","3,677,422,066.38"
17-Nov-2023,69.77,-0.50,-0.71%,69.99,69.30,70.04,"1,325,826","92,506,034.00","3,757,961,994.38"
16-Nov-2023,70.27,+1.50,+2.18%,69.39,69.39,70.34,"1,263,895","88,651,333.00","3,850,468,028.38"
15-Nov-2023,68.77,-0.44,-0.64%,69.08,68.69,69.80,"1,251,091","86,198,726.00","3,761,816,695.38"
14-Nov-2023,69.21,+1.87,+2.78%,68.24,68.16,69.29,"1,750,668","120,673,142.00","3,848,015,421.38"
13-Nov-2023,67.34,-0.76,-1.12%,67.95,67.20,68.20,"1,637,129","110,368,590.00","3,727,342,279.38"
10-Nov-2023,68.10,+0.06,+0.09%,68.39,67.80,68.41,"1,720,046","117,099,692.00","3,837,710,869.38"
09-Nov-2023,68.04,-0.56,-0.82%,68.81,67.95,69.18,"2,455,710","167,402,544.00","3,720,611,177.38"
08-Nov-2023,68.60,-0.12,-0.17%,68.38,67.54,68.66,"1,198,680","81,926,754.00","3,888,013,721.38"
07-Nov-2023,68.72,-0.51,-0.74%,69.36,68.58,69.48,"1,393,645","96,005,447.00","3,969,940,475.38"
06-Nov-2023,69.23,-1.16,-1.65%,70.41,69.22,70.65,"1,536,076","106,683,978.00","4,065,945,922.38"
03-Nov-2023,70.39,+0.27,+0.39%,70.62,70.37,71.31,"1,658,544","117,086,071.00","4,172,629,900.38"
02-Nov-2023,70.12,+1.69,+2.47%,67.89,67.89,70.54,"1,789,935","125,347,473.00","4,055,543,829.38"
01-Nov-2023,68.43,+1.13,+1.68%,67.64,67.13,68.80,"1,343,747","91,835,536.00","3,930,196,356.38"
31-Oct-2023,67.30,+0.51,+0.76%,67.01,66.70,67.60,"1,567,624","105,419,622.00","3,838,360,820.38"
30-Oct-2023,66.79,+0.26,+0.39%,66.86,66.61,67.32,"1,025,116","68,507,642.00","3,732,941,198.38"
27-Oct-2023,66.53,-0.63,-0.94%,66.80,66.15,67.55,"1,296,982","86,385,134.00","3,664,433,556.38"
26-Oct-2023,67.16,+0.55,+0.83%,66.75,66.58,67.64,"1,172,441","78,713,295.00","3,750,818,690.38"
25-Oct-2023,66.61,+0.16,+0.24%,66.12,65.83,66.73,"994,484","66,123,309.00","3,672,105,395.38"
24-Oct-2023,66.45,+1.02,+1.56%,66.06,65.89,66.64,"1,118,801","74,266,304.00","3,605,982,086.38"
23-Oct-2023,65.43,-0.30,-0.46%,65.08,64.54,66.23,"927,977","60,772,341.00","3,531,715,782.38"
20-Oct-2023,65.73,-0.71,-1.07%,66.55,65.71,67.11,"1,399,890","92,541,583.00","3,592,488,123.38"
19-Oct-2023,66.44,-0.16,-0.24%,66.60,66.24,67.34,"1,072,227","71,390,237.00","3,685,029,706.38"
18-Oct-2023,66.60,-0.51,-0.76%,67.10,66.41,67.52,"1,034,453","69,053,724.00","3,756,419,943.38"
17-Oct-2023,67.11,-0.39,-0.58%,67.01,66.55,67.53,"1,473,165","98,744,739.00","3,825,473,667.38"
16-Oct-2023,67.50,+0.95,+1.43%,67.07,66.58,67.71,"1,120,110","75,502,892.00","3,924,218,406.38"
13-Oct-2023,66.55,+0.85,+1.29%,66.35,66.00,66.86,"1,095,574","72,835,508.00","3,848,715,514.38"
12-Oct-2023,65.70,-1.40,-2.09%,66.92,65.28,67.15,"1,145,636","75,457,949.00","3,775,880,006.38"
11-Oct-2023,67.10,+0.66,+0.99%,66.80,66.28,67.28,"908,841","60,828,654.00","3,851,337,955.38"
10-Oct-2023,66.44,+0.53,+0.80%,66.00,65.70,66.56,"1,351,772","89,724,910.00","3,790,509,301.38"
09-Oct-2023,65.91,+0.94,+1.45%,65.00,64.91,65.93,"1,293,336","84,978,097.00","3,700,784,391.38"
06-Oct-2023,64.97,+0.38,+0.59%,63.53,62.26,65.14,"1,508,648","97,486,949.00","3,615,806,294.38"
05-Oct-2023,64.59,-0.03,-0.05%,64.43,63.72,65.07,"1,638,589","105,759,886.00","3,518,319,345.38"
04-Oct-2023,64.62,+0.59,+0.92%,64.34,63.36,64.73,"1,411,447","90,890,450.00","3,624,079,231.38"
