Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,440.52,-1.32,-0.30%,441.84,439.30,443.70,"349,698","154,122,173.00","6,584,902,706.29"
28-Dec-2023,441.84,+1.84,+0.42%,439.66,439.66,443.36,"265,936","117,478,962.00","6,739,024,879.29"
27-Dec-2023,440.00,+3.77,+0.86%,435.29,435.26,440.28,"325,716","143,152,142.00","6,621,545,917.29"
26-Dec-2023,436.23,+1.39,+0.32%,434.51,434.51,438.06,"196,734","85,819,536.00","6,478,393,775.29"
22-Dec-2023,434.84,+2.15,+0.50%,435.13,432.98,436.71,"273,802","119,066,920.00","6,392,574,239.29"
21-Dec-2023,432.69,+4.86,+1.14%,429.05,429.05,433.06,"266,058","114,911,014.00","6,273,507,319.29"
20-Dec-2023,427.83,-8.83,-2.02%,436.70,427.57,437.46,"494,005","212,768,751.00","6,158,596,305.29"
19-Dec-2023,436.66,+0.25,+0.06%,435.16,434.95,439.70,"363,637","158,837,629.00","6,371,365,056.29"
18-Dec-2023,436.41,+0.63,+0.14%,435.97,435.33,439.33,"340,932","148,849,015.00","6,212,527,427.29"
15-Dec-2023,435.78,-2.00,-0.46%,432.59,432.59,436.75,"1,015,077","441,396,780.00","6,063,678,412.29"
14-Dec-2023,437.78,+2.52,+0.58%,440.00,435.80,441.20,"406,886","178,284,700.00","6,505,075,192.29"
13-Dec-2023,435.26,+8.45,+1.98%,428.90,427.97,435.95,"395,336","171,453,550.00","6,326,790,492.29"
12-Dec-2023,426.81,+3.06,+0.72%,423.49,423.49,427.12,"348,610","148,572,723.00","6,155,336,942.29"
11-Dec-2023,423.75,+8.37,+2.02%,416.12,416.12,424.13,"435,088","183,766,395.00","6,006,764,219.29"
08-Dec-2023,415.38,-2.00,-0.48%,415.64,413.68,418.63,"589,510","244,923,881.00","5,822,997,824.29"
07-Dec-2023,417.38,-1.28,-0.31%,419.50,417.16,419.65,"362,670","151,606,337.00","6,067,921,705.29"
06-Dec-2023,418.66,-4.49,-1.06%,423.00,418.39,425.00,"471,761","198,044,211.00","6,219,528,042.29"
05-Dec-2023,423.15,-1.04,-0.25%,426.10,419.87,426.10,"435,427","184,252,299.00","6,417,572,253.29"
04-Dec-2023,424.19,+2.19,+0.52%,419.55,419.03,425.59,"476,895","202,015,624.00","6,601,824,552.29"
01-Dec-2023,422.00,+6.17,+1.48%,417.00,416.85,424.68,"516,737","217,973,337.00","6,399,808,928.29"
30-Nov-2023,415.83,+1.19,+0.29%,413.13,412.80,416.08,"800,466","332,361,873.00","6,181,835,591.29"
29-Nov-2023,414.64,+1.66,+0.40%,414.53,414.33,418.25,"281,132","116,771,242.00","5,849,473,718.29"
28-Nov-2023,412.98,+0.73,+0.18%,411.00,410.63,417.66,"450,774","186,361,352.00","5,732,702,476.29"
27-Nov-2023,412.25,-2.85,-0.69%,412.41,410.47,413.89,"371,315","153,113,187.00","5,546,341,124.29"
24-Nov-2023,415.10,0.00,0.00%,416.02,413.03,416.02,"147,327","61,127,188.00","5,699,454,311.29"
22-Nov-2023,415.10,+1.34,+0.32%,415.29,414.70,417.64,"313,873","130,435,161.00","5,638,327,123.29"
21-Nov-2023,413.76,+2.22,+0.54%,411.03,411.03,413.88,"301,680","124,628,789.00","5,507,891,962.29"
20-Nov-2023,411.54,+3.42,+0.84%,407.58,407.58,413.11,"402,752","165,534,167.00","5,383,263,173.29"
17-Nov-2023,408.12,+4.14,+1.02%,403.50,402.72,408.40,"470,857","191,522,640.00","5,217,729,006.29"
16-Nov-2023,403.98,+1.92,+0.48%,404.43,403.25,405.47,"357,903","144,665,566.00","5,026,206,366.29"
15-Nov-2023,402.06,-1.85,-0.46%,403.91,401.60,407.05,"476,317","191,836,162.00","4,881,540,800.29"
14-Nov-2023,403.91,+9.10,+2.30%,399.64,399.17,406.10,"515,900","208,355,421.00","5,073,376,962.29"
13-Nov-2023,394.81,+0.84,+0.21%,394.42,392.70,395.93,"318,424","125,662,915.00","4,865,021,541.29"
10-Nov-2023,393.97,+6.29,+1.62%,389.75,387.48,394.10,"385,673","151,568,852.00","4,739,358,626.29"
09-Nov-2023,387.68,+1.30,+0.34%,389.63,385.60,390.23,"307,873","119,452,549.00","4,587,789,774.29"
08-Nov-2023,386.38,+1.81,+0.47%,383.48,382.32,386.74,"284,910","109,899,865.00","4,468,337,225.29"
07-Nov-2023,384.57,-0.08,-0.02%,385.75,383.74,387.93,"265,250","102,102,067.00","4,358,437,360.29"
06-Nov-2023,384.65,+1.75,+0.46%,382.21,381.56,385.20,"402,404","154,597,215.00","4,460,539,427.29"
03-Nov-2023,382.90,+6.98,+1.86%,381.41,380.07,385.53,"499,511","191,298,246.00","4,305,942,212.29"
02-Nov-2023,375.92,+24.52,+6.98%,370.80,367.23,378.91,"661,537","248,432,381.00","4,114,643,966.29"
01-Nov-2023,351.40,+2.09,+0.60%,350.53,347.10,353.13,"432,477","151,578,122.00","3,866,211,585.29"
31-Oct-2023,349.31,+4.24,+1.23%,345.49,343.20,349.41,"592,127","206,359,697.00","3,714,633,463.29"
30-Oct-2023,345.07,+2.59,+0.76%,344.80,340.49,346.82,"368,501","127,066,250.00","3,508,273,766.29"
27-Oct-2023,342.48,-5.78,-1.66%,348.50,340.63,348.85,"362,883","124,421,800.00","3,381,207,516.29"
26-Oct-2023,348.26,-0.87,-0.25%,347.74,347.45,352.83,"316,141","110,352,058.00","3,505,629,316.29"
25-Oct-2023,349.13,+1.19,+0.34%,346.62,346.62,353.06,"308,197","107,634,034.00","3,615,981,374.29"
24-Oct-2023,347.94,-2.26,-0.65%,350.25,345.29,353.16,"414,563","144,209,642.00","3,508,347,340.29"
23-Oct-2023,350.20,+0.17,+0.05%,347.90,346.40,354.43,"266,034","93,265,226.00","3,652,556,982.29"
20-Oct-2023,350.03,-7.53,-2.11%,357.42,349.89,357.42,"719,089","252,835,908.00","3,559,291,756.29"
19-Oct-2023,357.56,-2.34,-0.65%,360.78,356.05,362.38,"262,306","93,938,832.00","3,812,127,664.29"
18-Oct-2023,359.90,-7.41,-2.02%,364.24,359.77,364.91,"282,343","101,855,994.00","3,906,066,496.29"
17-Oct-2023,367.31,-0.23,-0.06%,364.72,362.86,371.57,"256,517","94,217,021.00","4,007,922,490.29"
16-Oct-2023,367.54,+3.83,+1.05%,366.38,365.90,371.61,"241,240","88,728,560.00","4,102,139,511.29"
13-Oct-2023,363.71,-2.11,-0.58%,366.51,360.68,367.91,"245,999","89,461,418.00","4,013,410,951.29"
12-Oct-2023,365.82,-6.08,-1.63%,373.14,363.99,373.39,"251,627","92,328,304.00","4,102,872,369.29"
11-Oct-2023,371.90,+2.32,+0.63%,371.93,369.22,373.98,"181,307","67,381,489.00","4,195,200,673.29"
10-Oct-2023,369.58,+3.11,+0.85%,366.00,365.26,372.35,"262,581","97,051,231.00","4,127,819,184.29"
09-Oct-2023,366.47,+2.41,+0.66%,361.98,361.98,367.19,"214,915","78,577,478.00","4,030,767,953.29"
06-Oct-2023,364.06,+2.78,+0.77%,359.66,357.64,366.06,"288,035","104,757,072.00","3,952,190,475.29"
05-Oct-2023,361.28,-1.00,-0.28%,361.13,357.68,362.42,"245,263","88,501,017.00","3,847,433,403.29"
04-Oct-2023,362.28,+5.86,+1.64%,357.91,356.90,362.58,"339,534","122,666,783.00","3,935,934,420.29"
03-Oct-2023,356.42,-10.30,-2.81%,364.18,355.10,365.63,"290,116","103,696,573.00","3,813,267,637.29"
02-Oct-2023,366.72,+1.31,+0.36%,367.26,364.60,371.65,"413,676","151,906,523.00","3,916,964,210.29"
29-Sep-2023,365.41,-3.12,-0.85%,371.51,364.57,374.05,"458,175","167,797,238.00","3,765,057,687.29"
28-Sep-2023,368.53,+5.47,+1.51%,363.06,363.06,370.28,"398,486","146,660,362.00","3,932,854,925.29"
27-Sep-2023,363.06,-1.01,-0.28%,365.13,360.97,365.32,"369,647","134,216,754.00","3,786,194,563.29"
26-Sep-2023,364.07,-7.39,-1.99%,366.18,363.46,368.46,"416,323","151,863,948.00","3,920,411,317.29"
25-Sep-2023,371.46,-0.23,-0.06%,370.44,369.71,372.55,"267,609","99,379,855.00","4,072,275,265.29"
22-Sep-2023,371.69,-0.62,-0.17%,372.57,371.22,375.64,"354,003","131,764,595.00","4,171,655,120.29"
21-Sep-2023,372.31,-13.93,-3.61%,383.64,372.20,383.88,"352,127","131,753,021.00","4,303,419,715.29"
20-Sep-2023,386.24,-3.07,-0.79%,390.02,385.85,391.93,"237,317","91,994,734.00","4,435,172,736.29"
19-Sep-2023,389.31,-0.21,-0.05%,387.97,386.64,389.84,"259,896","101,093,280.00","4,527,167,470.29"
18-Sep-2023,389.52,+1.26,+0.32%,386.97,386.97,391.01,"213,697","83,227,445.00","4,628,260,750.29"
15-Sep-2023,388.26,-7.93,-2.00%,393.48,387.88,394.62,"1,377,769","536,544,779.00","4,545,033,305.29"
14-Sep-2023,396.19,+6.34,+1.63%,394.32,389.99,396.39,"260,399","102,997,838.00","5,081,578,084.29"
13-Sep-2023,389.85,+2.56,+0.66%,386.66,385.79,390.52,"198,205","77,190,367.00","4,978,580,246.29"
12-Sep-2023,387.29,-2.07,-0.53%,387.13,385.53,389.72,"324,251","125,606,431.00","4,901,389,879.29"
11-Sep-2023,389.36,-1.35,-0.35%,390.71,387.75,392.28,"264,415","102,951,440.00","5,026,996,310.29"
08-Sep-2023,390.71,-2.87,-0.73%,394.50,389.61,394.96,"257,407","100,634,830.00","5,129,947,750.29"
07-Sep-2023,393.58,-0.57,-0.14%,389.53,389.53,395.11,"409,352","161,044,399.00","5,230,582,580.29"
06-Sep-2023,394.15,+0.60,+0.15%,393.19,392.03,395.44,"325,388","128,231,139.00","5,391,626,979.29"
05-Sep-2023,393.55,-0.69,-0.18%,394.45,393.42,402.94,"411,469","162,198,890.00","5,263,395,840.29"
01-Sep-2023,394.24,+3.38,+0.86%,393.65,393.23,396.26,"257,736","101,668,915.00","5,425,594,730.29"
31-Aug-2023,390.86,-1.52,-0.39%,393.42,390.74,395.60,"454,003","177,640,397.00","5,323,925,815.29"
30-Aug-2023,392.38,-0.12,-0.03%,392.12,392.11,394.92,"230,741","90,577,449.00","5,501,566,212.29"
29-Aug-2023,392.50,+2.07,+0.53%,389.61,388.81,393.15,"231,904","90,965,624.00","5,592,143,661.29"
28-Aug-2023,390.43,+2.16,+0.56%,390.13,387.90,392.40,"303,348","118,364,787.00","5,501,178,037.29"
25-Aug-2023,388.27,+1.25,+0.32%,388.95,385.97,391.63,"347,013","134,808,063.00","5,382,813,250.29"
24-Aug-2023,387.02,-4.71,-1.20%,392.01,386.98,395.86,"261,012","101,406,175.00","5,248,005,187.29"
23-Aug-2023,391.73,+8.19,+2.14%,385.22,385.22,391.93,"220,488","86,189,693.00","5,349,411,362.29"
22-Aug-2023,383.54,+5.06,+1.34%,380.89,379.35,385.40,"312,370","119,656,978.00","5,263,221,669.29"
21-Aug-2023,378.48,-3.52,-0.92%,382.00,376.79,382.88,"388,318","147,197,876.00","5,143,564,691.29"
18-Aug-2023,382.00,-2.38,-0.62%,380.44,380.25,384.69,"445,714","170,294,326.00","5,290,762,567.29"
17-Aug-2023,384.38,-2.37,-0.61%,387.46,384.14,389.99,"308,310","118,923,506.00","5,461,056,893.29"
16-Aug-2023,386.75,-0.30,-0.08%,384.87,384.87,388.98,"232,448","89,935,561.00","5,579,980,399.29"
15-Aug-2023,387.05,-1.64,-0.42%,385.82,385.48,388.41,"327,600","126,739,049.00","5,669,915,960.29"
14-Aug-2023,388.69,+1.00,+0.26%,388.06,386.75,390.42,"256,132","99,557,753.00","5,796,655,009.29"
11-Aug-2023,387.69,-0.12,-0.03%,385.17,383.96,388.52,"227,891","88,264,430.00","5,697,097,256.29"
10-Aug-2023,387.81,+0.15,+0.04%,389.90,387.25,394.64,"225,478","87,768,949.00","5,785,361,686.29"
09-Aug-2023,387.66,+1.15,+0.30%,386.31,386.31,391.92,"273,899","106,334,138.00","5,697,592,737.29"
08-Aug-2023,386.51,-3.87,-0.99%,387.90,381.07,388.95,"295,790","114,053,257.00","5,591,258,599.29"
07-Aug-2023,390.38,+3.54,+0.92%,387.59,386.15,390.51,"210,778","82,111,901.00","5,705,311,856.29"
04-Aug-2023,386.84,+3.12,+0.81%,384.56,380.64,390.57,"319,949","123,730,993.00","5,623,199,955.29"
03-Aug-2023,383.72,-10.53,-2.67%,388.78,382.87,389.30,"756,652","290,753,287.00","5,499,468,962.29"
02-Aug-2023,394.25,-4.06,-1.02%,394.30,391.33,395.83,"438,759","173,069,642.00","5,790,222,249.29"
01-Aug-2023,398.31,+3.80,+0.96%,394.40,393.69,398.76,"400,980","159,488,207.00","5,963,291,891.29"
31-Jul-2023,394.51,+2.35,+0.60%,391.79,388.26,395.14,"632,512","249,270,703.00","5,803,803,684.29"
28-Jul-2023,392.16,-3.52,-0.89%,398.01,392.02,401.48,"571,329","225,120,019.00","5,554,532,981.29"
27-Jul-2023,395.68,-32.73,-7.64%,403.96,393.86,412.00,"762,052","303,454,064.00","5,779,653,000.29"
26-Jul-2023,428.41,+0.88,+0.21%,428.07,425.53,428.65,"365,204","156,172,716.00","6,083,107,064.29"
25-Jul-2023,427.53,+4.73,+1.12%,421.42,421.42,428.65,"505,379","215,843,920.00","5,926,934,348.29"
24-Jul-2023,422.80,-0.49,-0.12%,424.40,421.10,425.27,"415,956","175,878,959.00","5,711,090,428.29"
21-Jul-2023,423.29,-0.50,-0.12%,424.78,423.26,425.28,"435,292","184,504,393.00","5,886,969,387.29"
20-Jul-2023,423.79,+1.26,+0.30%,422.91,420.82,424.09,"345,178","146,095,862.00","6,071,473,780.29"
19-Jul-2023,422.53,+0.68,+0.16%,423.71,421.15,425.00,"446,494","188,699,202.00","5,925,377,918.29"
18-Jul-2023,421.85,+4.46,+1.07%,417.72,417.71,422.26,"322,950","136,007,020.00","5,736,678,716.29"
17-Jul-2023,417.39,+1.37,+0.33%,416.71,415.22,418.58,"377,976","157,693,095.00","5,600,671,696.29"
14-Jul-2023,416.02,+3.99,+0.97%,412.62,412.36,417.28,"388,110","161,331,714.00","5,442,978,601.29"
13-Jul-2023,412.03,+5.47,+1.35%,409.99,407.46,413.55,"361,022","148,462,562.00","5,281,646,887.29"
12-Jul-2023,406.56,+10.14,+2.56%,403.82,403.49,409.18,"473,250","192,379,114.00","5,133,184,325.29"
11-Jul-2023,396.42,-2.01,-0.50%,396.98,395.05,399.30,"349,141","138,396,901.00","4,940,805,211.29"
10-Jul-2023,398.43,+5.18,+1.32%,393.99,393.99,400.55,"303,042","120,731,433.00","5,079,202,112.29"
07-Jul-2023,393.25,-2.11,-0.53%,393.22,392.00,397.83,"337,853","133,082,199.00","4,958,470,679.29"
06-Jul-2023,395.36,-4.24,-1.06%,395.36,392.73,396.43,"319,049","126,082,712.00","5,091,552,878.29"
05-Jul-2023,399.60,+2.68,+0.68%,395.43,392.91,401.25,"353,083","140,772,566.00","5,217,635,590.29"
