Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,74.73,+0.06,+0.08%,74.49,74.33,74.83,"879,320","65,685,920.00","1,415,041,253.98"
28-Dec-2023,74.67,+0.53,+0.71%,74.00,74.00,74.70,"530,199","39,530,857.00","1,349,355,333.98"
27-Dec-2023,74.14,-0.32,-0.43%,74.35,73.89,74.37,"590,130","43,750,324.00","1,309,824,476.98"
26-Dec-2023,74.46,+0.76,+1.03%,73.63,73.63,74.80,"793,084","59,079,267.00","1,353,574,800.98"
22-Dec-2023,73.70,+0.56,+0.77%,73.63,73.41,74.09,"806,156","59,428,241.00","1,294,495,533.98"
21-Dec-2023,73.14,0.00,0.00%,73.29,72.93,73.98,"912,446","66,757,474.00","1,235,067,292.98"
20-Dec-2023,73.14,-1.86,-2.48%,74.85,73.08,75.08,"1,658,425","121,657,937.00","1,301,824,766.98"
19-Dec-2023,75.00,+0.20,+0.27%,75.04,74.66,75.35,"1,467,004","110,032,379.00","1,423,482,703.98"
18-Dec-2023,74.80,-0.42,-0.56%,75.54,74.67,75.84,"1,161,283","86,970,379.00","1,313,450,324.98"
15-Dec-2023,75.22,-1.26,-1.65%,75.52,74.49,76.42,"3,997,768","301,095,137.00","1,400,420,703.98"
14-Dec-2023,76.48,-0.01,-0.01%,76.99,76.10,77.77,"2,380,041","182,153,876.00","1,701,515,840.98"
13-Dec-2023,76.49,+2.64,+3.57%,73.92,73.61,76.59,"1,132,709","86,165,243.00","1,883,669,716.98"
12-Dec-2023,73.85,-0.09,-0.12%,74.84,73.71,74.84,"1,127,899","83,473,664.00","1,797,504,473.98"
11-Dec-2023,73.94,+1.56,+2.16%,72.18,72.15,74.00,"2,027,753","149,689,188.00","1,880,978,137.98"
08-Dec-2023,72.38,-0.66,-0.90%,73.22,72.25,73.30,"862,639","62,499,730.00","1,731,288,949.98"
07-Dec-2023,73.04,-0.01,-0.01%,73.31,72.74,73.58,"979,292","71,568,224.00","1,793,788,679.98"
06-Dec-2023,73.05,+2.12,+2.99%,71.54,71.54,73.08,"1,151,703","83,844,692.00","1,865,356,903.98"
05-Dec-2023,70.93,-1.88,-2.58%,72.07,70.91,72.12,"1,022,920","72,702,869.00","1,781,512,211.98"
04-Dec-2023,72.81,-0.39,-0.53%,72.76,72.66,73.46,"1,272,066","92,712,361.00","1,854,215,080.98"
01-Dec-2023,73.20,+0.33,+0.45%,72.76,72.56,73.23,"985,146","71,997,664.00","1,946,927,441.98"
30-Nov-2023,72.87,-0.08,-0.11%,73.26,72.32,73.45,"7,487,386","545,637,063.00","1,874,929,777.98"
29-Nov-2023,72.95,-0.57,-0.78%,73.71,72.78,74.05,"745,413","54,507,102.00","2,420,566,840.98"
28-Nov-2023,73.52,-0.20,-0.27%,73.86,73.45,74.60,"939,066","69,195,347.00","2,475,073,942.98"
27-Nov-2023,73.72,+0.05,+0.07%,73.71,73.33,73.85,"1,042,629","76,852,442.00","2,544,269,289.98"
24-Nov-2023,73.67,+0.55,+0.75%,72.98,72.98,73.77,"395,712","29,128,690.00","2,467,416,847.98"
22-Nov-2023,73.12,+0.25,+0.34%,73.11,72.51,73.27,"720,169","52,649,028.00","2,438,288,157.98"
21-Nov-2023,72.87,+0.44,+0.61%,72.58,72.20,72.92,"899,730","65,467,911.00","2,385,639,129.98"
20-Nov-2023,72.43,+0.17,+0.24%,71.99,71.15,72.56,"895,215","64,732,764.00","2,320,171,218.98"
17-Nov-2023,72.26,+0.07,+0.10%,72.58,71.92,72.58,"714,141","51,643,662.00","2,255,438,454.98"
16-Nov-2023,72.19,+0.21,+0.29%,72.65,72.08,72.91,"1,431,077","103,378,495.00","2,203,794,792.98"
15-Nov-2023,71.98,-0.62,-0.85%,72.57,71.84,73.35,"2,056,426","148,119,745.00","2,100,416,297.98"
14-Nov-2023,72.60,+2.58,+3.68%,71.94,71.17,72.67,"1,064,236","77,064,368.00","2,248,536,042.98"
13-Nov-2023,70.02,-0.32,-0.45%,70.13,69.48,70.20,"1,712,207","119,855,100.00","2,171,471,674.98"
10-Nov-2023,70.34,+0.77,+1.11%,69.84,69.22,70.45,"868,784","60,970,801.00","2,291,326,774.98"
09-Nov-2023,69.57,-0.96,-1.36%,70.78,69.47,70.93,"1,063,733","74,197,235.00","2,230,355,973.98"
08-Nov-2023,70.53,-0.87,-1.22%,70.00,69.84,70.62,"2,413,911","169,600,296.00","2,304,553,208.98"
07-Nov-2023,71.40,-0.48,-0.67%,72.06,71.19,72.12,"743,726","53,156,619.00","2,474,153,504.98"
06-Nov-2023,71.88,-0.47,-0.65%,72.50,71.49,72.50,"728,228","52,365,956.00","2,527,310,123.98"
03-Nov-2023,72.35,+0.27,+0.37%,73.55,72.33,74.40,"1,437,619","104,415,724.00","2,579,676,079.98"
