Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,248.48,-4.70,-1.86%,255.03,247.45,255.19,"13,286,955","3,322,731,870.00","438,318,940,011.48"
28-Dec-2023,253.18,-8.26,-3.16%,263.66,252.71,265.10,"14,797,646","3,814,064,542.00","441,641,671,881.48"
27-Dec-2023,261.44,+4.83,+1.88%,258.15,257.53,263.34,"12,722,483","3,327,625,605.00","445,455,736,423.48"
26-Dec-2023,256.61,+4.07,+1.61%,254.43,252.95,257.97,"11,300,577","2,897,948,511.00","442,128,110,818.48"
22-Dec-2023,252.54,-1.96,-0.77%,256.70,251.39,258.22,"10,064,373","2,564,365,737.00","439,230,162,307.48"
21-Dec-2023,254.50,+7.36,+2.98%,251.91,248.56,254.78,"13,385,269","3,379,424,353.00","441,794,528,044.48"
20-Dec-2023,247.14,-10.08,-3.92%,256.47,247.00,259.84,"15,765,293","3,988,674,184.00","438,415,103,691.48"
19-Dec-2023,257.22,+5.14,+2.04%,253.48,253.02,258.33,"12,674,232","3,248,584,830.00","442,403,777,875.48"
18-Dec-2023,252.08,-1.42,-0.56%,253.90,251.37,258.73,"14,924,537","3,796,494,427.00","439,155,193,045.48"
15-Dec-2023,253.50,+2.45,+0.98%,250.95,248.37,254.13,"35,439,748","8,954,632,646.00","442,951,687,472.48"
14-Dec-2023,251.05,+11.76,+4.91%,241.17,240.80,253.88,"23,785,970","5,915,146,514.00","433,997,054,826.48"
13-Dec-2023,239.29,+2.28,+0.96%,234.26,228.20,240.30,"16,742,967","3,929,328,104.00","428,081,908,312.48"
12-Dec-2023,237.01,-2.73,-1.14%,238.39,233.88,238.95,"11,909,478","2,812,134,142.00","424,152,580,208.48"
11-Dec-2023,239.74,-4.10,-1.68%,242.65,237.46,243.42,"12,705,344","3,051,984,054.00","426,964,714,350.48"
08-Dec-2023,243.84,+1.20,+0.49%,240.27,239.29,245.27,"11,979,131","2,912,129,630.00","430,016,698,404.48"
07-Dec-2023,242.64,+3.27,+1.37%,241.55,236.98,244.08,"11,756,803","2,835,194,748.00","427,104,568,774.48"
06-Dec-2023,239.37,+0.65,+0.27%,243.00,239.18,246.55,"14,955,817","3,629,504,015.00","424,269,374,026.48"
05-Dec-2023,238.72,+3.14,+1.33%,233.77,233.73,246.65,"15,122,547","3,639,537,867.00","420,639,870,011.48"
04-Dec-2023,235.58,-3.25,-1.36%,235.75,233.30,239.36,"12,093,953","2,856,383,277.00","417,000,332,144.48"
01-Dec-2023,238.83,-1.25,-0.52%,233.10,231.90,240.17,"15,789,623","3,732,826,714.00","419,856,715,421.48"
30-Nov-2023,240.08,-4.06,-1.66%,245.19,236.91,245.20,"17,149,156","4,125,300,179.00","423,589,542,135.48"
29-Nov-2023,244.14,-2.58,-1.05%,249.23,242.76,252.75,"15,592,959","3,867,715,782.00","427,714,842,314.48"
28-Nov-2023,246.72,+10.64,+4.51%,236.79,234.01,246.99,"18,431,550","4,454,794,375.00","431,582,558,096.48"
27-Nov-2023,236.08,+0.63,+0.27%,236.86,232.10,238.32,"12,190,817","2,873,560,491.00","427,127,763,721.48"
24-Nov-2023,235.45,+1.24,+0.53%,233.79,232.38,238.75,"7,880,984","1,860,348,080.00","424,254,203,230.48"
22-Nov-2023,234.21,-6.99,-2.90%,242.00,231.40,244.01,"14,959,801","3,514,795,269.00","422,393,855,150.48"
21-Nov-2023,241.20,+5.60,+2.38%,235.00,233.34,243.61,"13,363,705","3,215,655,135.00","425,908,650,419.48"
20-Nov-2023,235.60,+1.30,+0.55%,234.11,231.02,237.10,"12,566,136","2,946,620,042.00","422,692,995,284.48"
17-Nov-2023,234.30,+0.71,+0.30%,232.11,226.56,237.37,"15,735,053","3,665,720,921.00","419,746,375,242.48"
16-Nov-2023,233.59,-9.25,-3.81%,239.44,230.97,240.87,"17,263,964","4,066,502,356.00","416,080,654,321.48"
15-Nov-2023,242.84,+5.43,+2.29%,239.50,236.45,246.69,"20,198,876","4,898,679,692.00","420,147,156,677.48"
14-Nov-2023,237.41,+13.70,+6.12%,235.00,230.72,238.13,"20,213,144","4,748,701,543.00","415,248,476,985.48"
13-Nov-2023,223.71,+9.06,+4.22%,215.55,211.64,225.39,"17,033,568","3,767,382,754.00","410,499,775,442.48"
10-Nov-2023,214.65,+4.67,+2.22%,209.95,205.69,215.37,"17,213,368","3,648,109,243.00","406,732,392,688.48"
09-Nov-2023,209.98,-12.13,-5.46%,219.69,206.69,220.78,"21,932,262","4,646,237,750.00","403,084,283,445.48"
08-Nov-2023,222.11,-0.07,-0.03%,223.07,217.64,224.11,"13,198,979","2,911,800,412.00","407,730,521,195.48"
07-Nov-2023,222.18,+2.91,+1.33%,219.98,215.74,223.11,"12,613,518","2,769,725,620.00","410,642,321,607.48"
06-Nov-2023,219.27,-0.69,-0.31%,224.20,215.01,226.30,"14,594,252","3,212,113,403.00","407,872,595,987.48"
03-Nov-2023,219.96,+1.45,+0.66%,221.16,218.41,226.35,"15,377,227","3,400,277,630.00","411,084,709,390.48"
