Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,526.47,+1.57,+0.30%,525.98,524.00,528.22,"1,006,726","529,968,959.00","24,244,866,279.34"
28-Dec-2023,524.90,+2.11,+0.40%,523.47,523.10,527.86,"817,644","429,595,181.00","23,714,897,320.34"
27-Dec-2023,522.79,+2.76,+0.53%,519.75,519.70,523.16,"729,566","381,190,020.00","23,285,302,139.34"
26-Dec-2023,520.03,-0.28,-0.05%,519.88,518.00,521.32,"441,616","229,608,780.00","22,904,112,119.34"
22-Dec-2023,520.31,+0.43,+0.08%,519.88,518.20,523.01,"511,585","266,135,466.00","23,133,720,899.34"
21-Dec-2023,519.88,+3.95,+0.77%,518.88,516.58,520.70,"799,988","415,617,004.00","22,867,585,433.34"
20-Dec-2023,515.93,-8.11,-1.55%,523.85,515.87,524.32,"1,254,404","649,480,137.00","22,451,968,429.34"
19-Dec-2023,524.04,-2.51,-0.48%,524.59,522.00,527.47,"992,764","520,195,018.00","23,101,448,566.34"
18-Dec-2023,526.55,-4.57,-0.86%,529.11,525.39,531.01,"889,587","468,687,119.00","23,621,643,584.34"
15-Dec-2023,531.12,-3.12,-0.58%,528.26,523.00,532.96,"3,330,071","1,762,671,313.00","24,090,330,703.34"
14-Dec-2023,534.24,-14.77,-2.69%,544.08,529.54,544.09,"1,564,223","835,873,018.00","25,853,002,016.34"
13-Dec-2023,549.01,+3.29,+0.60%,544.00,538.60,549.33,"957,115","523,977,167.00","26,688,875,034.34"
12-Dec-2023,545.72,+2.04,+0.38%,546.28,542.70,547.42,"811,816","442,939,641.00","26,164,897,867.34"
11-Dec-2023,543.68,-6.09,-1.11%,549.76,539.06,550.00,"1,247,722","678,126,578.00","25,721,958,226.34"
08-Dec-2023,549.77,+1.50,+0.27%,550.22,544.54,551.72,"838,588","460,427,216.00","26,400,084,804.34"
07-Dec-2023,548.27,-1.26,-0.23%,551.35,544.72,551.35,"887,953","486,678,771.00","25,939,657,588.34"
06-Dec-2023,549.53,-0.73,-0.13%,547.56,547.19,551.88,"861,820","473,544,912.00","26,426,336,359.34"
05-Dec-2023,550.26,+1.98,+0.36%,549.10,545.54,552.50,"811,611","446,514,710.00","26,899,881,271.34"
04-Dec-2023,548.28,+1.12,+0.20%,548.26,543.14,551.42,"907,810","497,272,491.00","26,453,366,561.34"
01-Dec-2023,547.16,-5.81,-1.05%,550.42,545.22,554.50,"1,248,426","683,997,317.00","25,956,094,070.34"
30-Nov-2023,552.97,+17.99,+3.36%,535.79,534.50,553.94,"2,182,241","1,204,176,143.00","26,640,091,387.34"
29-Nov-2023,534.98,-5.55,-1.03%,530.90,528.74,541.52,"1,305,675","699,179,497.00","25,435,915,244.34"
28-Nov-2023,540.53,-3.06,-0.56%,545.63,540.13,545.74,"868,246","469,818,931.00","26,135,094,741.34"
27-Nov-2023,543.59,-3.51,-0.64%,547.10,541.76,550.50,"1,028,885","560,105,198.00","26,604,913,672.34"
24-Nov-2023,547.10,+3.34,+0.61%,544.93,544.20,547.56,"375,055","204,967,022.00","27,165,018,870.34"
22-Nov-2023,543.76,+4.17,+0.77%,542.97,540.32,544.36,"695,262","377,831,949.00","26,960,051,848.34"
21-Nov-2023,539.59,+4.49,+0.84%,537.77,534.35,541.58,"600,586","323,901,993.00","26,582,219,899.34"
20-Nov-2023,535.10,-1.19,-0.22%,533.61,532.06,536.34,"752,992","402,638,108.00","26,258,317,906.34"
17-Nov-2023,536.29,-3.53,-0.65%,540.27,528.61,540.27,"1,018,376","546,422,366.00","26,660,956,014.34"
16-Nov-2023,539.82,+1.41,+0.26%,538.41,537.54,544.69,"830,863","448,557,950.00","27,207,378,380.34"
15-Nov-2023,538.41,-2.05,-0.38%,540.05,531.82,540.46,"818,659","440,452,123.00","26,758,820,430.34"
14-Nov-2023,540.46,-2.11,-0.39%,539.03,536.72,542.55,"843,627","455,707,650.00","27,199,272,553.34"
13-Nov-2023,542.57,+1.36,+0.25%,541.15,538.10,544.15,"471,266","255,414,006.00","27,654,980,203.34"
10-Nov-2023,541.21,+2.21,+0.41%,542.68,536.35,542.68,"735,024","397,603,467.00","27,399,566,197.34"
09-Nov-2023,539.00,+2.27,+0.42%,537.60,534.48,540.91,"542,344","292,153,968.00","27,001,962,730.34"
08-Nov-2023,536.73,-1.10,-0.20%,540.00,534.18,541.17,"654,551","351,473,196.00","26,709,808,762.34"
07-Nov-2023,537.83,+4.37,+0.82%,535.36,531.61,539.63,"740,027","397,830,301.00","27,061,281,958.34"
06-Nov-2023,533.46,+2.56,+0.48%,531.63,530.21,535.96,"995,388","530,821,467.00","26,663,451,657.34"
03-Nov-2023,530.90,-5.23,-0.98%,534.57,528.88,535.23,"754,879","401,088,069.00","26,132,630,190.34"
02-Nov-2023,536.13,+4.53,+0.85%,532.00,527.81,536.76,"748,609","400,407,338.00","26,533,718,259.34"
01-Nov-2023,531.60,-3.96,-0.74%,529.98,527.10,535.83,"818,108","435,058,171.00","26,133,310,921.34"
31-Oct-2023,535.56,+5.57,+1.05%,535.00,531.81,536.68,"918,926","491,833,112.00","26,568,369,092.34"
30-Oct-2023,529.99,+5.33,+1.02%,525.00,523.00,531.66,"726,890","384,651,858.00","26,076,535,980.34"
27-Oct-2023,524.66,-3.70,-0.70%,525.99,521.95,527.51,"817,854","428,984,439.00","25,691,884,122.34"
26-Oct-2023,528.36,-1.85,-0.35%,525.70,522.54,530.41,"876,206","462,942,208.00","26,120,868,561.34"
25-Oct-2023,530.21,+5.21,+0.99%,527.27,520.31,532.27,"720,472","381,426,575.00","26,583,810,769.34"
24-Oct-2023,525.00,+3.43,+0.66%,522.86,522.28,530.62,"647,771","340,381,678.00","26,202,384,194.34"
23-Oct-2023,521.57,-5.46,-1.04%,527.03,520.29,527.42,"670,278","350,174,318.00","25,862,002,516.34"
20-Oct-2023,527.03,-4.60,-0.87%,531.86,526.78,533.67,"1,068,732","565,020,904.00","26,212,176,834.34"
19-Oct-2023,531.63,-4.43,-0.83%,536.82,529.25,536.99,"686,007","364,894,689.00","26,777,197,738.34"
