Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,245.62,-0.40,-0.16%,245.99,244.77,246.39,"546,383","134,204,779.00","4,931,747,440.48"
28-Dec-2023,246.02,+0.21,+0.09%,246.04,245.28,246.95,"415,758","102,300,438.00","5,065,952,219.48"
27-Dec-2023,245.81,+0.52,+0.21%,244.65,244.35,246.69,"749,151","184,121,194.00","4,963,651,781.48"
26-Dec-2023,245.29,+1.71,+0.70%,243.62,243.62,246.40,"482,622","118,417,203.00","4,779,530,587.48"
22-Dec-2023,243.58,+1.47,+0.61%,243.01,242.75,244.95,"463,843","113,015,181.00","4,661,113,384.48"
21-Dec-2023,242.11,+4.27,+1.80%,238.12,237.64,242.29,"1,030,334","248,838,312.00","4,548,098,203.48"
20-Dec-2023,237.84,-4.81,-1.98%,240.21,237.70,242.05,"866,551","206,989,722.00","4,299,259,891.48"
19-Dec-2023,242.65,+1.55,+0.64%,241.29,240.06,243.41,"627,229","152,053,733.00","4,506,249,613.48"
18-Dec-2023,241.10,-0.88,-0.36%,243.05,240.94,243.80,"690,704","166,798,960.00","4,354,195,880.48"
15-Dec-2023,241.98,-0.88,-0.36%,237.64,237.64,242.84,"2,442,402","587,999,027.00","4,520,994,840.48"
14-Dec-2023,242.86,+6.17,+2.61%,240.00,239.20,245.05,"1,184,694","287,639,120.00","5,108,993,867.48"
13-Dec-2023,236.69,+3.78,+1.62%,232.93,231.58,236.81,"1,229,121","289,789,603.00","4,821,354,747.48"
12-Dec-2023,232.91,+0.88,+0.38%,233.09,232.53,234.48,"754,058","175,731,976.00","4,531,565,144.48"
11-Dec-2023,232.03,+2.26,+0.98%,229.92,229.83,232.34,"606,530","140,592,544.00","4,355,833,168.48"
08-Dec-2023,229.77,-1.72,-0.74%,231.64,229.54,232.89,"888,123","204,237,277.00","4,215,240,624.48"
07-Dec-2023,231.49,-1.48,-0.64%,232.42,230.56,232.90,"790,685","183,087,690.00","4,419,477,901.48"
06-Dec-2023,232.97,+0.80,+0.34%,233.12,231.98,233.93,"549,766","128,111,069.00","4,602,565,591.48"
05-Dec-2023,232.17,-1.73,-0.74%,232.79,230.96,233.08,"1,071,086","248,626,249.00","4,474,454,522.48"
04-Dec-2023,233.90,+2.53,+1.09%,230.76,230.61,234.61,"1,071,614","250,358,666.00","4,723,080,771.48"
01-Dec-2023,231.37,+6.10,+2.71%,227.41,226.55,232.32,"861,457","198,704,312.00","4,472,722,105.48"
30-Nov-2023,225.27,+3.80,+1.72%,222.25,220.85,225.63,"2,088,771","470,125,997.00","4,274,017,793.48"
29-Nov-2023,221.47,+0.24,+0.11%,222.03,220.89,223.75,"373,252","82,740,862.00","3,803,891,796.48"
28-Nov-2023,221.23,+1.38,+0.63%,219.71,219.48,222.64,"588,761","130,235,088.00","3,721,150,934.48"
27-Nov-2023,219.85,-4.43,-1.98%,223.74,219.38,223.99,"665,027","146,439,276.00","3,590,915,846.48"
24-Nov-2023,224.28,+0.79,+0.35%,223.32,223.30,224.98,"362,519","81,298,445.00","3,737,355,122.48"
22-Nov-2023,223.49,+1.49,+0.67%,222.74,222.65,224.27,"431,611","96,467,064.00","3,656,056,677.48"
21-Nov-2023,222.00,+0.90,+0.41%,221.11,219.27,223.00,"851,904","189,086,341.00","3,559,589,613.48"
20-Nov-2023,221.10,+1.89,+0.86%,219.00,217.06,221.68,"970,257","214,304,496.00","3,370,503,272.48"
17-Nov-2023,219.21,-0.15,-0.07%,220.79,217.83,221.15,"638,011","139,934,598.00","3,156,198,776.48"
16-Nov-2023,219.36,+1.28,+0.59%,218.36,216.88,219.49,"417,877","91,475,602.00","3,296,133,374.48"
15-Nov-2023,218.08,+2.39,+1.11%,216.36,216.36,220.32,"829,520","181,062,892.00","3,204,657,772.48"
14-Nov-2023,215.69,+6.29,+3.00%,212.48,212.48,217.27,"729,651","157,328,104.00","3,023,594,880.48"
13-Nov-2023,209.40,-2.09,-0.99%,211.11,208.20,211.11,"572,572","119,884,950.00","2,866,266,776.48"
10-Nov-2023,211.49,+1.26,+0.60%,211.23,208.60,211.90,"789,567","166,721,142.00","2,986,151,726.48"
09-Nov-2023,210.23,-1.77,-0.83%,212.80,209.51,212.85,"441,520","92,936,367.00","2,819,430,584.48"
08-Nov-2023,212.00,+0.59,+0.28%,212.09,211.03,212.91,"815,246","172,847,898.00","2,912,366,951.48"
07-Nov-2023,211.41,-1.69,-0.79%,212.73,210.90,212.73,"537,791","113,790,053.00","2,739,519,053.48"
06-Nov-2023,213.10,+0.97,+0.46%,212.00,209.36,213.19,"437,927","93,068,598.00","2,853,309,106.48"
03-Nov-2023,212.13,+0.74,+0.35%,213.00,211.57,213.40,"585,217","124,242,950.00","2,760,240,508.48"
02-Nov-2023,211.39,+3.83,+1.85%,208.71,207.93,211.87,"567,360","119,812,519.00","2,635,997,558.48"
01-Nov-2023,207.56,-0.05,-0.02%,207.06,205.72,208.39,"893,925","185,452,078.00","2,516,185,039.48"
31-Oct-2023,207.61,+1.81,+0.88%,206.39,204.78,207.90,"815,044","169,027,014.00","2,701,637,117.48"
30-Oct-2023,205.80,+4.08,+2.02%,203.24,202.69,207.00,"653,498","134,305,782.00","2,532,610,103.48"
27-Oct-2023,201.72,-0.52,-0.26%,202.56,199.99,203.97,"632,177","127,459,674.00","2,398,304,321.48"
26-Oct-2023,202.24,-2.98,-1.45%,204.34,202.00,206.20,"906,538","183,967,635.00","2,525,763,995.48"
25-Oct-2023,205.22,-0.22,-0.11%,203.85,202.44,206.99,"700,156","143,750,104.00","2,709,731,630.48"
24-Oct-2023,205.44,-2.32,-1.12%,208.45,204.30,209.02,"1,034,749","212,753,036.00","2,853,481,734.48"
23-Oct-2023,207.76,-3.58,-1.69%,210.29,207.48,211.61,"701,618","146,666,725.00","3,066,234,770.48"
20-Oct-2023,211.34,+1.01,+0.48%,212.49,210.30,214.96,"2,543,891","538,110,907.00","3,212,901,495.48"
19-Oct-2023,210.33,+4.41,+2.14%,219.66,210.17,219.78,"1,031,241","219,225,100.00","2,674,790,588.48"
18-Oct-2023,205.92,-5.42,-2.56%,210.14,205.50,210.14,"886,934","183,187,794.00","2,455,565,488.48"
17-Oct-2023,211.34,+0.51,+0.24%,209.90,209.66,213.34,"882,623","186,703,321.00","2,638,753,282.48"
16-Oct-2023,210.83,+3.08,+1.48%,209.21,209.19,213.31,"663,438","139,987,978.00","2,452,049,961.48"
13-Oct-2023,207.75,-0.24,-0.12%,208.95,207.05,210.44,"576,302","119,964,785.00","2,312,061,983.48"
12-Oct-2023,207.99,-1.49,-0.71%,210.00,205.83,210.11,"502,069","104,451,438.00","2,432,026,768.48"
11-Oct-2023,209.48,+3.13,+1.52%,207.24,207.20,209.93,"1,215,046","254,151,137.00","2,536,478,206.48"
10-Oct-2023,206.35,+2.05,+1.00%,205.02,204.20,207.03,"513,795","105,986,982.00","2,282,327,069.48"
09-Oct-2023,204.30,+1.84,+0.91%,201.46,201.46,204.60,"661,428","134,820,222.00","2,176,340,087.48"
06-Oct-2023,202.46,+1.82,+0.91%,199.83,199.61,204.17,"573,260","115,934,497.00","2,041,519,865.48"
05-Oct-2023,200.64,-1.63,-0.81%,202.17,199.55,202.28,"679,331","136,367,153.00","1,925,585,368.48"
04-Oct-2023,202.27,-1.51,-0.74%,203.50,201.47,204.99,"484,659","98,095,301.00","2,061,952,521.48"
03-Oct-2023,203.78,+1.14,+0.56%,201.94,201.94,205.00,"527,729","107,485,058.00","2,160,047,822.48"
02-Oct-2023,202.64,-0.99,-0.49%,201.89,200.26,202.81,"555,799","112,361,376.00","2,052,562,764.48"
29-Sep-2023,203.63,-0.48,-0.24%,205.88,203.37,205.88,"842,429","171,789,685.00","2,164,924,140.48"
28-Sep-2023,204.11,+1.71,+0.84%,202.43,201.59,204.82,"584,134","119,106,655.00","2,336,713,825.48"
27-Sep-2023,202.40,-2.44,-1.19%,205.21,201.49,205.38,"845,238","171,158,295.00","2,217,607,170.48"
26-Sep-2023,204.84,-3.64,-1.75%,207.36,204.70,207.98,"537,840","110,420,915.00","2,388,765,465.48"
25-Sep-2023,208.48,-0.76,-0.36%,207.95,207.21,209.49,"399,989","83,400,498.00","2,499,186,380.48"
22-Sep-2023,209.24,-2.16,-1.02%,210.71,208.75,212.84,"629,482","131,909,028.00","2,582,586,878.48"
21-Sep-2023,211.40,-1.58,-0.74%,212.06,210.86,213.29,"672,110","142,318,095.00","2,714,495,906.48"
20-Sep-2023,212.98,+1.21,+0.57%,213.12,212.94,214.90,"710,171","151,472,759.00","2,856,814,001.48"
19-Sep-2023,211.77,-1.38,-0.65%,212.65,209.95,213.39,"1,015,256","214,911,913.00","2,705,341,242.48"
18-Sep-2023,213.15,-0.17,-0.08%,214.18,211.93,214.37,"1,126,408","240,146,832.00","2,920,253,155.48"
15-Sep-2023,213.32,-2.38,-1.10%,213.51,212.24,214.21,"2,290,475","488,647,105.00","3,160,399,987.48"
14-Sep-2023,215.70,+3.57,+1.68%,214.14,212.12,216.50,"1,172,306","252,774,886.00","3,649,047,092.48"
13-Sep-2023,212.13,-1.74,-0.81%,213.90,210.78,213.90,"1,164,644","247,114,905.00","3,396,272,206.48"
12-Sep-2023,213.87,+2.26,+1.07%,211.04,207.08,214.86,"601,434","128,141,859.00","3,643,387,111.48"
11-Sep-2023,211.61,-0.19,-0.09%,212.51,210.08,212.81,"535,184","113,211,959.00","3,515,245,252.48"
08-Sep-2023,211.80,+1.23,+0.58%,210.32,209.09,212.12,"1,140,683","241,279,660.00","3,628,457,211.48"
07-Sep-2023,210.57,-2.26,-1.06%,212.42,209.90,213.67,"773,709","163,191,847.00","3,387,177,551.48"
06-Sep-2023,212.83,-2.88,-1.34%,215.83,211.74,215.83,"706,576","150,565,302.00","3,550,369,398.48"
05-Sep-2023,215.71,-5.32,-2.41%,219.47,215.20,219.47,"768,028","166,073,403.00","3,700,934,700.48"
01-Sep-2023,221.03,+0.46,+0.21%,221.64,219.76,222.31,"750,361","165,750,454.00","3,867,008,103.48"
31-Aug-2023,220.57,-2.32,-1.04%,222.90,220.55,223.72,"754,885","166,795,937.00","3,701,257,649.48"
30-Aug-2023,222.89,-0.55,-0.25%,222.81,221.67,224.03,"719,812","160,356,408.00","3,868,053,586.48"
29-Aug-2023,223.44,-1.10,-0.49%,224.43,223.03,225.15,"583,224","130,454,748.00","4,028,409,994.48"
28-Aug-2023,224.54,+0.36,+0.16%,224.87,223.88,227.20,"432,430","97,325,246.00","4,158,864,742.48"
25-Aug-2023,224.18,+1.66,+0.75%,223.23,222.30,225.45,"498,826","111,795,877.00","4,061,539,496.48"
24-Aug-2023,222.52,-0.61,-0.27%,222.53,222.52,224.20,"557,871","124,366,929.00","3,949,743,619.48"
23-Aug-2023,223.13,+0.72,+0.32%,222.83,221.38,223.62,"577,219","128,666,491.00","4,074,110,548.48"
22-Aug-2023,222.41,-1.56,-0.70%,224.27,221.57,224.49,"550,347","122,422,652.00","3,945,444,057.48"
21-Aug-2023,223.97,-1.29,-0.57%,225.24,223.43,225.77,"683,444","153,126,482.00","4,067,866,709.48"
18-Aug-2023,225.26,+0.88,+0.39%,223.26,223.26,225.67,"590,150","132,660,982.00","4,220,993,191.48"
17-Aug-2023,224.38,-0.24,-0.11%,225.29,224.11,226.67,"681,690","153,288,268.00","4,088,332,209.48"
16-Aug-2023,224.62,-0.92,-0.41%,225.35,223.69,226.15,"522,409","117,360,068.00","4,241,620,477.48"
15-Aug-2023,225.54,-4.26,-1.85%,228.84,225.46,228.96,"649,202","146,725,301.00","4,358,980,545.48"
14-Aug-2023,229.80,+0.31,+0.14%,228.67,228.29,229.99,"457,595","105,051,388.00","4,505,705,846.48"
11-Aug-2023,229.49,-0.81,-0.35%,229.75,229.37,230.91,"553,412","127,121,864.00","4,400,654,458.48"
10-Aug-2023,230.30,+1.05,+0.46%,229.97,229.56,231.30,"814,249","187,559,550.00","4,527,776,322.48"
09-Aug-2023,229.25,+0.62,+0.27%,227.25,226.77,229.78,"662,937","151,790,539.00","4,340,216,772.48"
08-Aug-2023,228.63,-1.07,-0.47%,230.31,226.49,230.31,"598,496","136,801,752.00","4,188,426,233.48"
07-Aug-2023,229.70,+1.17,+0.51%,230.31,228.88,231.82,"669,177","153,859,980.00","4,325,227,985.48"
04-Aug-2023,228.53,-1.36,-0.59%,230.52,228.26,232.82,"662,478","151,796,959.00","4,171,368,005.48"
03-Aug-2023,229.89,-0.31,-0.13%,229.59,228.55,231.70,"564,161","129,894,471.00","4,323,164,964.48"
02-Aug-2023,230.20,-1.30,-0.56%,231.42,229.89,232.42,"782,701","180,457,530.00","4,453,059,435.48"
01-Aug-2023,231.50,-0.52,-0.22%,231.49,229.30,232.07,"1,021,977","236,297,648.00","4,633,516,965.48"
31-Jul-2023,232.02,-0.75,-0.32%,232.73,230.46,234.49,"959,975","222,756,472.00","4,869,814,613.48"
28-Jul-2023,232.77,+0.67,+0.29%,231.86,230.48,235.14,"922,393","214,779,842.00","5,092,571,085.48"
27-Jul-2023,232.10,-5.90,-2.48%,235.45,230.45,236.20,"1,282,357","298,038,790.00","4,877,791,243.48"
26-Jul-2023,238.00,+22.45,+10.42%,237.43,233.77,240.44,"2,273,742","539,625,259.00","5,175,830,033.48"
25-Jul-2023,215.55,-1.39,-0.64%,216.29,214.75,217.44,"759,539","163,978,884.00","4,636,204,774.48"
24-Jul-2023,216.94,+0.16,+0.07%,216.32,216.00,219.09,"702,273","152,630,526.00","4,800,183,658.48"
21-Jul-2023,216.78,0.00,0.00%,213.53,212.21,217.20,"2,315,611","501,242,496.00","4,647,553,132.48"
20-Jul-2023,216.78,+2.53,+1.18%,215.03,214.75,217.58,"932,888","201,962,647.00","4,146,310,636.48"
19-Jul-2023,214.25,+1.63,+0.77%,212.86,212.77,215.00,"558,173","119,601,157.00","3,944,347,989.48"
18-Jul-2023,212.62,+2.76,+1.32%,209.46,209.46,213.00,"574,374","122,010,935.00","3,824,746,832.48"
17-Jul-2023,209.86,-1.13,-0.54%,210.56,209.20,210.73,"388,184","81,481,076.00","3,702,735,897.48"
14-Jul-2023,210.99,+0.38,+0.18%,210.37,210.00,211.49,"392,610","82,794,698.00","3,784,216,973.48"
13-Jul-2023,210.61,+1.69,+0.81%,209.43,208.66,210.92,"698,168","146,834,495.00","3,701,422,275.48"
12-Jul-2023,208.92,+2.13,+1.03%,208.07,206.27,210.61,"875,181","182,777,201.00","3,554,587,780.48"
11-Jul-2023,206.79,+1.93,+0.94%,206.00,205.04,207.17,"557,386","115,147,043.00","3,371,810,579.48"
10-Jul-2023,204.86,+2.04,+1.01%,202.66,202.43,205.40,"710,763","145,396,461.00","3,256,663,536.48"
07-Jul-2023,202.82,+0.31,+0.15%,201.07,200.52,204.41,"643,715","130,653,186.00","3,111,267,075.48"
06-Jul-2023,202.51,-1.40,-0.69%,202.03,200.60,202.77,"407,975","82,536,774.00","2,980,613,889.48"
05-Jul-2023,203.91,-2.22,-1.08%,204.64,203.56,205.74,"591,154","120,670,955.00","3,063,150,663.48"
03-Jul-2023,206.13,+1.51,+0.74%,203.05,202.06,207.02,"281,035","57,855,236.00","3,183,821,618.48"
30-Jun-2023,204.62,-0.03,-0.01%,205.57,203.42,206.52,"888,884","181,967,515.00","3,125,966,382.48"
29-Jun-2023,204.65,+1.56,+0.77%,202.37,201.97,204.86,"532,956","108,754,831.00","3,307,933,897.48"
28-Jun-2023,203.09,+0.11,+0.05%,203.04,201.68,203.27,"777,010","157,598,899.00","3,199,179,066.48"
27-Jun-2023,202.98,+1.65,+0.82%,201.64,200.73,203.36,"718,728","145,747,959.00","3,041,580,167.48"
26-Jun-2023,201.33,+1.44,+0.72%,200.63,199.88,201.78,"633,971","127,543,020.00","2,895,832,208.48"
23-Jun-2023,199.89,-3.48,-1.71%,201.88,199.06,201.95,"2,112,694","422,432,516.00","2,768,289,188.48"
22-Jun-2023,203.37,-0.28,-0.14%,203.63,201.92,203.65,"549,142","111,548,274.00","3,190,721,704.48"
21-Jun-2023,203.65,+2.27,+1.13%,200.47,200.13,204.17,"699,669","142,302,710.00","3,302,269,978.48"
20-Jun-2023,201.38,-3.29,-1.61%,202.94,201.05,204.23,"711,175","143,423,461.00","3,159,967,268.48"
16-Jun-2023,204.67,-1.25,-0.61%,206.37,204.49,206.76,"2,294,465","471,031,617.00","3,303,390,729.48"
15-Jun-2023,205.92,+3.18,+1.57%,203.15,202.94,206.80,"711,694","146,332,604.00","3,774,422,346.48"
14-Jun-2023,202.74,+3.81,+1.92%,200.14,199.60,205.00,"754,418","153,021,660.00","3,628,089,742.48"
13-Jun-2023,198.93,-0.03,-0.02%,197.39,194.68,199.48,"885,392","175,552,668.00","3,475,068,082.48"
