Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,157.23,-0.08,-0.05%,157.16,156.16,158.13,"795,860","125,076,191.00","-7,914,073,219.44"
28-Dec-2023,157.31,+0.47,+0.30%,155.90,155.90,157.74,"726,575","114,234,224.00","-7,788,997,028.44"
27-Dec-2023,156.84,-1.19,-0.75%,158.02,156.28,158.44,"1,495,364","234,604,129.00","-7,903,231,252.44"
26-Dec-2023,158.03,-0.22,-0.14%,157.42,157.40,158.54,"890,388","140,678,290.00","-7,668,627,123.44"
22-Dec-2023,158.25,+1.09,+0.69%,158.00,157.82,159.58,"662,874","104,990,681.00","-7,527,948,833.44"
21-Dec-2023,157.16,+0.20,+0.13%,157.60,155.25,157.86,"875,847","137,402,301.00","-7,632,939,514.44"
20-Dec-2023,156.96,-4.66,-2.88%,157.00,156.72,160.52,"1,400,989","220,749,142.00","-7,770,341,815.44"
19-Dec-2023,161.62,+0.05,+0.03%,162.01,160.27,162.06,"744,159","120,245,606.00","-7,549,592,673.44"
18-Dec-2023,161.57,-1.37,-0.84%,163.38,161.39,163.80,"960,856","155,643,630.00","-7,669,838,279.44"
15-Dec-2023,162.94,+0.58,+0.36%,160.06,160.06,163.77,"5,282,529","858,491,974.00","-7,514,194,649.44"
14-Dec-2023,162.36,+5.11,+3.25%,159.33,159.33,163.44,"1,807,072","292,964,362.00","-8,372,686,623.44"
13-Dec-2023,157.25,+1.88,+1.21%,154.84,154.05,157.37,"1,110,109","174,087,246.00","-8,665,650,985.44"
12-Dec-2023,155.37,-0.41,-0.26%,155.97,154.92,157.07,"941,435","146,348,682.00","-8,839,738,231.44"
11-Dec-2023,155.78,-0.52,-0.33%,155.65,154.84,156.30,"969,080","150,864,662.00","-8,693,389,549.44"
08-Dec-2023,156.30,-0.20,-0.13%,156.34,156.00,157.62,"827,996","129,539,877.00","-8,542,524,887.44"
07-Dec-2023,156.50,+1.21,+0.78%,155.87,155.52,157.59,"887,820","138,997,179.00","-8,412,985,010.44"
06-Dec-2023,155.29,+1.13,+0.73%,155.02,154.50,156.04,"799,125","124,045,048.00","-8,551,982,189.44"
05-Dec-2023,154.16,-1.76,-1.13%,155.00,153.75,155.53,"699,042","107,892,054.00","-8,676,027,237.44"
04-Dec-2023,155.92,+1.01,+0.65%,153.75,153.61,156.23,"799,591","124,527,619.00","-8,568,135,183.44"
01-Dec-2023,154.91,+3.30,+2.18%,152.10,151.07,154.96,"931,759","143,844,923.00","-8,692,662,802.44"
30-Nov-2023,151.61,-0.68,-0.45%,152.85,150.81,153.04,"2,189,246","332,001,556.00","-8,836,507,725.44"
29-Nov-2023,152.29,+1.55,+1.03%,151.52,151.52,153.45,"694,270","105,793,930.00","-8,504,506,169.44"
28-Nov-2023,150.74,+1.15,+0.77%,149.70,149.00,151.02,"917,926","138,230,949.00","-8,610,300,099.44"
27-Nov-2023,149.59,-2.44,-1.60%,151.04,149.57,151.04,"908,244","136,123,361.00","-8,748,531,048.44"
24-Nov-2023,152.03,+1.28,+0.85%,151.17,150.87,152.03,"463,937","70,441,340.00","-8,612,407,687.44"
22-Nov-2023,150.75,+0.98,+0.65%,150.96,149.95,151.24,"726,854","109,525,889.00","-8,682,849,027.44"
21-Nov-2023,149.77,+0.20,+0.13%,149.50,148.51,150.10,"816,904","122,295,908.00","-8,792,374,916.44"
20-Nov-2023,149.57,+1.59,+1.07%,147.85,146.88,150.28,"1,148,131","171,230,550.00","-8,914,670,824.44"
17-Nov-2023,147.98,+1.07,+0.73%,147.68,146.20,148.04,"1,031,911","152,545,944.00","-9,085,901,374.44"
16-Nov-2023,146.91,-0.26,-0.18%,147.27,145.66,148.20,"967,737","142,079,351.00","-9,238,447,318.44"
15-Nov-2023,147.17,+4.00,+2.79%,144.00,144.00,147.89,"1,269,838","186,500,069.00","-9,096,367,967.44"
14-Nov-2023,143.17,+5.00,+3.62%,140.04,140.04,143.77,"1,403,220","200,594,556.00","-9,282,868,036.44"
13-Nov-2023,138.17,+0.06,+0.04%,137.67,137.10,138.54,"770,153","106,259,961.00","-9,483,462,592.44"
10-Nov-2023,138.11,-1.84,-1.31%,138.71,136.66,138.80,"1,275,933","175,899,559.00","-9,589,722,553.44"
09-Nov-2023,139.95,-2.00,-1.41%,142.94,139.88,142.94,"797,818","112,002,063.00","-9,413,822,994.44"
08-Nov-2023,141.95,+0.10,+0.07%,141.87,141.51,143.38,"792,913","112,622,906.00","-9,301,820,931.44"
07-Nov-2023,141.85,-0.42,-0.30%,141.13,140.67,142.09,"798,974","113,262,194.00","-9,414,443,837.44"
06-Nov-2023,142.27,-0.59,-0.41%,143.24,141.40,143.36,"774,930","110,252,046.00","-9,301,181,643.44"
03-Nov-2023,142.86,+0.87,+0.61%,143.23,142.82,144.77,"821,658","117,543,714.00","-9,190,929,597.44"
02-Nov-2023,141.99,+2.19,+1.57%,142.07,141.72,143.38,"955,349","135,813,851.00","-9,308,473,311.44"
01-Nov-2023,139.80,-1.45,-1.03%,141.38,138.11,142.03,"933,121","130,509,939.00","-9,444,287,162.44"
31-Oct-2023,141.25,+2.47,+1.78%,138.74,138.25,141.32,"1,182,543","166,548,750.00","-9,313,777,223.44"
30-Oct-2023,138.78,+3.95,+2.93%,135.91,134.31,139.21,"1,065,726","146,957,783.00","-9,480,325,973.44"
27-Oct-2023,134.83,-3.38,-2.45%,138.43,133.72,139.60,"1,433,646","194,140,907.00","-9,627,283,756.44"
26-Oct-2023,138.21,-8.72,-5.93%,143.00,137.93,146.03,"2,055,017","285,859,583.00","-9,433,142,849.44"
25-Oct-2023,146.93,-2.39,-1.60%,148.55,146.01,148.86,"907,549","133,458,890.00","-9,147,283,266.44"
24-Oct-2023,149.32,+1.16,+0.78%,148.74,148.34,150.21,"698,512","104,227,160.00","-9,013,824,376.44"
23-Oct-2023,148.16,-3.80,-2.50%,151.25,147.92,151.46,"1,001,705","149,097,020.00","-9,118,051,536.44"
20-Oct-2023,151.96,-0.10,-0.07%,152.34,151.94,153.29,"2,236,937","340,170,677.00","-8,968,954,516.44"
19-Oct-2023,152.06,-1.76,-1.14%,154.47,151.78,155.09,"795,609","121,269,756.00","-8,628,783,839.44"
18-Oct-2023,153.82,-3.36,-2.14%,155.50,153.65,155.79,"688,054","106,133,485.00","-8,507,514,083.44"
17-Oct-2023,157.18,+0.53,+0.34%,155.19,155.03,157.66,"680,972","106,827,663.00","-8,401,380,598.44"
16-Oct-2023,156.65,+1.57,+1.01%,156.74,156.34,158.48,"896,828","140,729,055.00","-8,508,208,261.44"
13-Oct-2023,155.08,-0.30,-0.19%,156.12,154.64,157.22,"694,040","107,804,512.00","-8,648,937,316.44"
12-Oct-2023,155.38,+0.08,+0.05%,155.50,153.66,155.55,"518,479","80,436,265.00","-8,541,132,804.44"
11-Oct-2023,155.30,-0.25,-0.16%,155.62,153.47,156.23,"683,854","106,151,504.00","-8,621,569,069.44"
10-Oct-2023,155.55,+1.21,+0.78%,154.51,154.44,156.43,"561,927","87,387,985.00","-8,515,417,565.44"
09-Oct-2023,154.34,+0.07,+0.05%,153.45,152.62,154.80,"471,682","72,705,006.00","-8,602,805,550.44"
06-Oct-2023,154.27,+0.89,+0.58%,152.88,152.39,155.12,"686,323","105,803,816.00","-8,675,510,556.44"
05-Oct-2023,153.38,-0.34,-0.22%,153.04,152.62,153.98,"742,684","113,909,799.00","-8,781,314,372.44"
04-Oct-2023,153.72,-0.03,-0.02%,154.40,152.47,155.33,"871,302","133,929,279.00","-8,667,404,573.44"
03-Oct-2023,153.75,-1.33,-0.86%,154.32,153.05,156.28,"902,663","138,920,851.00","-8,533,475,294.44"
02-Oct-2023,155.08,-0.79,-0.51%,155.05,153.67,155.33,"688,326","106,575,152.00","-8,394,554,443.44"
29-Sep-2023,155.87,+0.37,+0.24%,156.50,155.09,157.33,"1,559,783","243,184,900.00","-8,287,979,291.44"
28-Sep-2023,155.50,+3.09,+2.03%,152.63,152.43,155.56,"909,054","140,984,518.00","-8,531,164,191.44"
27-Sep-2023,152.41,+0.51,+0.34%,152.48,150.56,152.71,"844,437","128,504,843.00","-8,672,148,709.44"
26-Sep-2023,151.90,-2.41,-1.56%,153.00,151.84,153.97,"944,510","143,749,891.00","-8,800,653,552.44"
25-Sep-2023,154.31,+0.53,+0.34%,152.97,152.97,155.36,"714,224","110,240,454.00","-8,656,903,661.44"
22-Sep-2023,153.78,-1.65,-1.06%,155.42,153.51,155.82,"823,531","126,866,769.00","-8,767,144,115.44"
21-Sep-2023,155.43,-2.21,-1.40%,157.20,155.23,157.56,"958,598","149,366,440.00","-8,640,277,346.44"
20-Sep-2023,157.64,-0.37,-0.23%,158.60,157.37,159.42,"686,019","108,344,652.00","-8,490,910,906.44"
19-Sep-2023,158.01,-0.43,-0.27%,158.30,156.52,158.64,"714,521","112,839,720.00","-8,382,566,254.44"
18-Sep-2023,158.44,-2.05,-1.28%,159.91,158.09,160.01,"620,883","98,491,637.00","-8,269,726,534.44"
15-Sep-2023,160.49,-0.24,-0.15%,160.73,159.65,161.46,"2,046,697","328,575,013.00","-8,171,234,897.44"
14-Sep-2023,160.73,+2.89,+1.83%,159.91,159.04,160.87,"835,540","134,124,357.00","-7,842,659,884.44"
13-Sep-2023,157.84,+1.27,+0.81%,156.56,155.90,158.02,"892,849","140,585,311.00","-7,976,784,241.44"
12-Sep-2023,156.57,-4.32,-2.69%,157.66,155.11,157.80,"1,228,430","192,490,248.00","-8,117,369,552.44"
11-Sep-2023,160.89,-0.15,-0.09%,161.87,160.34,162.28,"957,284","154,080,658.00","-7,924,879,304.44"
08-Sep-2023,161.04,-1.20,-0.74%,162.42,160.62,162.42,"739,495","119,178,427.00","-7,770,798,646.44"
07-Sep-2023,162.24,-0.07,-0.04%,161.99,160.52,162.63,"678,816","110,046,586.00","-7,651,620,219.44"
06-Sep-2023,162.31,-1.66,-1.01%,163.88,161.49,164.17,"907,283","147,369,011.00","-7,541,573,633.44"
05-Sep-2023,163.97,-4.03,-2.40%,167.50,163.62,168.00,"1,403,200","230,773,504.00","-7,394,204,622.44"
01-Sep-2023,168.00,-1.40,-0.83%,170.57,167.41,170.68,"775,536","130,437,745.00","-7,163,431,118.44"
31-Aug-2023,169.40,-2.61,-1.52%,172.03,169.32,172.63,"1,176,483","199,751,852.00","-7,032,993,373.44"
30-Aug-2023,172.01,+0.26,+0.15%,172.05,171.00,172.70,"534,818","91,980,095.00","-6,833,241,521.44"
29-Aug-2023,171.75,+2.91,+1.72%,169.46,169.28,171.92,"785,598","134,678,152.00","-6,925,221,616.44"
28-Aug-2023,168.84,-0.03,-0.02%,169.70,167.97,170.64,"464,409","78,504,909.00","-7,059,899,768.44"
25-Aug-2023,168.87,+1.87,+1.12%,167.43,166.94,169.31,"563,117","94,881,302.00","-6,981,394,859.44"
24-Aug-2023,167.00,-1.88,-1.11%,168.03,166.97,168.76,"583,854","97,700,617.00","-7,076,276,161.44"
23-Aug-2023,168.88,+2.02,+1.21%,167.71,167.40,169.31,"575,642","97,116,691.00","-6,978,575,544.44"
22-Aug-2023,166.86,-1.63,-0.97%,169.00,166.40,170.35,"792,043","132,443,176.00","-7,075,692,235.44"
21-Aug-2023,168.49,-2.75,-1.61%,170.91,167.11,171.65,"681,169","114,849,588.00","-6,943,249,059.44"
18-Aug-2023,171.24,+0.50,+0.29%,169.82,169.82,172.13,"738,709","126,388,423.00","-6,828,399,471.44"
17-Aug-2023,170.74,0.00,0.00%,171.36,170.08,171.52,"688,238","117,576,211.00","-6,954,787,894.44"
16-Aug-2023,170.74,-2.52,-1.45%,172.10,170.60,173.52,"679,099","116,267,236.00","-6,837,211,683.44"
15-Aug-2023,173.26,-2.25,-1.28%,174.45,172.80,174.45,"603,647","104,675,709.00","-6,720,944,447.44"
14-Aug-2023,175.51,-1.11,-0.63%,176.12,174.59,176.44,"843,649","148,055,215.00","-6,616,268,738.44"
11-Aug-2023,176.62,-3.76,-2.08%,177.87,175.94,178.92,"692,653","122,488,999.00","-6,468,213,523.44"
10-Aug-2023,180.38,+1.01,+0.56%,180.12,179.93,182.25,"905,678","163,665,964.00","-6,345,724,524.44"
09-Aug-2023,179.37,-1.18,-0.65%,179.00,178.59,181.30,"808,695","145,178,350.00","-6,509,390,488.44"
08-Aug-2023,180.55,-1.60,-0.88%,183.25,176.16,184.24,"1,142,117","206,337,407.00","-6,364,212,138.44"
07-Aug-2023,182.15,+1.21,+0.67%,182.00,180.76,183.24,"865,697","157,720,026.00","-6,157,874,731.44"
04-Aug-2023,180.94,-0.56,-0.31%,182.13,180.50,182.53,"939,088","170,149,278.00","-6,315,594,757.44"
03-Aug-2023,181.50,-1.85,-1.01%,182.34,181.28,184.53,"1,028,478","187,223,491.00","-6,145,445,479.44"
02-Aug-2023,183.35,-2.15,-1.16%,184.14,182.85,185.27,"630,362","115,698,638.00","-5,958,221,988.44"
01-Aug-2023,185.50,-1.63,-0.87%,186.86,183.77,186.91,"721,054","133,630,420.00","-5,842,523,350.44"
31-Jul-2023,187.13,-0.76,-0.40%,187.75,186.21,188.30,"805,547","150,782,042.00","-5,708,892,930.44"
28-Jul-2023,187.89,+1.37,+0.73%,188.26,187.69,189.58,"558,937","105,156,481.00","-5,558,110,888.44"
27-Jul-2023,186.52,+2.13,+1.16%,184.77,184.05,187.22,"759,623","141,460,134.00","-5,663,267,369.44"
26-Jul-2023,184.39,-0.30,-0.16%,183.25,181.74,185.06,"1,061,144","195,356,215.00","-5,804,727,503.44"
25-Jul-2023,184.69,-3.65,-1.94%,187.68,182.33,192.81,"1,335,328","249,098,018.00","-5,609,371,288.44"
24-Jul-2023,188.34,+1.04,+0.56%,185.86,185.86,189.34,"620,970","116,848,610.00","-5,360,273,270.44"
21-Jul-2023,187.30,+0.36,+0.19%,187.04,186.89,189.48,"2,022,709","379,130,908.00","-5,477,121,880.44"
20-Jul-2023,186.94,+0.92,+0.49%,186.65,185.61,188.19,"689,145","128,942,742.00","-5,856,252,788.44"
19-Jul-2023,186.02,+1.45,+0.79%,184.86,184.80,186.42,"1,022,263","190,031,755.00","-5,985,195,530.44"
18-Jul-2023,184.57,+1.83,+1.00%,183.26,182.92,184.89,"767,563","141,496,751.00","-6,175,227,285.44"
17-Jul-2023,182.74,-2.52,-1.36%,184.48,182.42,184.48,"645,816","118,153,601.00","-6,316,724,036.44"
14-Jul-2023,185.26,-0.10,-0.05%,184.78,184.00,185.56,"625,143","115,689,396.00","-6,198,570,435.44"
13-Jul-2023,185.36,-1.13,-0.61%,186.64,185.33,187.65,"730,128","135,597,279.00","-6,082,881,039.44"
12-Jul-2023,186.49,+1.25,+0.67%,187.07,185.47,187.61,"906,160","169,029,188.00","-5,947,283,760.44"
11-Jul-2023,185.24,+3.91,+2.16%,182.10,181.36,185.50,"671,494","124,076,582.00","-6,116,312,948.44"
10-Jul-2023,181.33,+1.57,+0.87%,179.90,179.90,182.43,"715,867","129,771,335.00","-6,240,389,530.44"
07-Jul-2023,179.76,+0.48,+0.27%,178.11,178.11,181.69,"847,245","152,408,727.00","-6,370,160,865.44"
06-Jul-2023,179.28,-0.69,-0.38%,178.45,177.61,179.40,"866,597","155,122,198.00","-6,522,569,592.44"
05-Jul-2023,179.97,-3.80,-2.07%,179.17,178.79,181.66,"1,297,272","233,421,052.00","-6,367,447,394.44"
03-Jul-2023,183.77,+4.52,+2.52%,178.26,178.26,184.16,"732,024","133,990,631.00","-6,134,026,342.44"
30-Jun-2023,179.25,+3.20,+1.82%,176.66,175.56,179.65,"1,687,342","301,782,292.00","-6,268,016,973.44"
29-Jun-2023,176.05,+0.39,+0.22%,175.28,174.81,176.18,"628,064","110,399,383.00","-6,569,799,265.44"
28-Jun-2023,175.66,+0.99,+0.57%,174.12,173.69,176.06,"706,111","123,842,423.00","-6,680,198,648.44"
27-Jun-2023,174.67,+1.92,+1.11%,173.72,172.51,175.49,"786,489","137,307,970.00","-6,804,041,071.44"
26-Jun-2023,172.75,+3.46,+2.04%,169.22,169.22,173.02,"1,139,841","196,407,857.00","-6,941,349,041.44"
23-Jun-2023,169.29,-2.09,-1.22%,169.60,168.73,171.16,"4,245,409","719,397,904.00","-7,137,756,898.44"
22-Jun-2023,171.38,-2.25,-1.30%,172.16,170.97,173.47,"1,352,704","232,338,390.00","-6,418,358,994.44"
21-Jun-2023,173.63,-3.64,-2.05%,174.77,172.89,176.51,"1,902,010","330,558,912.00","-6,186,020,604.44"
20-Jun-2023,177.27,-1.31,-0.73%,177.57,176.62,178.54,"1,468,128","260,410,600.00","-5,855,461,692.44"
16-Jun-2023,178.58,-0.42,-0.23%,180.07,176.10,180.15,"4,633,832","828,647,183.00","-5,595,051,092.44"
15-Jun-2023,179.00,+4.12,+2.36%,175.46,175.44,179.29,"1,759,575","314,439,883.00","-4,766,403,909.44"
14-Jun-2023,174.88,+1.99,+1.15%,173.66,173.41,176.68,"2,040,355","356,999,327.00","-5,080,843,792.44"
13-Jun-2023,172.89,+1.39,+0.81%,171.35,171.19,173.34,"861,658","148,715,362.00","-5,437,843,119.44"
12-Jun-2023,171.50,+1.01,+0.59%,170.83,170.03,171.79,"1,059,864","181,584,934.00","-5,586,558,481.44"
09-Jun-2023,170.49,-0.99,-0.58%,171.00,169.59,171.29,"798,592","136,151,548.00","-5,768,143,415.44"
08-Jun-2023,171.48,-0.02,-0.01%,171.48,169.64,171.62,"1,219,249","208,760,867.00","-5,631,991,867.44"
07-Jun-2023,171.50,+3.91,+2.33%,167.45,167.09,171.66,"1,158,160","197,664,861.00","-5,423,231,000.44"
06-Jun-2023,167.59,-0.26,-0.15%,166.19,166.19,168.59,"913,157","152,951,870.00","-5,620,895,861.44"
05-Jun-2023,167.85,-2.29,-1.35%,169.95,167.62,169.95,"756,010","127,144,450.00","-5,467,943,991.44"
02-Jun-2023,170.14,+2.31,+1.38%,168.76,167.96,170.94,"966,301","164,290,948.00","-5,340,799,541.44"
01-Jun-2023,167.83,+0.83,+0.50%,167.51,166.23,168.89,"864,981","145,206,723.00","-5,505,090,489.44"
31-May-2023,167.00,-2.76,-1.63%,169.22,166.30,169.22,"2,002,658","334,467,015.00","-5,650,297,212.44"
30-May-2023,169.76,-1.81,-1.05%,171.45,168.93,171.77,"692,066","117,568,200.00","-5,315,830,197.44"
26-May-2023,171.57,+0.34,+0.20%,171.73,171.18,172.89,"660,799","113,491,686.00","-5,198,261,997.44"
25-May-2023,171.23,+3.51,+2.09%,168.58,168.17,172.04,"1,000,732","171,073,452.00","-5,311,753,683.44"
24-May-2023,167.72,-2.07,-1.22%,168.85,167.49,169.65,"691,012","116,113,082.00","-5,482,827,135.44"
23-May-2023,169.79,-1.72,-1.00%,170.66,169.25,172.22,"871,732","148,352,568.00","-5,366,714,053.44"
22-May-2023,171.51,+0.58,+0.34%,171.61,169.35,171.82,"941,823","161,356,635.00","-5,218,361,485.44"
19-May-2023,170.93,-0.11,-0.06%,170.86,169.38,171.41,"787,777","134,590,788.00","-5,379,718,120.44"
18-May-2023,171.04,-0.32,-0.19%,171.64,169.81,173.41,"869,413","148,764,727.00","-5,245,127,332.44"
17-May-2023,171.36,+4.75,+2.85%,167.50,166.77,171.76,"1,216,731","207,691,396.00","-5,096,362,605.44"
16-May-2023,166.61,-2.24,-1.33%,167.23,166.19,167.78,"1,081,991","180,438,395.00","-5,304,054,001.44"
15-May-2023,168.85,+0.35,+0.21%,167.56,166.38,168.90,"864,942","145,666,762.00","-5,123,615,606.44"
12-May-2023,168.50,-1.73,-1.02%,169.04,166.89,169.86,"874,507","147,323,611.00","-5,269,282,368.44"
11-May-2023,170.23,-1.34,-0.78%,171.60,169.23,171.73,"1,091,255","185,748,491.00","-5,121,958,757.44"
10-May-2023,171.57,-1.44,-0.83%,173.70,169.88,173.95,"838,994","144,051,800.00","-4,936,210,266.44"
09-May-2023,173.01,-1.38,-0.79%,172.78,172.15,173.74,"685,981","118,685,792.00","-4,792,158,466.44"
08-May-2023,174.39,-1.35,-0.77%,176.05,173.61,176.36,"841,545","146,852,955.00","-4,673,472,674.44"
05-May-2023,175.74,+2.45,+1.41%,175.12,173.80,176.25,"731,573","128,330,023.00","-4,526,619,719.44"
04-May-2023,173.29,-2.54,-1.44%,174.55,172.86,174.91,"944,322","163,833,718.00","-4,654,949,742.44"
03-May-2023,175.83,-2.01,-1.13%,177.50,175.50,177.87,"996,308","175,520,055.00","-4,491,116,024.44"
02-May-2023,177.84,-4.36,-2.39%,180.43,177.68,180.47,"942,496","168,017,685.00","-4,315,595,969.44"
01-May-2023,182.20,+2.39,+1.33%,180.25,179.81,182.68,"811,981","147,841,054.00","-4,147,578,284.44"
28-Apr-2023,179.81,+2.05,+1.15%,176.84,176.84,180.46,"946,449","169,946,988.00","-4,295,419,338.44"
27-Apr-2023,177.76,+5.19,+3.01%,172.81,172.24,178.13,"985,169","173,939,464.00","-4,465,366,326.44"
26-Apr-2023,172.57,-3.72,-2.11%,175.05,172.14,177.01,"1,159,067","201,158,406.00","-4,639,305,790.44"
