Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,90.17,-0.99,-1.09%,90.63,90.06,91.20,"921,866","83,204,359.00","1,727,095,571.25"
28-Dec-2023,91.16,+0.11,+0.12%,90.75,90.54,91.25,"430,975","39,252,131.00","1,810,299,930.25"
27-Dec-2023,91.05,+0.59,+0.65%,90.42,90.36,91.07,"436,432","39,697,972.00","1,771,047,799.25"
26-Dec-2023,90.46,+0.50,+0.56%,89.96,89.54,90.71,"292,255","26,408,527.00","1,731,349,827.25"
22-Dec-2023,89.96,+0.01,+0.01%,90.34,89.77,91.20,"534,624","48,210,539.00","1,704,941,300.25"
21-Dec-2023,89.95,+1.42,+1.60%,89.41,88.62,89.97,"576,033","51,700,450.00","1,656,730,761.25"
20-Dec-2023,88.53,-1.76,-1.95%,89.97,88.50,90.34,"980,683","87,082,647.00","1,605,030,311.25"
19-Dec-2023,90.29,+0.15,+0.17%,90.39,90.10,91.02,"836,239","75,551,346.00","1,692,112,958.25"
18-Dec-2023,90.14,-0.65,-0.72%,91.88,89.39,91.89,"1,170,260","105,535,018.00","1,616,561,612.25"
15-Dec-2023,90.79,-1.08,-1.18%,91.32,89.83,91.89,"4,291,195","389,929,932.00","1,722,096,630.25"
14-Dec-2023,91.87,+1.02,+1.12%,91.99,90.97,93.40,"1,217,186","111,943,707.00","2,112,026,562.25"
13-Dec-2023,90.85,+2.25,+2.54%,88.74,88.26,91.33,"887,757","80,456,245.00","2,000,082,855.25"
12-Dec-2023,88.60,+0.53,+0.60%,88.33,87.87,89.05,"685,674","60,757,699.00","1,919,626,610.25"
11-Dec-2023,88.07,+0.35,+0.40%,87.59,87.28,88.16,"720,525","63,412,478.00","1,858,868,911.25"
08-Dec-2023,87.72,+0.21,+0.24%,87.00,86.81,88.03,"746,143","65,387,576.00","1,795,456,433.25"
07-Dec-2023,87.51,+0.09,+0.10%,87.68,86.95,87.73,"972,295","85,058,090.00","1,730,068,857.25"
06-Dec-2023,87.42,-2.46,-2.74%,90.00,87.27,90.31,"1,084,029","95,184,975.00","1,645,010,767.25"
05-Dec-2023,89.88,+0.06,+0.07%,89.51,89.32,90.16,"1,186,748","106,632,868.00","1,740,195,742.25"
04-Dec-2023,89.82,+0.36,+0.40%,88.77,88.28,89.97,"1,062,258","95,316,262.00","1,633,562,874.25"
01-Dec-2023,89.46,+0.36,+0.40%,89.09,89.09,90.39,"934,850","83,708,174.00","1,538,246,612.25"
30-Nov-2023,89.10,+0.90,+1.02%,88.20,87.49,89.22,"3,940,502","350,859,966.00","1,454,538,438.25"
29-Nov-2023,88.20,-1.11,-1.24%,89.73,88.00,89.77,"903,951","79,890,118.00","1,103,678,472.25"
28-Nov-2023,89.31,-0.81,-0.90%,89.41,88.95,90.13,"939,892","83,989,656.00","1,183,568,590.25"
27-Nov-2023,90.12,+0.50,+0.56%,89.60,89.42,90.63,"649,888","58,558,225.00","1,267,558,246.25"
24-Nov-2023,89.62,+0.92,+1.04%,88.67,88.10,89.72,"275,477","24,650,280.00","1,209,000,021.25"
22-Nov-2023,88.70,-0.04,-0.05%,89.45,87.89,89.50,"547,949","48,576,409.00","1,184,349,741.25"
21-Nov-2023,88.74,+0.19,+0.21%,88.14,87.87,89.14,"664,406","58,945,371.00","1,232,926,150.25"
20-Nov-2023,88.55,+1.06,+1.21%,87.54,87.32,89.07,"792,577","70,148,065.00","1,173,980,779.25"
17-Nov-2023,87.49,+0.72,+0.83%,87.47,86.60,87.76,"900,127","78,731,558.00","1,103,832,714.25"
16-Nov-2023,86.77,+0.49,+0.57%,86.47,86.36,87.56,"901,583","78,273,444.00","1,025,101,156.25"
15-Nov-2023,86.28,-0.66,-0.76%,86.83,86.24,87.62,"1,201,986","103,861,458.00","946,827,712.25"
14-Nov-2023,86.94,+1.47,+1.72%,87.82,86.90,88.08,"1,159,570","100,957,661.00","1,050,689,170.25"
13-Nov-2023,85.47,-0.51,-0.59%,84.94,84.47,85.59,"817,656","69,837,355.00","949,731,509.25"
10-Nov-2023,85.98,+1.34,+1.58%,85.49,84.96,86.16,"1,947,105","167,352,942.00","1,019,568,864.25"
09-Nov-2023,84.64,-1.73,-2.00%,86.96,84.55,87.23,"802,747","68,219,409.00","852,215,922.25"
08-Nov-2023,86.37,+0.72,+0.84%,86.09,85.48,86.72,"4,797,208","414,295,607.00","920,435,331.25"
07-Nov-2023,85.65,-2.49,-2.83%,85.80,85.60,86.72,"2,570,400","220,493,777.00","506,139,724.25"
06-Nov-2023,88.14,-0.31,-0.35%,88.07,87.40,88.44,"526,618","46,335,996.00","726,633,501.25"
03-Nov-2023,88.45,+0.65,+0.74%,89.00,88.23,89.69,"859,424","76,182,543.00","772,969,497.25"
02-Nov-2023,87.80,+2.37,+2.77%,86.69,86.62,88.07,"849,880","74,503,226.00","696,786,954.25"
01-Nov-2023,85.43,+1.82,+2.18%,83.84,83.17,85.47,"948,160","80,701,915.00","622,283,728.25"
31-Oct-2023,83.61,+1.74,+2.13%,83.97,82.57,85.55,"1,377,413","115,201,482.00","541,581,813.25"
30-Oct-2023,81.87,+0.52,+0.64%,82.25,80.84,82.71,"1,445,996","118,257,343.00","426,380,331.25"
27-Oct-2023,81.35,-1.69,-2.04%,83.48,81.29,83.75,"937,323","76,420,467.00","308,122,988.25"
26-Oct-2023,83.04,+0.37,+0.45%,83.01,82.97,84.00,"649,489","54,058,977.00","384,543,455.25"
25-Oct-2023,82.67,-1.62,-1.92%,83.71,82.52,84.25,"1,071,212","88,803,868.00","330,484,478.25"
24-Oct-2023,84.29,+1.30,+1.57%,83.67,83.67,84.59,"649,970","54,742,214.00","419,288,346.25"
23-Oct-2023,82.99,-0.90,-1.07%,83.11,82.74,83.53,"628,527","52,193,362.00","364,546,132.25"
20-Oct-2023,83.89,-0.03,-0.04%,84.07,83.67,84.58,"765,575","64,284,585.00","416,739,494.25"
19-Oct-2023,83.92,-1.84,-2.15%,85.20,83.76,85.52,"969,220","81,562,475.00","481,024,079.25"
18-Oct-2023,85.76,-0.80,-0.92%,86.06,85.00,86.39,"536,615","46,036,634.00","562,586,554.25"
17-Oct-2023,86.56,+0.89,+1.04%,85.28,85.28,86.96,"844,601","73,014,990.00","608,623,188.25"
16-Oct-2023,85.67,+0.52,+0.61%,85.77,84.58,85.95,"782,001","66,965,882.00","535,608,198.25"
13-Oct-2023,85.15,+0.15,+0.18%,85.58,84.65,85.68,"802,217","68,327,581.00","468,642,316.25"
12-Oct-2023,85.00,-0.81,-0.94%,84.80,84.34,85.39,"757,890","64,408,390.00","400,314,735.25"
11-Oct-2023,85.81,+2.14,+2.56%,84.36,84.23,85.95,"951,632","81,414,537.00","464,723,125.25"
10-Oct-2023,83.67,+1.55,+1.89%,82.09,82.09,84.45,"680,877","56,961,396.00","383,308,588.25"
09-Oct-2023,82.12,+0.64,+0.79%,80.83,80.83,82.38,"702,062","57,543,809.00","326,347,192.25"
06-Oct-2023,81.48,-1.52,-1.83%,82.20,80.55,82.88,"1,071,318","87,494,091.00","268,803,383.25"
05-Oct-2023,83.00,+1.35,+1.65%,81.52,81.52,83.23,"829,264","68,740,069.00","356,297,474.25"
04-Oct-2023,81.65,+2.34,+2.95%,79.77,79.59,81.73,"963,430","78,369,973.00","287,557,405.25"
03-Oct-2023,79.31,-2.42,-2.96%,80.85,78.40,81.39,"955,314","75,875,127.00","209,187,432.25"
02-Oct-2023,81.73,-0.19,-0.23%,81.51,80.70,84.44,"1,242,956","101,888,658.00","285,062,559.25"
29-Sep-2023,81.92,+1.46,+1.81%,83.62,81.40,84.08,"1,610,361","132,277,965.00","386,951,217.25"
28-Sep-2023,80.46,+0.26,+0.32%,80.90,80.36,81.54,"671,177","54,086,961.00","254,673,252.25"
27-Sep-2023,80.20,-0.89,-1.10%,81.55,80.02,82.57,"853,572","68,639,349.00","200,586,291.25"
26-Sep-2023,81.09,-2.10,-2.52%,82.59,81.03,82.73,"743,468","60,370,100.00","269,225,640.25"
25-Sep-2023,83.19,+0.36,+0.43%,82.39,82.29,83.38,"539,560","44,846,982.00","329,595,740.25"
22-Sep-2023,82.83,-0.91,-1.09%,83.67,82.71,84.34,"905,951","75,201,986.00","284,748,758.25"
21-Sep-2023,83.74,-1.52,-1.78%,84.96,83.57,85.33,"704,242","59,136,555.00","359,950,744.25"
20-Sep-2023,85.26,+1.52,+1.82%,84.85,84.53,86.70,"645,321","55,117,709.00","419,087,299.25"
19-Sep-2023,83.74,-1.05,-1.24%,84.98,83.74,85.17,"933,548","78,285,163.00","363,969,590.25"
18-Sep-2023,84.79,+0.42,+0.50%,84.53,83.77,85.23,"906,119","76,825,055.00","442,254,753.25"
15-Sep-2023,84.37,-0.14,-0.17%,84.25,83.84,85.15,"4,909,048","414,126,168.00","365,429,698.25"
14-Sep-2023,84.51,+1.93,+2.34%,83.61,83.61,84.80,"739,576","62,477,714.00","779,555,866.25"
13-Sep-2023,82.58,-1.01,-1.21%,83.56,82.39,84.14,"756,511","62,541,029.00","717,078,152.25"
12-Sep-2023,83.59,-0.15,-0.18%,83.21,83.21,84.34,"591,887","49,533,720.00","779,619,181.25"
11-Sep-2023,83.74,+1.14,+1.38%,83.03,82.84,83.91,"571,736","47,845,838.00","829,152,901.25"
08-Sep-2023,82.60,+0.05,+0.06%,82.55,82.13,83.05,"352,938","29,137,251.00","781,307,063.25"
07-Sep-2023,82.55,+0.57,+0.70%,82.21,82.03,83.24,"470,703","38,858,917.00","752,169,812.25"
06-Sep-2023,81.98,+1.12,+1.39%,81.22,80.86,82.50,"573,904","46,986,040.00","713,310,895.25"
05-Sep-2023,80.86,-1.78,-2.15%,82.66,80.43,82.77,"636,548","51,560,637.00","666,324,855.25"
01-Sep-2023,82.64,-0.24,-0.29%,83.32,82.26,83.76,"485,017","40,101,123.00","717,885,492.25"
31-Aug-2023,82.88,-0.03,-0.04%,83.02,82.70,83.41,"1,614,499","133,829,385.00","757,986,615.25"
30-Aug-2023,82.91,-0.15,-0.18%,83.04,82.45,83.34,"523,418","43,369,920.00","891,816,000.25"
29-Aug-2023,83.06,+1.77,+2.18%,81.29,81.07,83.14,"566,352","46,941,779.00","935,185,920.25"
28-Aug-2023,81.29,+0.26,+0.32%,81.16,81.16,82.19,"278,084","22,635,896.00","888,244,141.25"
25-Aug-2023,81.03,+0.67,+0.83%,80.57,80.44,81.54,"415,505","33,675,574.00","865,608,245.25"
24-Aug-2023,80.36,-0.64,-0.79%,80.93,80.29,82.14,"593,436","47,815,815.00","831,932,671.25"
23-Aug-2023,81.00,+1.15,+1.44%,80.16,80.16,81.11,"556,696","45,038,977.00","879,748,486.25"
22-Aug-2023,79.85,-0.47,-0.59%,80.62,79.63,80.62,"528,954","42,283,852.00","834,709,509.25"
21-Aug-2023,80.32,-0.88,-1.08%,81.20,80.13,81.63,"667,951","53,761,671.00","876,993,361.25"
18-Aug-2023,81.20,-0.59,-0.72%,80.93,80.75,81.74,"798,158","64,804,957.00","930,755,032.25"
17-Aug-2023,81.79,-1.46,-1.75%,83.51,81.77,84.29,"529,016","43,581,344.00","995,559,989.25"
16-Aug-2023,83.25,-0.02,-0.02%,83.35,82.89,84.11,"565,618","47,154,009.00","1,039,141,333.25"
15-Aug-2023,83.27,-1.01,-1.20%,83.85,83.03,84.66,"503,260","42,020,853.00","1,086,295,342.25"
14-Aug-2023,84.28,+0.02,+0.02%,83.25,83.12,84.64,"577,998","48,694,827.00","1,128,316,195.25"
11-Aug-2023,84.26,-0.69,-0.81%,84.76,83.90,85.70,"575,603","48,549,785.00","1,079,621,368.25"
10-Aug-2023,84.95,-0.52,-0.61%,85.83,84.67,86.36,"413,982","35,268,242.00","1,128,171,153.25"
09-Aug-2023,85.47,+0.18,+0.21%,84.70,84.46,86.01,"765,910","65,470,719.00","1,163,439,395.25"
08-Aug-2023,85.29,+0.50,+0.59%,83.78,83.58,85.63,"581,839","49,475,733.00","1,097,968,676.25"
07-Aug-2023,84.79,+2.41,+2.93%,82.70,82.70,85.07,"468,710","39,670,092.00","1,048,492,943.25"
04-Aug-2023,82.38,-1.41,-1.68%,83.38,82.01,84.31,"521,279","43,075,763.00","1,008,822,851.25"
03-Aug-2023,83.79,+0.22,+0.26%,83.25,81.44,83.94,"611,410","50,975,694.00","1,051,898,614.25"
02-Aug-2023,83.57,-1.03,-1.22%,84.50,83.28,84.93,"604,364","50,598,476.00","1,000,922,920.25"
01-Aug-2023,84.60,+2.45,+2.98%,81.78,81.65,85.24,"593,611","50,131,934.00","1,051,521,396.25"
31-Jul-2023,82.15,+1.14,+1.41%,81.40,80.88,82.16,"830,367","68,120,100.00","1,001,389,462.25"
28-Jul-2023,81.01,-0.21,-0.26%,81.97,80.52,82.26,"349,300","28,313,852.00","933,269,362.25"
27-Jul-2023,81.22,-2.02,-2.43%,83.77,81.19,83.77,"467,386","38,125,430.00","961,583,214.25"
26-Jul-2023,83.24,+0.30,+0.36%,82.82,82.31,83.90,"477,827","39,724,648.00","999,708,644.25"
25-Jul-2023,82.94,+0.27,+0.33%,82.83,82.68,83.67,"536,177","44,514,195.00","959,983,996.25"
