Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,49.22,-0.26,-0.53%,49.35,49.21,49.58,"3,964,171","195,286,975.00","-4,432,468,014.88"
28-Dec-2023,49.48,+0.15,+0.30%,49.24,49.21,49.65,"3,014,686","149,135,725.00","-4,237,181,039.88"
27-Dec-2023,49.33,-0.31,-0.62%,49.24,49.15,49.56,"3,968,888","195,729,893.00","-4,386,316,764.88"
26-Dec-2023,49.64,+0.46,+0.94%,49.14,49.04,49.66,"2,648,715","131,338,063.00","-4,190,586,871.88"
22-Dec-2023,49.18,-0.27,-0.55%,49.62,49.09,49.86,"2,582,669","127,285,500.00","-4,321,924,934.88"
21-Dec-2023,49.45,+0.11,+0.22%,49.55,49.13,49.83,"3,085,587","152,480,957.00","-4,194,639,434.88"
20-Dec-2023,49.34,-0.75,-1.50%,49.93,49.30,50.57,"6,034,836","300,025,114.00","-4,347,120,391.88"
19-Dec-2023,50.09,+0.43,+0.87%,49.48,49.32,50.32,"5,835,501","291,597,241.00","-4,047,095,277.88"
18-Dec-2023,49.66,-0.65,-1.29%,50.48,49.53,50.48,"6,338,575","315,923,657.00","-4,338,692,518.88"
15-Dec-2023,50.31,-0.20,-0.40%,50.29,49.92,50.76,"19,755,080","993,811,434.00","-4,022,768,861.88"
14-Dec-2023,50.51,+2.75,+5.76%,48.75,48.71,50.54,"13,053,744","655,186,869.00","-3,028,957,427.88"
13-Dec-2023,47.76,+1.29,+2.78%,46.45,46.35,47.77,"10,043,413","477,065,085.00","-3,684,144,296.88"
12-Dec-2023,46.47,+0.47,+1.02%,45.97,45.82,46.76,"6,904,321","320,610,948.00","-4,161,209,381.88"
11-Dec-2023,46.00,-0.10,-0.22%,45.95,45.57,46.22,"6,249,667","287,217,950.00","-4,481,820,329.88"
08-Dec-2023,46.10,+0.70,+1.54%,45.37,45.13,46.33,"5,786,786","266,208,239.00","-4,194,602,379.88"
07-Dec-2023,45.40,+0.90,+2.02%,44.80,44.66,45.44,"5,809,382","262,763,536.00","-4,460,810,618.88"
06-Dec-2023,44.50,+0.01,+0.02%,44.89,44.43,45.25,"5,946,200","265,845,564.00","-4,723,574,154.88"
05-Dec-2023,44.49,-0.63,-1.40%,44.94,44.41,44.94,"3,754,550","167,249,345.00","-4,989,419,718.88"
04-Dec-2023,45.12,+0.10,+0.22%,44.66,44.52,45.33,"3,816,115","171,974,408.00","-4,822,170,373.88"
01-Dec-2023,45.02,+0.43,+0.96%,44.42,44.39,45.24,"5,035,131","226,322,055.00","-4,994,144,781.88"
30-Nov-2023,44.59,+0.81,+1.85%,43.81,43.49,44.75,"8,038,832","357,953,828.00","-5,220,466,836.88"
29-Nov-2023,43.78,+0.41,+0.95%,43.67,43.63,44.14,"4,669,679","205,005,569.00","-5,578,420,664.88"
28-Nov-2023,43.37,+0.35,+0.81%,42.97,42.79,43.45,"5,020,375","217,342,302.00","-5,783,426,233.88"
27-Nov-2023,43.02,+0.10,+0.23%,42.65,42.53,43.03,"6,364,704","273,219,029.00","-6,000,768,535.88"
24-Nov-2023,42.92,+0.14,+0.33%,42.80,42.74,43.10,"1,728,001","74,166,266.00","-6,273,987,564.88"
22-Nov-2023,42.78,+0.18,+0.42%,42.80,42.41,42.83,"3,442,189","147,081,844.00","-6,348,153,830.88"
21-Nov-2023,42.60,-0.19,-0.44%,42.63,42.16,42.72,"4,044,370","172,154,922.00","-6,495,235,674.88"
20-Nov-2023,42.79,-0.17,-0.40%,42.84,42.51,42.95,"3,401,657","145,563,430.00","-6,323,080,752.88"
17-Nov-2023,42.96,+0.43,+1.01%,42.80,42.45,42.98,"4,597,555","197,175,098.00","-6,177,517,322.88"
16-Nov-2023,42.53,-0.31,-0.72%,42.83,42.00,42.83,"5,010,063","212,693,786.00","-6,374,692,420.88"
15-Nov-2023,42.84,+0.76,+1.81%,42.14,42.12,43.02,"4,307,553","184,161,033.00","-6,161,998,634.88"
14-Nov-2023,42.08,+1.31,+3.21%,41.56,41.56,42.38,"4,912,253","206,801,222.00","-6,346,159,667.88"
13-Nov-2023,40.77,-0.12,-0.29%,40.83,40.53,41.05,"2,293,298","93,554,643.00","-6,552,960,889.88"
10-Nov-2023,40.89,+0.49,+1.21%,40.64,40.36,40.94,"4,732,262","193,226,745.00","-6,459,406,246.88"
09-Nov-2023,40.40,-0.58,-1.42%,41.22,40.28,41.27,"3,664,087","148,341,948.00","-6,652,632,991.88"
08-Nov-2023,40.98,-0.06,-0.15%,41.03,40.43,41.19,"3,591,038","146,939,877.00","-6,504,291,043.88"
07-Nov-2023,41.04,-0.30,-0.73%,41.18,40.75,41.20,"2,949,223","121,005,363.00","-6,357,351,166.88"
06-Nov-2023,41.34,-0.28,-0.67%,41.69,41.15,41.77,"3,664,313","151,609,808.00","-6,236,345,803.88"
03-Nov-2023,41.62,+1.11,+2.74%,41.16,41.16,41.86,"3,914,725","162,923,648.00","-6,084,735,995.88"
