Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
29-Dec-2023,99.98,-0.21,-0.21%,100.40,99.63,100.59,"4,300,705","430,050,283.00","-11,481,610,736.16"
28-Dec-2023,100.19,-1.47,-1.45%,101.17,100.13,101.61,"3,358,280","337,713,871.00","-11,051,560,453.16"
27-Dec-2023,101.66,-0.48,-0.47%,101.75,101.34,102.54,"3,533,379","359,560,776.00","-10,713,846,582.16"
26-Dec-2023,102.14,+0.23,+0.23%,102.78,102.12,103.03,"4,200,626","429,792,272.00","-10,354,285,806.16"
22-Dec-2023,101.91,+0.18,+0.18%,102.40,101.83,102.94,"2,809,493","286,920,890.00","-10,784,078,078.16"
21-Dec-2023,101.73,+0.46,+0.45%,101.65,100.81,102.00,"4,798,739","487,549,051.00","-11,070,998,968.16"
20-Dec-2023,101.27,-1.72,-1.67%,103.29,101.13,103.69,"5,344,655","544,110,919.00","-11,558,548,019.16"
19-Dec-2023,102.99,+1.34,+1.32%,101.95,101.88,103.18,"4,732,460","486,689,517.00","-11,014,437,100.16"
18-Dec-2023,101.65,+0.75,+0.74%,102.79,101.52,103.11,"5,121,040","522,946,033.00","-11,501,126,617.16"
15-Dec-2023,100.90,-0.68,-0.67%,100.67,100.31,101.00,"16,179,778","1,630,878,187.00","-12,024,072,650.16"
14-Dec-2023,101.58,+2.66,+2.69%,100.09,99.72,102.13,"6,345,971","643,019,880.00","-10,393,194,463.16"
13-Dec-2023,98.92,+0.87,+0.89%,98.20,97.66,99.03,"4,447,076","438,340,006.00","-11,036,214,343.16"
12-Dec-2023,98.05,-1.57,-1.58%,98.39,97.49,98.60,"4,757,378","466,571,589.00","-11,474,554,349.16"
11-Dec-2023,99.62,+0.07,+0.07%,99.70,98.58,99.83,"4,584,340","456,118,756.00","-11,007,982,760.16"
08-Dec-2023,99.55,+1.13,+1.15%,98.92,98.80,99.78,"5,270,440","524,163,243.00","-11,464,101,516.16"
07-Dec-2023,98.42,-0.69,-0.70%,99.97,98.09,100.83,"5,218,062","515,894,680.00","-11,988,264,759.16"
06-Dec-2023,99.11,-1.33,-1.32%,99.60,98.35,100.72,"5,966,870","592,193,944.00","-11,472,370,079.16"
05-Dec-2023,100.44,-1.99,-1.94%,102.25,100.29,102.28,"4,601,559","463,972,671.00","-10,880,176,135.16"
04-Dec-2023,102.43,-0.56,-0.54%,101.75,101.59,103.22,"5,881,179","602,598,846.00","-10,416,203,464.16"
01-Dec-2023,102.99,+0.25,+0.24%,102.26,102.23,104.21,"3,673,041","378,816,885.00","-9,813,604,618.16"
30-Nov-2023,102.74,+0.40,+0.39%,103.17,101.82,104.47,"9,891,462","1,016,718,759.00","-10,192,421,503.16"
29-Nov-2023,102.34,-1.56,-1.50%,104.35,101.64,104.58,"6,186,720","635,235,066.00","-11,209,140,262.16"
28-Nov-2023,103.90,-0.06,-0.06%,104.29,103.89,104.91,"4,904,238","510,425,039.00","-10,573,905,196.16"
27-Nov-2023,103.96,-0.61,-0.58%,104.15,103.18,104.16,"4,194,268","435,701,888.00","-10,063,480,157.16"
24-Nov-2023,104.57,+0.56,+0.54%,104.05,103.98,105.46,"1,629,197","170,541,963.00","-9,627,778,269.16"
22-Nov-2023,104.01,-0.45,-0.43%,102.28,101.95,104.12,"4,259,525","441,587,476.00","-9,798,320,232.16"
